,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Jourdan Lewis,DAL,1,66,0,66,2,0.0,2,0,2,0,0,1,10,0,0
1,Trevon Diggs,DAL,1,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
2,Anthony Brown,DAL,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
3,Jayron Kearse,DAL,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
4,Micah Parsons,DAL,0,0,0,0,1,0.0,7,3,4,0,1,0,0,0,0
5,Keanu Neal,DAL,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
6,DeMarcus Lawrence,DAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,1
7,Jaylon Smith,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
8,Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
9,Tarell Basham,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
10,Damontae Kazee,DAL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,1
11,Brent Urban,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Leighton Vander Esch,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Corey Clement,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Randy Gregory,DAL,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
15,Osa Odighizuwa,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Carlos Watkins,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Cedrick Wilson Jr.,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Dak Prescott,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
19,Donovan Wilson,DAL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
22,Carlton Davis,TAM,1,25,0,25,3,0.0,2,2,0,0,0,0,0,0,0
23,Shaquil Barrett,TAM,0,0,0,0,0,1.0,4,3,1,1,2,0,0,0,0
24,Lavonte David,TAM,0,0,0,0,1,0.0,11,5,6,0,1,0,0,0,0
25,Devin White,TAM,0,0,0,0,0,0.0,10,8,2,0,0,0,0,0,0
26,Jamel Dean,TAM,0,0,0,0,1,0.0,9,4,5,0,0,0,0,0,0
27,Antoine Winfield Jr.,TAM,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
28,Ross Cockrell,TAM,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
29,Jason Pierre-Paul,TAM,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
30,Mike Edwards,TAM,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
31,Andrew Adams,TAM,0,0,0,0,0,0.0,3,3,0,1,1,0,0,0,0
32,Sean Murphy-Bunting,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Joe Tryon-Shoyinka,TAM,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
34,William Gholston,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
35,Ali Marpet,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Steve McLendon,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Kevin Minter,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Rakeem Nunez-Roches,TAM,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
39,Grant Stuard,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Ndamukong Suh,TAM,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
