,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Minkah Fitzpatrick,PIT,0,10,6,60.0%,60,10.0,6.0,0,77.1,10.6,39,21,0,0,0,0.0,0,10,1,9.1%
1,Cameron Sutton,PIT,0,8,5,62.5%,32,6.4,4.0,1,110.4,10.0,27,5,1,0,0,0.0,0,5,0,0.0%
2,James Pierre,PIT,0,9,5,55.6%,50,10.0,5.6,0,71.5,10.9,41,9,0,0,0,0.0,0,7,0,0.0%
3,Devin Bush Jr.,PIT,0,4,4,100.0%,23,5.8,5.8,0,90.6,3.3,13,10,0,0,0,0.0,0,10,1,9.1%
4,Terrell Edmunds,PIT,0,6,3,50.0%,29,9.7,4.8,0,63.9,5.5,20,9,0,0,0,0.0,0,5,1,16.7%
5,Joe Haden,PIT,0,4,3,75.0%,42,14.0,10.5,0,108.3,12.3,22,20,0,0,0,0.0,0,5,0,0.0%
6,Tre Norwood,PIT,0,4,3,75.0%,22,7.3,5.5,0,87.5,13.5,9,13,0,0,0,0.0,0,6,0,0.0%
7,Joe Schobert,PIT,0,2,1,50.0%,12,12.0,6.0,0,68.7,4.5,4,8,1,0,0,0.0,0,6,0,0.0%
8,Cameron Heyward,PIT,0,0,0,,,,,,,,,,0,6,0,1.0,7,4,0,0.0%
9,T.J. Watt,PIT,0,0,0,,,,,,,,,,0,1,3,2.0,6,3,0,0.0%
10,Melvin Ingram,PIT,0,0,0,,,,,,,,,,1,2,1,0.0,3,1,0,0.0%
11,Alex Highsmith,PIT,0,1,0,0.0%,,,0.0,,39.6,6.0,,,0,2,0,0.0,2,4,0,0.0%
12,Tyson Alualu,PIT,0,0,0,,,,,,,,,,0,0,1,0.0,1,5,0,0.0%
14,Levi Wallace,BUF,0,11,7,63.6%,41,5.9,3.7,1,100.9,3.7,9,32,0,0,0,0.0,0,4,0,0.0%
15,Tre'Davious White,BUF,0,6,3,50.0%,46,15.3,7.7,0,75.7,6.3,16,30,0,0,0,0.0,0,3,2,40.0%
16,Micah Hyde,BUF,0,5,2,40.0%,31,15.5,6.2,0,61.2,9.2,29,2,0,0,0,0.0,0,6,0,0.0%
17,Taron Johnson,BUF,0,5,2,40.0%,38,19.0,7.6,0,67.1,10.8,31,7,0,0,0,0.0,0,7,0,0.0%
18,Matt Milano,BUF,0,2,2,100.0%,2,1.0,1.0,0,79.2,0.5,1,1,5,0,0,0.0,0,5,1,16.7%
19,Jordan Poyer,BUF,0,2,1,50.0%,6,6.0,3.0,0,56.2,0.5,2,4,3,0,0,1.0,1,6,1,14.3%
20,Tremaine Edmunds,BUF,0,1,1,100.0%,24,24.0,24.0,0,118.7,15.0,15,9,5,0,0,0.0,0,4,0,0.0%
21,Jerry Hughes,BUF,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%
22,Mario Addison,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,1,0,0.0%
23,Ed Oliver,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
24,Harrison Phillips,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
25,A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
26,Gregory Rousseau,BUF,0,0,0,,,,,,,,,,1,1,0,0.0,1,2,0,0.0%
27,Vernon Butler,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
