,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,C.J. Mosley,NYJ,0,5,4,80.0%,45,11.3,9.0,0,104.2,2.8,2,43,4,0,0,0.0,0,4,0,0.0%
1,Del'Shawn Phillips,NYJ,0,3,3,100.0%,27,9.0,9.0,0,104.2,2.0,6,21,2,1,0,0.0,1,11,1,8.3%
2,Michael Carter,NYJ,0,5,3,60.0%,17,5.7,3.4,0,66.2,5.6,3,14,2,0,0,0.0,0,5,0,0.0%
3,Javelin Guidry,NYJ,0,4,3,75.0%,37,12.3,9.3,0,103.1,8.8,23,14,0,0,0,0.0,0,3,0,0.0%
4,Brandin Echols,NYJ,0,5,3,60.0%,26,8.7,5.2,0,73.7,9.2,19,7,0,0,0,0.0,0,5,0,0.0%
5,Sheldrick Redwine,NYJ,0,2,2,100.0%,83,41.5,41.5,1,158.3,35.5,71,12,0,0,0,0.0,0,5,0,0.0%
6,Marcus Maye,NYJ,0,4,2,50.0%,18,9.0,4.5,0,62.5,8.8,2,16,2,0,0,0.0,0,8,0,0.0%
7,John Franklin-Myers,NYJ,0,1,1,100.0%,-5,-5.0,-5.0,0,79.2,-3.0,-3,-2,0,2,1,1.0,4,3,0,0.0%
8,Adrian Colbert,NYJ,0,1,1,100.0%,11,11.0,11.0,0,112.5,8.0,8,3,1,0,0,0.0,0,3,0,0.0%
9,Bryce Hall,NYJ,0,2,1,50.0%,9,9.0,4.5,0,62.5,18.5,5,4,0,0,0,0.0,0,1,0,0.0%
10,Hamsah Nasirildeen,NYJ,0,1,1,100.0%,11,11.0,11.0,0,112.5,-4.0,-4,15,0,0,0,0.0,0,3,1,25.0%
11,Quinnen Williams,NYJ,0,0,0,,,,,,,,,,0,0,2,0.0,2,3,0,0.0%
12,Shaq Lawson,NYJ,0,0,0,,,,,,,,,,1,2,0,0.0,2,3,0,0.0%
13,Bryce Huff,NYJ,0,0,0,,,,,,,,,,0,0,2,0.0,2,2,0,0.0%
14,Folorunso Fatukasi,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
15,Nathan Shepherd,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
17,Shaq Thompson,CAR,1,8,5,62.5%,49,9.8,6.1,0,40.1,7.8,20,29,4,0,0,1.0,1,10,0,0.0%
18,Donte Jackson,CAR,0,9,5,55.6%,98,19.6,10.9,0,93.7,16.7,61,37,0,0,0,0.0,0,7,0,0.0%
19,Jeremy Chinn,CAR,0,5,3,60.0%,45,15.0,9.0,1,129.2,18.8,40,5,3,0,1,0.0,1,3,0,0.0%
20,Haason Reddick,CAR,0,3,2,66.7%,4,2.0,1.3,0,70.1,-0.7,-3,7,4,1,0,1.5,3,4,1,20.0%
21,Jermaine Carter Jr.,CAR,0,4,2,50.0%,19,9.5,4.8,0,63.5,5.0,9,10,2,0,1,0.0,1,4,1,20.0%
22,Jaycee Horn,CAR,0,4,2,50.0%,18,9.0,4.5,1,102.1,5.0,11,7,0,0,0,0.0,0,3,1,25.0%
23,Sean Chandler,CAR,0,1,1,100.0%,25,25.0,25.0,0,118.7,18.0,18,7,0,0,0,0.0,0,1,0,0.0%
24,Brian Burns,CAR,0,0,0,,,,,,,,,,0,3,0,1.0,4,2,1,33.3%
25,DaQuan Jones,CAR,0,0,0,,,,,,,,,,0,2,0,0.0,2,2,0,0.0%
26,Marquis Haynes,CAR,0,0,0,,,,,,,,,,0,0,1,1.0,2,1,0,0.0%
27,Daviyon Nixon,CAR,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%
28,Yetur Gross-Matos,CAR,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
29,Juston Burris,CAR,0,1,0,0.0%,,,0.0,,39.6,-2.0,,,2,1,0,0.0,1,3,1,25.0%
30,Derrick Brown,CAR,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
31,Frankie Luvu,CAR,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
32,Myles Hartsfield,CAR,0,1,0,0.0%,,,0.0,,39.6,0.0,,,0,0,0,0.0,0,2,0,0.0%
33,Morgan Fox,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
