,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Jordyn Brooks,SEA,0,10,7,70.0%,44,6.3,4.4,0,78.7,2.2,0,44,2,0,0,0.0,0,11,1,8.3%
1,D.J. Reed,SEA,0,9,6,66.7%,66,11.0,7.3,0,88.2,8.1,36,30,0,0,0,0.0,0,5,0,0.0%
2,Bobby Wagner,SEA,0,5,4,80.0%,34,8.5,6.8,0,95.0,2.4,8,26,2,1,0,0.0,1,13,1,7.1%
3,Tre Flowers,SEA,0,4,3,75.0%,28,9.3,7.0,1,133.3,9.3,28,0,0,0,0,0.0,0,4,0,0.0%
4,Rasheem Green,SEA,0,2,2,100.0%,22,11.0,11.0,0,112.5,3.5,7,15,0,1,1,1.0,3,4,0,0.0%
5,Marquise Blair,SEA,0,3,2,66.7%,29,14.5,9.7,0,97.9,5.0,15,14,1,0,0,0.0,0,2,1,33.3%
6,Quandre Diggs,SEA,0,2,2,100.0%,34,17.0,17.0,1,158.3,16.0,32,2,1,0,0,0.0,0,9,0,0.0%
7,Poona Ford,SEA,0,1,1,100.0%,15,15.0,15.0,0,118.7,-3.0,-3,18,0,0,1,0.0,1,1,1,50.0%
8,Ugo Amadi,SEA,0,2,1,50.0%,8,8.0,4.0,0,60.4,2.5,-3,11,1,0,0,0.0,0,3,0,0.0%
9,Cody Barton,SEA,0,1,1,100.0%,10,10.0,10.0,0,108.3,4.0,4,6,0,0,0,0.0,0,2,0,0.0%
10,Jamal Adams,SEA,0,1,1,100.0%,8,8.0,8.0,0,100.0,3.0,3,5,2,0,0,0.0,0,6,1,14.3%
11,Darrell Taylor,SEA,0,0,0,,,,,,,,,,0,0,1,1.0,2,2,0,0.0%
12,Benson Mayowa,SEA,0,0,0,,,,,,,,,,1,0,1,1.0,2,2,1,33.3%
13,Kerry Hyder,SEA,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
14,Alton Robinson,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
15,Bryan Mone,SEA,0,0,0,,,,,,,,,,0,0,1,0.0,1,5,0,0.0%
16,Carlos Dunlap,SEA,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
18,Kenny Moore,IND,0,3,3,100.0%,53,17.7,17.7,1,158.3,10.3,31,22,1,0,0,1.0,1,3,1,25.0%
19,Khari Willis,IND,0,3,3,100.0%,95,31.7,31.7,2,158.3,24.0,72,23,3,0,0,0.5,1,7,0,0.0%
20,Darius Leonard,IND,0,3,3,100.0%,18,6.0,6.0,1,131.2,1.7,5,13,1,0,0,0.0,0,5,1,16.7%
21,Bobby Okereke,IND,0,3,3,100.0%,32,10.7,10.7,0,111.1,1.0,3,29,0,0,0,0.0,0,7,2,22.2%
22,T.J. Carrie,IND,0,4,3,75.0%,42,14.0,10.5,0,108.3,14.3,30,12,0,0,0,0.0,0,4,1,20.0%
23,Rock Ya-Sin,IND,0,2,2,100.0%,8,4.0,4.0,0,83.3,4.0,8,0,0,0,0,0.0,0,4,0,0.0%
24,DeForest Buckner,IND,0,1,1,100.0%,12,12.0,12.0,0,116.7,6.0,6,6,0,0,1,1.0,2,6,1,14.3%
25,Tyquan Lewis,IND,0,1,1,100.0%,6,6.0,6.0,0,91.7,-4.0,-4,10,0,0,1,0.0,1,1,0,0.0%
26,Zaire Franklin,IND,0,1,1,100.0%,4,4.0,4.0,0,83.3,1.0,1,3,0,0,0,0.0,0,1,1,50.0%
27,Julian Blackmon,IND,0,2,1,50.0%,30,30.0,15.0,0,95.8,28.5,21,9,0,0,0,0.0,0,5,0,0.0%
28,Al-Quadin Muhammad,IND,0,0,0,,,,,,,,,,0,0,0,0.5,1,3,1,25.0%
29,Grover Stewart,IND,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
30,Isaiah Rodgers,IND,0,1,0,0.0%,,,0.0,,39.6,3.0,,,0,0,0,0.0,0,1,0,0.0%
31,Ben Banogu,IND,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
