,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Javon Hargrave,PHI,0,0,0,0,0,2.0,5,3,2,2,3,0,0,0,0
1,Hassan Ridgeway,PHI,0,0,0,0,0,1.0,2,1,1,1,3,0,0,0,0
2,Avonte Maddox,PHI,0,0,0,0,1,0.0,9,6,3,1,0,0,0,0,0
3,Alex Singleton,PHI,0,0,0,0,0,0.0,8,3,5,0,0,0,0,0,0
4,Eric Wilson,PHI,0,0,0,0,0,0.0,8,2,6,0,0,0,0,0,0
5,Steven Nelson,PHI,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
6,Darius Slay,PHI,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
7,Josh Sweat,PHI,0,0,0,0,0,0.0,6,0,6,0,0,0,0,0,0
8,Shaun Bradley,PHI,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
9,T.J. Edwards,PHI,0,0,0,0,0,0.0,5,0,5,0,0,0,0,0,0
10,Derek Barnett,PHI,0,0,0,0,0,0.0,3,2,1,2,1,0,0,0,0
11,Anthony Harris,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
12,Genard Avery,PHI,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
13,Marcus Epps,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Brandon Graham,PHI,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
15,K'Von Wallace,PHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
16,JJ Arcega-Whiteside,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Patrick Johnson,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Boston Scott,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Milton Williams,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Jalen Hurts,PHI,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
23,Jacob Tuioti-Mariner,ATL,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
24,Deion Jones,ATL,0,0,0,0,1,0.0,11,4,7,1,0,0,0,0,0
25,Foyesade Oluokun,ATL,0,0,0,0,0,0.0,8,4,4,0,1,0,0,0,0
26,Duron Harmon,ATL,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
27,AJ Terrell,ATL,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
28,Erik Harris,ATL,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
29,Tyeler Davison,ATL,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
30,Steven Means,ATL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
31,Isaiah Oliver,ATL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
32,Marlon Davidson,ATL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Josh Harris,ATL,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
34,Fabian Moreau,ATL,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
35,Jonathan Bullard,ATL,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
36,Dante Fowler,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Richie Grant,ATL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
38,T.J. Green,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Mykal Walker,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
40,Jaylinn Hawkins,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Cordarrelle Patterson,ATL,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
43,Keith Smith,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Avery Williams,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
