,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,John Franklin-Myers,NYJ,0,0,0,0,0,1.0,3,2,1,2,2,0,0,0,0
1,Del'Shawn Phillips,NYJ,0,0,0,0,0,0.0,11,3,8,0,0,0,0,0,0
2,Marcus Maye,NYJ,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
3,Michael Carter,NYJ,0,0,0,0,1,0.0,5,2,3,1,0,0,0,0,0
4,Brandin Echols,NYJ,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
5,Sheldrick Redwine,NYJ,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
6,C.J. Mosley,NYJ,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
7,Adrian Colbert,NYJ,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
8,Folorunso Fatukasi,NYJ,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
9,Javelin Guidry,NYJ,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
10,Shaq Lawson,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
11,Hamsah Nasirildeen,NYJ,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
12,Quinnen Williams,NYJ,0,0,0,0,0,0.0,3,0,3,0,2,0,0,0,0
13,Bryce Huff,NYJ,0,0,0,0,0,0.0,2,0,2,0,2,0,0,0,0
14,Daniel Brown,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Bryce Hall,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Justin Hardee,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Thomas Hennessy,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Ty Johnson,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Lamarcus Joyner,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Jamien Sherwood,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Tim Ward,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Sheldon Rankins,NYJ,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
23,Nathan Shepherd,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
24,Zach Wilson,NYJ,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
27,Shaq Thompson,CAR,1,29,0,29,2,1.0,10,5,5,1,1,0,0,0,0
28,Haason Reddick,CAR,0,0,0,0,0,1.5,4,3,1,0,2,0,0,0,1
29,Derrick Brown,CAR,0,0,0,0,1,1.0,4,2,2,1,1,0,0,0,0
30,Brian Burns,CAR,0,0,0,0,1,1.0,2,1,1,1,1,0,0,0,0
31,Marquis Haynes,CAR,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
32,Daviyon Nixon,CAR,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
33,Donte Jackson,CAR,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
34,Jermaine Carter Jr.,CAR,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
35,Juston Burris,CAR,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
36,Jeremy Chinn,CAR,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0
37,Jaycee Horn,CAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
39,Myles Hartsfield,CAR,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
40,DaQuan Jones,CAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
41,Frankie Luvu,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
42,Sean Chandler,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Morgan Fox,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Bravvion Roy,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
