,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Dre Greenlaw,SFO,1,39,1,39,1,0.0,6,4,2,0,0,0,0,0,0
1,Nick Bosa,SFO,0,0,0,0,0,1.0,4,4,0,3,2,0,0,0,0
2,Kentavius Street,SFO,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
3,Dee Ford,SFO,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
4,Fred Warner,SFO,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
5,Azeez Al-Shaair,SFO,0,0,0,0,2,0.0,7,4,3,2,0,0,0,0,0
6,Jaquiski Tartt,SFO,0,0,0,0,0,0.0,7,5,2,2,0,0,0,0,0
7,Jimmie Ward,SFO,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
8,Samson Ebukam,SFO,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0
9,Jason Verrett,SFO,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
10,Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Dontae Johnson,SFO,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
12,Deommodore Lenoir,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,K'Waun Williams,SFO,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
14,Marcell Harris,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Ambry Thomas,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Arik Armstead,SFO,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
17,Kevin Givens,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Arden Key,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Tavon Wilson,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Tracy Walker,DET,0,0,0,0,0,1.0,7,6,1,1,1,0,0,0,0
23,Will Harris,DET,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
24,Michael Brockers,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
25,Jamie Collins,DET,0,0,0,0,0,0.0,5,3,2,0,1,1,0,0,0
26,Alex Anzalone,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
27,Trey Flowers,DET,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,1
28,Alim McNeill,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
29,Jeff Okudah,DET,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
30,Kevin Strong,DET,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Derrick Barnes,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
32,Jason Cabinda,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Jerry Jacobs,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,AJ Parker,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Anthony Pittman,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Godwin Igwebuike,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Romeo Okwara,DET,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
38,Amani Oruwariye,DET,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
39,Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Nick Williams,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Ifeatu Melifonwu,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
