,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Isaiah Simmons,ARI,1,0,0,0,2,0.0,9,7,2,0,0,0,0,0,0
1,Chandler Jones,ARI,0,0,0,0,0,5.0,6,6,0,4,6,0,0,0,2
2,Michael Dogbe,ARI,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
3,Budda Baker,ARI,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
4,Jordan Hicks,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
5,Byron Murphy,ARI,0,0,0,0,3,0.0,4,4,0,0,0,0,0,0,0
6,Robert Alford,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
7,Zaven Collins,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
8,Marco Wilson,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
9,Corey Peters,ARI,0,0,0,0,0,0.0,2,2,0,2,0,1,4,0,0
10,Jalen Thompson,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,J.J. Watt,ARI,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
12,Kylie Fitts,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
13,Markus Golden,ARI,0,0,0,0,1,0.0,1,0,1,0,0,1,0,0,0
14,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Demetrius Harris,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Rashard Lawrence,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Tanner Vallejo,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Leki Fotu,ARI,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
19,Devon Kennard,ARI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
20,Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
23,Kevin Byard,TEN,1,12,0,12,1,0.0,2,2,0,0,0,0,0,0,0
24,Jeffery Simmons,TEN,0,0,0,0,0,1.0,5,5,0,1,1,0,0,0,0
25,Harold Landry,TEN,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
26,Janoris Jenkins,TEN,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0
27,Jayon Brown,TEN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
28,Rashaan Evans,TEN,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
29,Amani Hooker,TEN,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
30,Kristian Fulton,TEN,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
31,Derick Roberson,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Elijah Molden,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Monty Rice,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Teair Tart,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Denico Autry,TEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
37,Khari Blasingame,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,A.J. Brown,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Bud Dupree,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Nick Dzubnar,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Bradley McDougald,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Larrell Murchison,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
