,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Nick Chubb,CLE,15,83,4,48,3.2,35,2.3,2,7.5
1,Kareem Hunt,CLE,6,33,2,20,3.3,13,2.2,0,
2,Jarvis Landry,CLE,2,13,2,9,4.5,4,2.0,0,
3,Jamie Gillan,CLE,1,0,,0,0.0,0,0.0,0,
4,Baker Mayfield,CLE,1,7,0,6,6.0,1,1.0,0,
5,Anthony Schwartz,CLE,1,17,1,17,17.0,0,0.0,0,
7,Clyde Edwards-Helaire,KAN,14,43,0,31,2.2,12,0.9,0,
8,Patrick Mahomes,KAN,5,18,2,18,3.6,0,0.0,0,
9,Blake Bell,KAN,1,2,1,2,2.0,0,0.0,0,
10,Michael Burton,KAN,1,2,1,2,2.0,0,0.0,0,
11,Tyreek Hill,KAN,1,4,0,2,2.0,2,2.0,0,
12,Darrel Williams,KAN,1,4,,4,4.0,0,0.0,0,
