,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Austin Ekeler,LAC,15,57,3,26,1.7,31,2.1,0,
1,Larry Rountree,LAC,8,27,1,17,2.1,10,1.3,0,
2,Justin Herbert,LAC,4,-1,1,-1,-0.3,0,0.0,0,
3,Justin Jackson,LAC,1,5,,3,3.0,2,2.0,0,
4,Gabe Nabers,LAC,1,2,1,1,1.0,1,1.0,0,
6,Antonio Gibson,WAS,20,90,5,41,2.1,49,2.5,0,
7,Taylor Heinicke,WAS,3,17,1,14,4.7,3,1.0,0,
8,Jaret Patterson,WAS,2,9,,7,3.5,2,1.0,0,
9,Ryan Fitzpatrick,WAS,1,2,,2,2.0,0,0.0,0,
10,J.D. McKissic,WAS,1,8,,5,5.0,3,3.0,0,
