,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Daryl Williams,T,BUF,85,100%,0,0%,4,14%
1,Josh Allen,QB,BUF,85,100%,0,0%,0,0%
2,Mitch Morse,C,BUF,85,100%,0,0%,0,0%
3,Jon Feliciano,G,BUF,85,100%,0,0%,0,0%
4,Dion Dawkins,T,BUF,84,99%,0,0%,4,14%
5,Emmanuel Sanders,WR,BUF,79,93%,0,0%,0,0%
6,Stefon Diggs,WR,BUF,79,93%,0,0%,0,0%
7,Cole Beasley,WR,BUF,77,91%,0,0%,0,0%
8,Cody Ford,G,BUF,75,88%,0,0%,4,14%
9,Devin Singletary,RB,BUF,64,75%,0,0%,0,0%
10,Dawson Knox,TE,BUF,48,56%,0,0%,0,0%
11,Gabriel Davis,WR,BUF,43,51%,0,0%,0,0%
12,Isaiah McKenzie,WR,BUF,15,18%,0,0%,12,42%
13,Matt Breida,RB,BUF,10,12%,0,0%,9,31%
14,Ike Boettger,G,BUF,10,12%,0,0%,4,14%
15,Spencer Brown,T,BUF,4,5%,0,0%,4,14%
16,Jake Kumerow,WR,BUF,3,4%,0,0%,19,66%
17,Reggie Gilliam,FB,BUF,2,2%,0,0%,23,80%
18,Tommy Sweeney,TE,BUF,2,2%,0,0%,0,0%
19,Jordan Poyer,SS,BUF,0,0%,58,100%,10,35%
20,Micah Hyde,FS,BUF,0,0%,58,100%,6,21%
21,Tremaine Edmunds,LB,BUF,0,0%,58,100%,5,17%
22,Tre'Davious White,CB,BUF,0,0%,58,100%,5,17%
23,Matt Milano,LB,BUF,0,0%,58,100%,1,3%
24,Levi Wallace,CB,BUF,0,0%,58,100%,0,0%
25,Taron Johnson,CB,BUF,0,0%,58,100%,0,0%
26,Ed Oliver,DT,BUF,0,0%,36,62%,0,0%
27,Jerry Hughes,DE,BUF,0,0%,33,57%,0,0%
28,Gregory Rousseau,DE,BUF,0,0%,30,52%,5,17%
29,Vernon Butler,DT,BUF,0,0%,29,50%,5,17%
30,Mario Addison,DE,BUF,0,0%,26,45%,0,0%
31,Justin Zimmer,DT,BUF,0,0%,23,40%,4,14%
32,Harrison Phillips,DT,BUF,0,0%,21,36%,4,14%
33,A.J. Epenesa,DE,BUF,0,0%,19,33%,16,55%
34,Efe Obada,DE,BUF,0,0%,15,26%,1,3%
35,Tyler Matakevich,LB,BUF,0,0%,0,0%,25,86%
36,Taiwan Jones,RB,BUF,0,0%,0,0%,25,86%
37,Siran Neal,CB,BUF,0,0%,0,0%,20,69%
38,Jaquan Johnson,FS,BUF,0,0%,0,0%,20,69%
39,A.J. Klein,LB,BUF,0,0%,0,0%,19,66%
40,Tyrel Dodson,LB,BUF,0,0%,0,0%,19,66%
41,Damar Hamlin,SS,BUF,0,0%,0,0%,11,38%
42,Tyler Bass,K,BUF,0,0%,0,0%,9,31%
43,Matt Haack,P,BUF,0,0%,0,0%,8,28%
44,Reid Ferguson,LS,BUF,0,0%,0,0%,8,28%
45,Dane Jackson,CB,BUF,0,0%,0,0%,5,17%
46,Ryan Bates,C,BUF,0,0%,0,0%,4,14%
0,Dan Moore,T,PIT,58,100%,0,0%,5,17%
1,Chukwuma Okorafor,T,PIT,58,100%,0,0%,5,17%
2,Kevin Dotson,G,PIT,58,100%,0,0%,5,17%
3,Trai Turner,G,PIT,58,100%,0,0%,0,0%
4,Ben Roethlisberger,QB,PIT,58,100%,0,0%,0,0%
5,Najee Harris,RB,PIT,58,100%,0,0%,0,0%
6,Kendrick Green,C,PIT,55,95%,0,0%,0,0%
7,JuJu Smith-Schuster,WR,PIT,53,91%,0,0%,1,3%
8,Diontae Johnson,WR,PIT,44,76%,0,0%,1,3%
9,Chase Claypool,WR,PIT,39,67%,0,0%,1,3%
10,Pat Freiermuth,TE,PIT,29,50%,0,0%,1,3%
11,Eric Ebron,TE,PIT,27,47%,0,0%,1,3%
12,Zach Gentry,TE,PIT,16,28%,0,0%,9,31%
13,James Washington,WR,PIT,15,26%,0,0%,1,3%
14,Derek Watt,FB,PIT,4,7%,0,0%,20,69%
15,Ray-Ray McCloud,WR,PIT,3,5%,0,0%,9,31%
16,J.C. Hassenauer,C,PIT,3,5%,0,0%,5,17%
17,Minkah Fitzpatrick,SS,PIT,2,3%,85,100%,5,17%
18,Cameron Sutton,CB,PIT,0,0%,85,100%,11,38%
19,Joe Haden,CB,PIT,0,0%,85,100%,5,17%
20,Terrell Edmunds,SS,PIT,0,0%,85,100%,4,14%
21,Devin Bush Jr.,LB,PIT,0,0%,73,86%,4,14%
22,T.J. Watt,LB,PIT,0,0%,69,81%,4,14%
23,Tre Norwood,FS,PIT,0,0%,68,80%,10,34%
24,Joe Schobert,LB,PIT,0,0%,66,78%,4,14%
25,Cameron Heyward,DT,PIT,0,0%,56,66%,9,31%
26,Melvin Ingram,LB,PIT,0,0%,54,64%,0,0%
27,Tyson Alualu,DE,PIT,0,0%,53,62%,4,14%
28,Alex Highsmith,LB,PIT,0,0%,46,54%,4,14%
29,Chris Wormley,DE,PIT,0,0%,40,47%,9,31%
30,James Pierre,CB,PIT,0,0%,31,36%,15,52%
31,Carlos Davis,DT,PIT,0,0%,17,20%,0,0%
32,Arthur Maulet,CB,PIT,0,0%,13,15%,14,48%
33,Isaiah Buggs,DE,PIT,0,0%,8,9%,0,0%
34,Jamir Jones,LB,PIT,0,0%,1,1%,9,31%
35,Miles Killebrew,FS,PIT,0,0%,0,0%,19,66%
36,Marcus Allen,LB,PIT,0,0%,0,0%,19,66%
37,Ulysees Gilbert,LB,PIT,0,0%,0,0%,19,66%
38,Benny Snell Jr.,RB,PIT,0,0%,0,0%,19,66%
39,Justin Layne,CB,PIT,0,0%,0,0%,15,52%
40,Buddy Johnson,LB,PIT,0,0%,0,0%,13,45%
41,Chris Boswell,K,PIT,0,0%,0,0%,11,38%
42,Pressley Harvin III,P,PIT,0,0%,0,0%,10,34%
43,Christian Kuntz,LS,PIT,0,0%,0,0%,10,34%
44,Joe Haeg,T,PIT,0,0%,0,0%,5,17%
45,Kalen Ballage,RB,PIT,0,0%,0,0%,4,14%
