,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Trey Hopkins,C,CIN,69,100%,0,0%,5,15%
1,Jonah Williams,T,CIN,69,100%,0,0%,5,15%
2,Riley Reiff,T,CIN,69,100%,0,0%,5,15%
3,Quinton Spain,G,CIN,69,100%,0,0%,5,15%
4,Xavier Su'a-Filo,G,CIN,69,100%,0,0%,5,15%
5,Joe Burrow,QB,CIN,69,100%,0,0%,0,0%
6,Ja'Marr Chase,WR,CIN,62,90%,0,0%,0,0%
7,Joe Mixon,RB,CIN,54,78%,0,0%,0,0%
8,C.J. Uzomah,TE,CIN,51,74%,0,0%,5,15%
9,Tee Higgins,WR,CIN,51,74%,0,0%,0,0%
10,Tyler Boyd,WR,CIN,51,74%,0,0%,0,0%
11,Drew Sample,TE,CIN,35,51%,0,0%,11,32%
12,Mike Thomas,WR,CIN,16,23%,0,0%,8,24%
13,Samaje Perine,RB,CIN,15,22%,0,0%,17,50%
14,Auden Tate,WR,CIN,8,12%,0,0%,5,15%
15,Mitchell Wilcox,TE,CIN,1,1%,0,0%,17,50%
16,Isaiah Prince,T,CIN,1,1%,0,0%,0,0%
17,Vonn Bell,SS,CIN,0,0%,83,100%,4,12%
18,Chidobe Awuzie,CB,CIN,0,0%,83,100%,4,12%
19,Jessie Bates III,FS,CIN,0,0%,82,99%,4,12%
20,Eli Apple,CB,CIN,0,0%,82,99%,4,12%
21,Logan Wilson,LB,CIN,0,0%,72,87%,11,32%
22,Sam Hubbard,DE,CIN,0,0%,72,87%,4,12%
23,Trey Hendrickson,DE,CIN,0,0%,68,82%,4,12%
24,Mike Hilton,CB,CIN,0,0%,66,80%,0,0%
25,Larry Ogunjobi,DT,CIN,0,0%,59,71%,4,12%
26,D.J. Reader,NT,CIN,0,0%,48,58%,4,12%
27,Germaine Pratt,LB,CIN,0,0%,37,45%,17,50%
28,Cameron Sample,DE,CIN,0,0%,29,35%,5,15%
29,Josh Tupou,NT,CIN,0,0%,28,34%,0,0%
30,B.J. Hill,DT,CIN,0,0%,24,29%,4,12%
31,Ricardo Allen,SS,CIN,0,0%,21,25%,19,56%
32,Jordan Evans,LB,CIN,0,0%,16,19%,29,85%
33,Akeem Davis-Gaither,LB,CIN,0,0%,16,19%,25,74%
34,Wyatt Ray,DE,CIN,0,0%,12,14%,1,3%
35,Darius Phillips,CB,CIN,0,0%,7,8%,13,38%
36,Markus Bailey,LB,CIN,0,0%,4,5%,24,71%
37,Jalen Davis,CB,CIN,0,0%,2,2%,9,26%
38,Darius Hodge,DE,CIN,0,0%,1,1%,0,0%
39,Stanley Morgan Jr.,WR,CIN,0,0%,0,0%,25,74%
40,Brandon Wilson,FS,CIN,0,0%,0,0%,25,74%
41,Clark Harris,LS,CIN,0,0%,0,0%,12,35%
42,Kevin Huber,P,CIN,0,0%,0,0%,12,35%
43,Evan McPherson,K,CIN,0,0%,0,0%,10,29%
44,Chris Evans,RB,CIN,0,0%,0,0%,8,24%
45,Jackson Carman,G,CIN,0,0%,0,0%,5,15%
0,Rashod Hill,T,MIN,83,100%,0,0%,4,12%
1,Brian O'Neill,T,MIN,83,100%,0,0%,4,12%
2,Oli Udoh,T,MIN,83,100%,0,0%,4,12%
3,Ezra Cleveland,G,MIN,83,100%,0,0%,4,12%
4,Garrett Bradbury,C,MIN,83,100%,0,0%,0,0%
5,Kirk Cousins,QB,MIN,83,100%,0,0%,0,0%
6,Adam Thielen,WR,MIN,78,94%,0,0%,0,0%
7,Justin Jefferson,WR,MIN,76,92%,0,0%,0,0%
8,K.J. Osborn,WR,MIN,67,81%,0,0%,9,26%
