,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Laremy Tunsil,T,HOU,78,100%,0,0%,7,20%
1,Max Scharping,G,HOU,78,100%,0,0%,7,20%
2,Tytus Howard,T,HOU,78,100%,0,0%,7,20%
3,Tyrod Taylor,QB,HOU,78,100%,0,0%,0,0%
4,Justin Britt,C,HOU,77,99%,0,0%,0,0%
5,Brandin Cooks,WR,HOU,61,78%,0,0%,0,0%
6,Pharaoh Brown,TE,HOU,59,76%,0,0%,3,9%
7,Marcus Cannon,T,HOU,50,64%,0,0%,7,20%
8,Jordan Akins,TE,HOU,47,60%,0,0%,6,17%
9,Nico Collins,WR,HOU,43,55%,0,0%,1,3%
10,Chris Conley,WR,HOU,40,51%,0,0%,3,9%
11,Mark Ingram,RB,HOU,36,46%,0,0%,0,0%
12,Antony Auclair,TE,HOU,33,42%,0,0%,6,17%
13,Geron Christian,T,HOU,28,36%,0,0%,7,20%
14,David Johnson,RB,HOU,22,28%,0,0%,0,0%
15,Phillip Lindsay,RB,HOU,20,26%,0,0%,3,9%
16,Danny Amendola,WR,HOU,17,22%,0,0%,1,3%
17,Rex Burkhead,RB,HOU,10,13%,0,0%,9,26%
18,Justin McCray,C,HOU,2,3%,0,0%,7,20%
19,Eric Murray,FS,HOU,0,0%,74,100%,14,40%
20,Terrance Mitchell,CB,HOU,0,0%,74,100%,9,26%
21,Christian Kirksey,LB,HOU,0,0%,74,100%,4,11%
22,Zach Cunningham,LB,HOU,0,0%,74,100%,0,0%
23,Justin Reid,SS,HOU,0,0%,72,97%,10,29%
24,Vernon Hargreaves III,CB,HOU,0,0%,63,85%,3,9%
25,Desmond King,CB,HOU,0,0%,57,77%,10,29%
26,Charles Omenihu,DE,HOU,0,0%,48,65%,4,11%
27,Whitney Mercilus,DE,HOU,0,0%,48,65%,0,0%
28,Maliek Collins,DT,HOU,0,0%,47,64%,3,9%
29,Jacob Martin,DE,HOU,0,0%,33,45%,8,23%
30,Ross Blacklock,DT,HOU,0,0%,27,36%,4,11%
31,DeMarcus Walker,DE,HOU,0,0%,26,35%,3,9%
32,Vincent Taylor,DT,HOU,0,0%,26,35%,3,9%
33,Jordan Jenkins,DE,HOU,0,0%,21,28%,4,11%
34,Roy Lopez,DT,HOU,0,0%,20,27%,8,23%
35,Kamu Grugier-Hill,LB,HOU,0,0%,17,23%,24,69%
36,Tremon Smith,CB,HOU,0,0%,11,15%,27,78%
37,Terrence Brooks,SS,HOU,0,0%,2,3%,26,75%
38,Tavierre Thomas,CB,HOU,0,0%,0,0%,28,80%
39,Joe Thomas,LB,HOU,0,0%,0,0%,27,78%
40,Neville Hewitt,LB,HOU,0,0%,0,0%,22,63%
41,Garret Wallow,LB,HOU,0,0%,0,0%,17,49%
42,Joey Slye,K,HOU,0,0%,0,0%,15,43%
43,Cameron Johnston,P,HOU,0,0%,0,0%,13,37%
44,Jon Weeks,LS,HOU,0,0%,0,0%,13,37%
45,Andre Roberts,WR,HOU,0,0%,0,0%,10,29%
0,Andrew Norwell,G,JAX,74,100%,0,0%,4,11%
1,A.J. Cann,G,JAX,74,100%,0,0%,4,11%
2,Jawaan Taylor,T,JAX,74,100%,0,0%,4,11%
3,Cam Robinson,T,JAX,74,100%,0,0%,0,0%
4,Brandon Linder,G,JAX,74,100%,0,0%,0,0%
5,Trevor Lawrence,QB,JAX,74,100%,0,0%,0,0%
6,Marvin Jones,WR,JAX,67,90%,0,0%,0,0%
7,DJ Chark,WR,JAX,63,85%,0,0%,0,0%
8,James O'Shaughnessy,TE,JAX,59,80%,0,0%,12,34%
9,Laviska Shenault Jr.,WR,JAX,52,70%,0,0%,0,0%
10,James Robinson,RB,JAX,47,63%,0,0%,0,0%
11,Chris Manhertz,TE,JAX,26,35%,0,0%,4,11%
12,Carlos Hyde,RB,JAX,25,34%,0,0%,0,0%
13,Jamal Agnew,WR,JAX,10,13%,0,0%,14,40%
14,Devin Smith,WR,JAX,9,12%,0,0%,0,0%
15,Tyron Johnson,WR,JAX,9,12%,0,0%,0,0%
16,Luke Farrell,TE,JAX,4,5%,0,0%,2,6%
17,Shaquill Griffin,CB,JAX,0,0%,78,100%,9,26%
18,Rayshawn Jenkins,SS,JAX,0,0%,78,100%,7,20%
19,C.J. Henderson,CB,JAX,0,0%,78,100%,1,3%
20,Myles Jack,LB,JAX,0,0%,71,91%,0,0%
21,Damien Wilson,LB,JAX,0,0%,60,77%,7,20%
22,Andrew Wingard,FS,JAX,0,0%,55,71%,19,54%
23,Josh Allen,LB,JAX,0,0%,53,68%,7,20%
24,Malcom Brown,DT,JAX,0,0%,51,65%,7,20%
25,DaVon Hamilton,DT,JAX,0,0%,46,59%,9,26%
26,Roy Robertson-Harris,DT,JAX,0,0%,45,58%,7,20%
27,Jihad Ward,LB,JAX,0,0%,43,55%,2,6%
28,K'Lavon Chaisson,LB,JAX,0,0%,37,47%,6,17%
29,Dawuane Smoot,DE,JAX,0,0%,36,46%,0,0%
30,Taven Bryan,DT,JAX,0,0%,30,39%,0,0%
31,Tyson Campbell,CB,JAX,0,0%,29,37%,7,20%
32,Andre Cisco,SS,JAX,0,0%,23,30%,19,54%
33,Lerentee McCray,DE,JAX,0,0%,15,19%,29,83%
34,Rudy Ford,SS,JAX,0,0%,12,15%,24,69%
35,Dakota Allen,LB,JAX,0,0%,7,9%,31,89%
36,Shaquille Quarterman,LB,JAX,0,0%,7,9%,18,52%
37,Chris Claybrooks,CB,JAX,0,0%,3,4%,29,83%
38,Chapelle Russell,LB,JAX,0,0%,0,0%,22,63%
39,Dare Ogunbowale,RB,JAX,0,0%,0,0%,22,63%
40,Brandon Rusnak,CB,JAX,0,0%,0,0%,18,52%
41,Ross Matiscik,LS,JAX,0,0%,0,0%,10,29%
42,Logan Cooke,P,JAX,0,0%,0,0%,10,29%
43,Josh Lambo,K,JAX,0,0%,0,0%,8,23%
44,Will Richardson,T,JAX,0,0%,0,0%,4,11%
45,Tyler Shatley,G,JAX,0,0%,0,0%,4,11%
46,Ben Bartch,T,JAX,0,0%,0,0%,4,11%
