,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Will Hernandez,G,NYG,61,100%,0,0%,1,5%
1,Nick Gates,C,NYG,61,100%,0,0%,1,5%
2,Andrew Thomas,T,NYG,61,100%,0,0%,1,5%
3,Daniel Jones,QB,NYG,61,100%,0,0%,0,0%
4,Sterling Shepard,WR,NYG,58,95%,0,0%,0,0%
5,Kenny Golladay,WR,NYG,52,85%,0,0%,0,0%
6,Kyle Rudolph,TE,NYG,47,77%,0,0%,1,5%
7,Ben Bredeson,G,NYG,44,72%,0,0%,0,0%
8,Nate Solder,T,NYG,43,70%,0,0%,1,5%
9,Darius Slayton,WR,NYG,43,70%,0,0%,0,0%
10,Kaden Smith,TE,NYG,29,48%,0,0%,3,16%
11,Saquon Barkley,RB,NYG,29,48%,0,0%,0,0%
12,Devontae Booker,RB,NYG,24,39%,0,0%,6,32%
13,Matt Peart,T,NYG,19,31%,0,0%,0,0%
14,Shane Lemieux,G,NYG,17,28%,0,0%,0,0%
15,Gary Brightwell,RB,NYG,8,13%,0,0%,11,58%
16,C.J. Board,WR,NYG,6,10%,0,0%,10,53%
17,Kadarius Toney,WR,NYG,5,8%,0,0%,0,0%
18,Elijhaa Penny,FB,NYG,3,5%,0,0%,11,58%
19,James Bradberry,CB,NYG,0,0%,66,100%,7,37%
20,Blake Martinez,LB,NYG,0,0%,66,100%,0,0%
21,Adoree' Jackson,CB,NYG,0,0%,63,95%,0,0%
22,Xavier McKinney,FS,NYG,0,0%,63,95%,0,0%
23,Logan Ryan,FS,NYG,0,0%,61,92%,6,32%
24,Lorenzo Carter,LB,NYG,0,0%,58,88%,2,11%
25,Leonard Williams,DT,NYG,0,0%,51,77%,7,37%
26,Dexter Lawrence,DE,NYG,0,0%,42,64%,8,42%
27,Azeez Ojulari,LB,NYG,0,0%,34,52%,2,11%
28,Austin Johnson,NT,NYG,0,0%,33,50%,7,37%
29,Jabrill Peppers,SS,NYG,0,0%,30,45%,3,16%
30,Oshane Ximines,LB,NYG,0,0%,29,44%,6,32%
31,Darnay Holmes,CB,NYG,0,0%,28,42%,0,0%
32,Reggie Ragland,LB,NYG,0,0%,25,38%,8,42%
33,Tae Crowder,LB,NYG,0,0%,25,38%,6,32%
34,Danny Shelton,NT,NYG,0,0%,23,35%,6,32%
35,Julian Love,SS,NYG,0,0%,12,18%,9,47%
36,Raymond Johnson,DE,NYG,0,0%,10,15%,0,0%
37,Carter Coughlin,LB,NYG,0,0%,4,6%,16,84%
38,Rodarius Williams,CB,NYG,0,0%,3,5%,0,0%
39,Nate Ebner,SS,NYG,0,0%,0,0%,18,95%
40,Keion Crossen,CB,NYG,0,0%,0,0%,18,95%
41,Cullen Gillaspia,RB,NYG,0,0%,0,0%,11,58%
42,Cam Brown,LB,NYG,0,0%,0,0%,11,58%
43,Casey Kreiter,LS,NYG,0,0%,0,0%,4,21%
44,Riley Dixon,P,NYG,0,0%,0,0%,4,21%
45,Graham Gano,K,NYG,0,0%,0,0%,3,16%
46,Billy Price,C,NYG,0,0%,0,0%,1,5%
0,Garett Bolles,T,DEN,66,100%,0,0%,5,26%
1,Dalton Risner,G,DEN,66,100%,0,0%,5,26%
2,Bobby Massie,T,DEN,66,100%,0,0%,0,0%
3,Teddy Bridgewater,QB,DEN,66,100%,0,0%,0,0%
4,Lloyd Cushenberry III,C,DEN,66,100%,0,0%,0,0%
5,Graham Glasgow,G,DEN,63,95%,0,0%,5,26%
6,Courtland Sutton,WR,DEN,53,80%,0,0%,0,0%
7,Noah Fant,TE,DEN,51,77%,0,0%,0,0%
8,Tim Patrick,WR,DEN,46,70%,0,0%,1,5%
9,Albert Okwuegbunam,TE,DEN,37,56%,0,0%,0,0%
10,Javonte Williams,RB,DEN,33,50%,0,0%,0,0%
11,Melvin Gordon,RB,DEN,33,50%,0,0%,0,0%
12,Jerry Jeudy,WR,DEN,31,47%,0,0%,0,0%
13,KJ Hamler,WR,DEN,24,36%,0,0%,0,0%
14,Eric Saubert,TE,DEN,22,33%,0,0%,17,89%
15,Netane Muti,G,DEN,3,5%,0,0%,5,26%
16,Josey Jewell,LB,DEN,0,0%,61,100%,3,16%
17,Ronald Darby,CB,DEN,0,0%,61,100%,1,5%
18,Justin Simmons,FS,DEN,0,0%,61,100%,1,5%
19,Kareem Jackson,SS,DEN,0,0%,61,100%,0,0%
20,Kyle Fuller,CB,DEN,0,0%,55,90%,0,0%
21,Alexander Johnson,LB,DEN,0,0%,51,84%,2,11%
22,Bryce Callahan,CB,DEN,0,0%,51,84%,0,0%
23,Malik Reed,LB,DEN,0,0%,45,74%,3,16%
24,Von Miller,LB,DEN,0,0%,44,72%,0,0%
25,Dre'Mont Jones,DE,DEN,0,0%,40,66%,6,32%
26,Shelby Harris,DE,DEN,0,0%,32,52%,1,5%
27,Mike Purcell,NT,DEN,0,0%,24,39%,6,32%
28,DeShawn Williams,DT,DEN,0,0%,18,30%,2,11%
29,Shamar Stephen,DE,DEN,0,0%,18,30%,0,0%
30,Jonathon Cooper,LB,DEN,0,0%,17,28%,12,63%
31,Andre Mintze,LB,DEN,0,0%,16,26%,11,58%
32,Patrick Surtain II,CB,DEN,0,0%,16,26%,1,5%
33,P.J. Locke,FS,DEN,0,0%,0,0%,14,74%
34,Justin Strnad,LB,DEN,0,0%,0,0%,13,68%
35,Mike Ford,CB,DEN,0,0%,0,0%,13,68%
36,Jonas Griffith,LB,DEN,0,0%,0,0%,12,63%
37,Damarea Crockett,RB,DEN,0,0%,0,0%,12,63%
38,Brandon McManus,K,DEN,0,0%,0,0%,11,58%
39,Caden Sterns,FS,DEN,0,0%,0,0%,10,53%
40,Nate Hairston,CB,DEN,0,0%,0,0%,9,47%
41,Sam Martin,P,DEN,0,0%,0,0%,7,37%
42,Jacob Bobenmoyer,LS,DEN,0,0%,0,0%,7,37%
43,Diontae Spencer,WR,DEN,0,0%,0,0%,5,26%
44,Calvin Anderson,T,DEN,0,0%,0,0%,5,26%
45,Baron Browning,LB,DEN,0,0%,0,0%,4,21%
