,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Brian Allen,C,LAR,52,100%,0,0%,6,30%
1,Austin Corbett,G,LAR,52,100%,0,0%,6,30%
2,David Edwards,G,LAR,52,100%,0,0%,6,30%
3,Tyler Higbee,TE,LAR,52,100%,0,0%,6,30%
4,Rob Havenstein,T,LAR,52,100%,0,0%,6,30%
5,Andrew Whitworth,T,LAR,52,100%,0,0%,0,0%
6,Matthew Stafford,QB,LAR,52,100%,0,0%,0,0%
7,Cooper Kupp,WR,LAR,49,94%,0,0%,3,15%
8,Darrell Henderson,RB,LAR,49,94%,0,0%,0,0%
9,Robert Woods,WR,LAR,40,77%,0,0%,0,0%
10,Van Jefferson,WR,LAR,36,69%,0,0%,0,0%
11,Johnny Mundt,TE,LAR,15,29%,0,0%,10,50%
12,DeSean Jackson,WR,LAR,14,27%,0,0%,0,0%
13,Sony Michel,RB,LAR,3,6%,0,0%,0,0%
14,Tutu Atwell,WR,LAR,2,4%,0,0%,0,0%
15,Taylor Rapp,FS,LAR,0,0%,69,100%,7,35%
16,Jalen Ramsey,CB,LAR,0,0%,69,100%,3,15%
17,Darious Williams,CB,LAR,0,0%,69,100%,0,0%
18,Kenny Young,LB,LAR,0,0%,69,100%,0,0%
19,Jordan Fuller,SS,LAR,0,0%,69,100%,0,0%
20,Aaron Donald,DT,LAR,0,0%,66,96%,0,0%
21,Leonard Floyd,LB,LAR,0,0%,57,83%,0,0%
22,Sebastian Joseph-Day,NT,LAR,0,0%,52,75%,0,0%
23,Justin Hollins,LB,LAR,0,0%,51,74%,0,0%
24,David Long,CB,LAR,0,0%,39,57%,0,0%
25,Robert Rochell,CB,LAR,0,0%,27,39%,0,0%
26,Greg Gaines,NT,LAR,0,0%,25,36%,3,15%
27,A'Shawn Robinson,DT,LAR,0,0%,23,33%,0,0%
28,Troy Reeder,LB,LAR,0,0%,19,28%,14,70%
29,Terrell Lewis,LB,LAR,0,0%,17,25%,0,0%
30,Jonah Williams,DE,LAR,0,0%,13,19%,3,15%
31,Nick Scott,SS,LAR,0,0%,10,14%,14,70%
32,Michael Hoecht,DT,LAR,0,0%,9,13%,6,30%
33,Justin Lawler,LB,LAR,0,0%,6,9%,14,70%
