,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Logan Thomas,TE,WAS,55,100%,0,0%,5,22%
1,Charles Leno Jr.,T,WAS,55,100%,0,0%,5,22%
2,Ereck Flowers,G,WAS,55,100%,0,0%,5,22%
3,Brandon Scherff,G,WAS,55,100%,0,0%,5,22%
4,Samuel Cosmi,T,WAS,55,100%,0,0%,5,22%
5,Terry McLaurin,WR,WAS,55,100%,0,0%,0,0%
6,Chase Roullier,C,WAS,55,100%,0,0%,0,0%
7,Dyami Brown,WR,WAS,51,93%,0,0%,0,0%
8,Taylor Heinicke,QB,WAS,39,71%,0,0%,0,0%
9,Antonio Gibson,RB,WAS,36,65%,0,0%,0,0%
10,Adam Humphries,WR,WAS,33,60%,0,0%,0,0%
11,J.D. McKissic,RB,WAS,20,36%,0,0%,0,0%
12,Ryan Fitzpatrick,QB,WAS,16,29%,0,0%,0,0%
13,Ricky Seals-Jones,TE,WAS,10,18%,0,0%,9,39%
14,Jaret Patterson,RB,WAS,4,7%,0,0%,8,35%
15,Wes Schweitzer,G,WAS,3,5%,0,0%,5,22%
16,Cam Sims,WR,WAS,2,4%,0,0%,14,61%
17,John Bates,TE,WAS,2,4%,0,0%,10,44%
18,DeAndre Carter,WR,WAS,2,4%,0,0%,7,31%
19,Dax Milne,WR,WAS,2,4%,0,0%,0,0%
20,Cole Holcomb,LB,WAS,0,0%,81,100%,0,0%
21,Kendall Fuller,CB,WAS,0,0%,76,94%,0,0%
22,Chase Young,DE,WAS,0,0%,70,86%,0,0%
23,Bobby McCain,CB,WAS,0,0%,69,85%,0,0%
24,William Jackson III,CB,WAS,0,0%,69,85%,0,0%
25,Jonathan Bostic,LB,WAS,0,0%,68,84%,0,0%
26,Landon Collins,SS,WAS,0,0%,65,80%,0,0%
27,Daron Payne,DT,WAS,0,0%,61,75%,3,13%
28,Montez Sweat,DE,WAS,0,0%,53,65%,0,0%
29,Benjamin St-Juste,DB,WAS,0,0%,47,58%,9,39%
30,Jonathan Allen,DT,WAS,0,0%,47,58%,4,17%
31,Jamin Davis,LB,WAS,0,0%,45,56%,0,0%
32,Matthew Ioannidis,DT,WAS,0,0%,43,53%,4,17%
33,Kamren Curl,FS,WAS,0,0%,37,46%,2,9%
34,James Smith-Williams,DE,WAS,0,0%,30,37%,7,31%
35,Tim Settle,DT,WAS,0,0%,12,15%,1,4%
36,Casey Toohill,DE,WAS,0,0%,9,11%,18,79%
37,Torry McTyer,CB,WAS,0,0%,9,11%,10,44%
38,Deshazor Everett,SS,WAS,0,0%,0,0%,18,79%
39,Khaleke Hudson,LB,WAS,0,0%,0,0%,18,79%
40,David Mayo,LB,WAS,0,0%,0,0%,18,79%
41,Troy Apke,FS,WAS,0,0%,0,0%,18,79%
42,Jared Norris,LB,WAS,0,0%,0,0%,14,61%
43,Dustin Hopkins,K,WAS,0,0%,0,0%,9,39%
44,Camaron Cheeseman,LS,WAS,0,0%,0,0%,8,35%
45,Tress Way,P,WAS,0,0%,0,0%,8,35%
46,Cornelius Lucas,T,WAS,0,0%,0,0%,5,22%
0,Oday Aboushi,G,LAC,81,100%,0,0%,4,17%
1,Rashawn Slater,T,LAC,81,100%,0,0%,4,17%
2,Matt Feiler,G,LAC,81,100%,0,0%,4,17%
3,Corey Linsley,C,LAC,81,100%,0,0%,0,0%
4,Justin Herbert,QB,LAC,81,100%,0,0%,0,0%
5,Keenan Allen,WR,LAC,67,83%,0,0%,0,0%
6,Mike Williams,WR,LAC,61,75%,0,0%,0,0%
7,Jalen Guyton,WR,LAC,53,65%,0,0%,0,0%
8,Jared Cook,TE,LAC,47,58%,0,0%,0,0%
9,Austin Ekeler,RB,LAC,47,58%,0,0%,0,0%
10,Bryan Bulaga,T,LAC,45,56%,0,0%,3,13%
11,Donald Parham,TE,LAC,41,51%,0,0%,4,17%
12,Storm Norton,T,LAC,36,44%,0,0%,4,17%
13,Larry Rountree,RB,LAC,22,27%,0,0%,6,26%
14,Stephen Anderson,TE,LAC,20,25%,0,0%,15,65%
15,Josh Palmer,WR,LAC,14,17%,0,0%,0,0%
16,Justin Jackson,RB,LAC,11,14%,0,0%,12,52%
17,Gabe Nabers,RB,LAC,9,11%,0,0%,14,61%
18,K.J. Hill,WR,LAC,7,9%,0,0%,3,13%
19,Trey Pipkins,T,LAC,6,7%,0,0%,4,17%
20,Derwin James,FS,LAC,0,0%,55,100%,0,0%
21,Kenneth Murray,LB,LAC,0,0%,55,100%,0,0%
22,Chris Harris Jr.,CB,LAC,0,0%,54,98%,0,0%
23,Michael Davis,CB,LAC,0,0%,53,96%,5,22%
24,Asante Samuel Jr.,CB,LAC,0,0%,47,85%,5,22%
25,Joey Bosa,DE,LAC,0,0%,45,82%,0,0%
26,Jerry Tillery,DT,LAC,0,0%,42,76%,5,22%
27,Nasir Adderley,FS,LAC,0,0%,40,73%,3,13%
28,Kyzir White,LB,LAC,0,0%,38,69%,0,0%
29,Linval Joseph,NT,LAC,0,0%,33,60%,5,22%
30,Christian Covington,NT,LAC,0,0%,29,53%,3,13%
31,Uchenna Nwosu,DE,LAC,0,0%,28,51%,5,22%
32,Kyler Fackrell,LB,LAC,0,0%,27,49%,6,26%
33,Alohi Gilman,SS,LAC,0,0%,23,42%,19,83%
34,Justin Jones,DT,LAC,0,0%,16,29%,2,9%
35,Eric Banks,DT,LAC,0,0%,15,27%,0,0%
36,Drue Tranquill,LB,LAC,0,0%,3,5%,19,83%
37,Chris Rumph,DE,LAC,0,0%,1,2%,15,65%
38,Tevaughn Campbell,CB,LAC,0,0%,1,2%,14,61%
39,Nick Niemann,LB,LAC,0,0%,0,0%,16,70%
40,Mark Webb,FS,LAC,0,0%,0,0%,15,65%
41,Kemon Hall,CB,LAC,0,0%,0,0%,14,61%
42,Tristan Vizcaino,K,LAC,0,0%,0,0%,9,39%
43,Matt Overton,LS,LAC,0,0%,0,0%,6,26%
44,Ty Long,P,LAC,0,0%,0,0%,6,26%
45,Scott Quessenberry,C,LAC,0,0%,0,0%,4,17%
