,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Marlon Humphrey,BAL,0,14,8,57.1%,82,10.3,5.9,1,97.9,12.4,65,17,2,0,0,0.0,0,9,1,10.0%
1,Anthony Averett,BAL,1,8,6,75.0%,80,13.3,10.0,0,66.7,12.4,69,11,0,0,0,0.0,0,7,0,0.0%
2,Tavon Young,BAL,0,5,4,80.0%,41,10.3,8.2,0,100.8,4.0,13,28,0,0,0,0.0,0,3,0,0.0%
3,DeShon Elliott,BAL,0,4,3,75.0%,39,13.0,9.8,1,144.8,8.0,27,12,6,2,0,0.0,2,7,1,12.5%
4,Tyus Bowser,BAL,0,3,3,100.0%,37,12.3,12.3,0,118.1,4.7,14,23,6,1,0,0.0,1,1,1,50.0%
5,Malik Harrison,BAL,0,3,2,66.7%,18,9.0,6.0,0,82.6,2.0,2,16,1,0,0,0.0,0,3,1,25.0%
6,Chris Westry,BAL,0,5,2,40.0%,42,21.0,8.4,0,70.4,19.8,31,11,0,0,0,0.0,0,3,0,0.0%
7,Pernell McPhee,BAL,0,1,1,100.0%,6,6.0,6.0,0,91.7,2.0,2,4,4,0,0,1.0,1,2,0,0.0%
8,Chris Board,BAL,0,1,1,100.0%,16,16.0,16.0,0,118.7,6.0,6,10,3,0,1,0.0,1,3,0,0.0%
9,Justin Houston,BAL,0,1,1,100.0%,27,27.0,27.0,0,118.7,0.0,0,27,7,0,1,0.0,1,2,1,33.3%
10,Chuck Clark,BAL,0,3,1,33.3%,8,8.0,2.7,0,42.4,9.7,6,2,6,1,0,0.0,1,3,0,0.0%
11,Brandon Stephens,BAL,0,2,1,50.0%,37,37.0,18.5,0,95.8,24.5,30,7,0,0,0,0.0,0,2,0,0.0%
12,Ronnie Stanley,BAL,0,1,1,100.0%,2,2.0,2.0,0,79.2,1.0,1,1,0,0,0,0.0,0,0,0,
13,Odafe Oweh,BAL,0,0,0,,,,,,,,,,1,1,1,1.0,3,2,0,0.0%
14,Patrick Queen,BAL,0,1,0,0.0%,,,0.0,,39.6,3.0,,,2,1,0,1.0,2,9,0,0.0%
15,Calais Campbell,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%
16,Jaylon Ferguson,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
17,Justin Ellis,BAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
19,Denzel Perryman,LVR,0,8,4,50.0%,37,9.3,4.6,0,63.0,5.3,22,15,0,0,0,0.0,0,10,1,9.1%
20,Johnathan Abram,LVR,0,5,3,60.0%,17,5.7,3.4,0,66.2,5.8,4,13,1,0,0,0.0,0,10,0,0.0%
21,Cory Littleton,LVR,0,3,3,100.0%,33,11.0,11.0,0,112.5,0.0,0,33,0,0,0,0.0,0,10,1,9.1%
22,Trevon Moehrig,LVR,0,2,2,100.0%,39,19.5,19.5,1,158.3,14.5,29,10,0,0,0,0.0,0,5,0,0.0%
23,Trayvon Mullen,LVR,0,2,2,100.0%,19,9.5,9.5,0,106.2,9.5,19,0,0,0,0,0.0,0,2,0,0.0%
24,Nick Kwiatkoski,LVR,0,3,2,66.7%,53,26.5,17.7,0,109.7,16.0,46,7,0,0,0,0.0,0,5,0,0.0%
25,Dallin Leavitt,LVR,0,2,1,50.0%,8,8.0,4.0,0,60.4,9.0,7,1,0,0,0,0.0,0,1,0,0.0%
26,Casey Hayward,LVR,0,3,1,33.3%,0,0.0,0.0,0,42.4,12.7,-2,2,0,0,0,0.0,0,2,0,0.0%
27,K.J. Wright,LVR,0,1,1,100.0%,29,29.0,29.0,0,118.7,9.0,9,20,1,0,0,0.0,0,2,0,0.0%
28,Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,1,3,2.0,6,6,0,0.0%
29,Yannick Ngakoue,LVR,0,0,0,,,,,,,,,,0,1,1,0.0,2,5,1,16.7%
30,Carl Nassib,LVR,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,1,25.0%
31,Johnathan Hankins,LVR,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,2,50.0%
32,Nate Hobbs,LVR,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
