,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Davion Taylor,PHI,0,7,5,71.4%,48,9.6,6.9,0,90.2,4.4,29,19,1,0,0,0.0,0,7,0,0.0%
1,T.J. Edwards,PHI,0,7,4,57.1%,79,19.8,11.3,0,96.7,3.1,18,61,1,0,0,0.0,0,7,2,22.2%
2,Avonte Maddox,PHI,0,4,4,100.0%,23,5.8,5.8,0,90.6,3.5,14,9,3,0,0,0.0,0,7,0,0.0%
3,Anthony Harris,PHI,0,4,3,75.0%,34,11.3,8.5,0,100.0,5.5,21,13,0,0,0,0.0,0,9,0,0.0%
4,Darius Slay,PHI,0,3,2,66.7%,11,5.5,3.7,0,72.9,3.3,1,10,0,0,0,0.0,0,5,1,16.7%
5,Marcus Epps,PHI,0,2,1,50.0%,7,7.0,3.5,0,58.3,4.5,3,4,0,0,0,0.0,0,1,0,0.0%
6,Steven Nelson,PHI,0,3,1,33.3%,26,26.0,8.7,0,66.0,23.0,20,6,0,0,0,0.0,0,1,0,0.0%
7,Rodney McLeod,PHI,0,1,1,100.0%,7,7.0,7.0,0,95.8,7.0,7,0,0,0,0,0.0,0,4,1,20.0%
8,Patrick Johnson,PHI,0,1,1,100.0%,-9,-9.0,-9.0,0,79.2,-9.0,-9,0,0,0,0,0.0,0,1,0,0.0%
9,Fletcher Cox,PHI,0,0,0,,,,,,,,,,0,2,1,0.0,3,1,0,0.0%
10,Derek Barnett,PHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
11,Milton Williams,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
12,Josh Sweat,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
13,Alex Singleton,PHI,0,0,0,,,,,,,,,,1,1,0,0.0,1,0,0,
14,Tarron Jackson,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
15,Ryan Kerrigan,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
16,Zech McPhearson,PHI,0,2,0,0.0%,,,0.0,,39.6,10.0,,,0,0,0,0.0,0,0,0,
17,Genard Avery,PHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,1,100.0%
19,Ronald Darby,DEN,0,8,5,62.5%,46,9.2,5.8,0,78.1,11.3,18,28,0,0,0,0.0,0,8,0,0.0%
20,Kenny Young,DEN,0,3,3,100.0%,27,9.0,9.0,0,104.2,1.0,3,24,3,1,0,0.0,1,4,0,0.0%
21,Patrick Surtain II,DEN,0,4,3,75.0%,65,21.7,16.3,1,156.2,19.5,57,8,0,0,0,0.0,0,3,0,0.0%
22,Kareem Jackson,DEN,0,2,2,100.0%,7,3.5,3.5,0,81.2,-1.0,-2,9,0,0,0,0.0,0,7,4,36.4%
23,Kyle Fuller,DEN,0,2,1,50.0%,5,5.0,2.5,1,95.8,8.5,5,0,1,1,0,0.0,1,5,1,16.7%
24,Baron Browning,DEN,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,3,0,0,0.0,0,1,0,0.0%
25,Caden Sterns,DEN,0,1,1,100.0%,24,24.0,24.0,0,118.7,17.0,17,7,0,0,0,0.0,0,3,0,0.0%
26,Shelby Harris,DEN,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,1,33.3%
27,Justin Simmons,DEN,1,1,0,0.0%,,,0.0,,0.0,21.0,,,2,1,0,0.0,1,6,0,0.0%
28,Curtis Robinson,DEN,0,0,0,,,,,,,,,,3,0,1,0.0,1,2,2,50.0%
29,Stephen Weatherly,DEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
30,Malik Reed,DEN,0,1,0,0.0%,,,0.0,,39.6,21.0,,,0,0,0,1.0,1,9,0,0.0%
31,Dre'Mont Jones,DEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
