,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,L'Jarius Sneed,KAN,0,8,7,87.5%,73,10.4,9.1,0,104.7,3.8,34,39,1,0,1,0.0,1,6,1,14.3%
1,Tyrann Mathieu,KAN,0,5,4,80.0%,52,13.0,10.4,0,110.0,9.4,37,15,0,0,0,0.0,0,4,2,33.3%
2,Ben Niemann,KAN,0,4,3,75.0%,24,8.0,6.0,0,89.6,5.8,4,20,0,0,0,0.0,0,2,2,50.0%
3,Charvarius Ward,KAN,0,2,2,100.0%,28,14.0,14.0,1,158.3,11.5,23,5,1,1,0,0.0,1,1,0,0.0%
4,Armani Watts,KAN,0,2,2,100.0%,4,2.0,2.0,0,79.2,0.5,1,3,0,0,0,0.0,0,7,0,0.0%
5,Chris Lammons,KAN,0,4,2,50.0%,17,8.5,4.3,0,61.5,-0.5,3,14,0,0,0,0.0,0,3,0,0.0%
6,Chris Jones,KAN,0,1,1,100.0%,6,6.0,6.0,0,91.7,-5.0,-5,11,0,1,1,0.0,2,0,0,
7,Nick Bolton,KAN,0,2,1,50.0%,5,5.0,2.5,0,56.2,17.5,2,3,1,0,0,0.0,0,4,0,0.0%
8,Michael Danna,KAN,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,0,0,0,0.0,0,2,0,0.0%
9,Rashad Fenton,KAN,0,2,1,50.0%,5,5.0,2.5,0,56.2,6.0,4,1,0,0,0,0.0,0,4,0,0.0%
10,Willie Gay Jr.,KAN,0,1,1,100.0%,37,37.0,37.0,1,158.3,26.0,26,11,4,0,0,0.0,0,4,1,20.0%
11,Anthony Hitchens,KAN,0,1,1,100.0%,27,27.0,27.0,0,118.7,17.0,17,10,1,0,0,0.0,0,5,1,16.7%
12,Jarran Reed,KAN,0,0,0,,,,,,,,,,0,0,1,1.0,2,2,0,0.0%
13,Alex Okafor,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
14,Derrick Nnadi,KAN,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
15,Frank Clark,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,2,66.7%
16,Daniel Sorensen,KAN,1,1,0,0.0%,,,0.0,,0.0,28.0,,,1,0,0,0.0,0,0,1,100.0%
17,Melvin Ingram,KAN,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%
18,Mike Hughes,KAN,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
19,Juan Thornhill,KAN,0,1,0,0.0%,,,0.0,,39.6,33.0,,,0,0,0,0.0,0,4,1,20.0%
21,Johnathan Abram,LVR,0,8,8,100.0%,126,15.8,15.8,1,158.3,8.1,65,61,3,0,0,0.0,0,10,3,23.1%
22,Nate Hobbs,LVR,0,7,6,85.7%,83,13.8,11.9,0,116.1,5.0,-11,94,0,0,0,0.0,0,6,4,40.0%
23,Dallin Leavitt,LVR,0,5,5,100.0%,37,7.4,7.4,0,97.5,0.8,4,33,0,0,0,0.0,0,5,2,28.6%
24,Denzel Perryman,LVR,0,7,5,71.4%,50,10.0,7.1,0,91.4,3.4,18,32,5,0,0,0.0,0,11,4,26.7%
25,Brandon Facyson,LVR,0,8,5,62.5%,88,17.6,11.0,3,139.6,14.0,73,15,0,0,0,0.0,0,6,1,14.3%
26,Cory Littleton,LVR,0,7,4,57.1%,18,4.5,2.6,0,62.2,8.6,7,11,0,0,0,0.0,0,6,0,0.0%
27,Casey Hayward,LVR,0,4,1,25.0%,8,8.0,2.0,0,39.6,16.3,-1,9,0,0,0,0.0,0,2,1,33.3%
28,Desmond Trufant,LVR,0,1,1,100.0%,8,8.0,8.0,1,139.6,8.0,8,0,0,0,0,0.0,0,2,0,0.0%
29,K.J. Wright,LVR,0,1,1,100.0%,7,7.0,7.0,0,95.8,5.0,5,2,1,0,0,0.0,0,1,0,0.0%
30,Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,2,2,0.0,4,5,0,0.0%
31,Yannick Ngakoue,LVR,0,0,0,,,,,,,,,,0,2,0,0.0,2,0,0,
32,Solomon Thomas,LVR,0,0,0,,,,,,,,,,0,2,0,0.0,2,3,0,0.0%
33,Quinton Jefferson,LVR,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,1,25.0%
