,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Donte Jackson,CAR,1,21,0,21,2,0.0,4,3,1,0,0,0,0,0,0
1,Haason Reddick,CAR,0,0,0,0,0,1.5,4,2,2,0,3,0,0,0,1
2,Shaq Thompson,CAR,0,0,0,0,2,1.0,7,4,3,1,2,0,0,0,0
3,Marquis Haynes,CAR,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
4,Morgan Fox,CAR,0,0,0,0,0,0.5,1,0,1,0,1,1,3,0,0
5,Myles Hartsfield,CAR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
6,Jermaine Carter Jr.,CAR,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0
7,A.J. Bouye,CAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Jeremy Chinn,CAR,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
9,Derrick Brown,CAR,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
10,Sean Chandler,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,C.J. Henderson,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,DaQuan Jones,CAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
14,Frankie Luvu,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Bravvion Roy,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Julian Stanford,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
17,Keith Taylor,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
18,Juston Burris,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Christian McCaffrey,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Taylor Moton,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Giovanni Ricci,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,P.J. Walker,CAR,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
23,Brandon Zylstra,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
24,Brian Burns,CAR,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
27,Jalen Thompson,ARI,1,10,0,10,1,0.0,9,5,4,1,0,0,0,0,0
28,Jordan Hicks,ARI,0,0,0,0,1,0.0,10,8,2,0,0,0,0,0,0
29,Isaiah Simmons,ARI,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
30,Zach Allen,ARI,0,0,0,0,0,0.0,5,4,1,1,1,1,11,0,0
31,Budda Baker,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
32,Michael Dogbe,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
33,Byron Murphy,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
34,Jordan Phillips,ARI,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
35,Robert Alford,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
36,Leki Fotu,ARI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
37,Marco Wilson,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Zaven Collins,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
39,Dennis Gardeck,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
40,Chandler Jones,ARI,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
41,Devon Kennard,ARI,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0
42,Corey Peters,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
43,Tanner Vallejo,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
44,Chris Banjo,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Darrell Daniels,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Markus Golden,ARI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
47,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
48,Zach Kerr,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
49,Colt McCoy,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
50,Rondale Moore,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
51,Deionte Thompson,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
52,Joe Walker,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
53,Eno Benjamin,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
