,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jalen Hurts,PHI,16,23,178,2,1,2,8,36,103.2,13,55,0,31,0,0,0,0,0,1,0
1,Jordan Howard,PHI,0,0,0,0,0,0,0,0,,12,83,0,25,0,0,0,0,0,0,0
2,Boston Scott,PHI,0,0,0,0,0,0,0,0,,11,81,0,23,2,2,24,0,16,0,0
3,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,2,5,0,5,1,1,9,0,9,0,0
4,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,66,2,36,0,0
5,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,18,0,0
6,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,24,0,0
7,Jack Stoll,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
8,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,1,-8,0,-8,2,1,12,0,12,0,0
11,Teddy Bridgewater,DEN,22,36,226,0,0,1,14,64,79.2,0,0,0,0,0,0,0,0,0,0,0
12,Javonte Williams,DEN,0,0,0,0,0,0,0,0,,8,48,0,20,3,2,1,0,10,0,0
13,Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,9,45,1,15,4,1,-2,0,-2,1,1
14,Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,1,3,0,3,9,6,48,0,15,1,0
15,Albert Okwuegbunam,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,77,0,64,0,0
16,Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,15,0,0
17,Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,26,0,0
18,Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,14,0,7,0,0
