,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Wayne Gallman,ATL,15,55,2,40,2.7,15,1.0,1,15.0
1,Mike Davis,ATL,4,18,,16,4.0,2,0.5,0,
2,Cordarrelle Patterson,ATL,4,25,1,20,5.0,5,1.3,0,
3,Keith Smith,ATL,1,5,,0,0.0,5,5.0,0,
5,Ezekiel Elliott,DAL,14,41,4,29,2.1,12,0.9,2,7.0
6,Tony Pollard,DAL,11,42,2,21,1.9,21,1.9,2,5.5
7,Corey Clement,DAL,6,20,1,12,2.0,8,1.3,0,
8,Cooper Rush,DAL,3,-6,,-6,-2.0,0,0.0,0,
9,Dak Prescott,DAL,2,5,1,4,2.0,1,0.5,0,
10,CeeDee Lamb,DAL,1,12,0,12,12.0,0,0.0,0,
