,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,D.J. Humphries,T,ARI,55,100%,0,0%,2,8%
1,Josh Jones,G,ARI,55,100%,0,0%,2,8%
2,Sean Harlow,G,ARI,54,98%,0,0%,2,8%
3,Kelvin Beachum,T,ARI,51,93%,0,0%,2,8%
4,Rodney Hudson,C,ARI,51,93%,0,0%,0,0%
5,Christian Kirk,WR,ARI,47,85%,0,0%,0,0%
6,Zach Ertz,TE,ARI,45,82%,0,0%,0,0%
7,James Conner,RB,ARI,45,82%,0,0%,0,0%
8,Antoine Wesley,WR,ARI,42,76%,0,0%,0,0%
9,A.J. Green,WR,ARI,38,69%,0,0%,0,0%
10,Colt McCoy,QB,ARI,33,60%,0,0%,0,0%
11,Chris Streveler,QB,ARI,22,40%,0,0%,0,0%
12,Rondale Moore,WR,ARI,18,33%,0,0%,0,0%
13,Darrell Daniels,TE,ARI,17,31%,0,0%,4,16%
14,Eno Benjamin,RB,ARI,15,27%,0,0%,11,44%
15,Joshua Miles,T,ARI,6,11%,0,0%,2,8%
16,Demetrius Harris,TE,ARI,5,9%,0,0%,14,56%
17,Marcus Henry,C,ARI,4,7%,0,0%,0,0%
18,Greg Dortch,WR,ARI,1,2%,0,0%,13,52%
19,Danny Isidora,G,ARI,1,2%,0,0%,0,0%
20,Jordan Hicks,LB,ARI,0,0%,75,100%,6,24%
21,Isaiah Simmons,LB,ARI,0,0%,75,100%,3,12%
22,Byron Murphy,CB,ARI,0,0%,72,96%,0,0%
23,Budda Baker,SS,ARI,0,0%,71,95%,1,4%
24,Zach Allen,DE,ARI,0,0%,65,87%,7,28%
25,Marco Wilson,CB,ARI,0,0%,65,87%,6,24%
26,Jalen Thompson,FS,ARI,0,0%,64,85%,5,20%
27,Chandler Jones,LB,ARI,0,0%,50,67%,6,24%
28,Jordan Phillips,DE,ARI,0,0%,37,49%,0,0%
29,Corey Peters,DT,ARI,0,0%,34,45%,6,24%
30,Markus Golden,LB,ARI,0,0%,33,44%,0,0%
31,Leki Fotu,DT,ARI,0,0%,32,43%,9,36%
32,Robert Alford,CB,ARI,0,0%,27,36%,8,32%
33,Tanner Vallejo,LB,ARI,0,0%,26,35%,12,48%
34,Zach Kerr,DT,ARI,0,0%,24,32%,2,8%
35,Zaven Collins,LB,ARI,0,0%,23,31%,14,56%
36,Michael Dogbe,DE,ARI,0,0%,21,28%,1,4%
37,Devon Kennard,LB,ARI,0,0%,18,24%,0,0%
38,Dennis Gardeck,LB,ARI,0,0%,10,13%,23,92%
39,Deionte Thompson,SS,ARI,0,0%,2,3%,15,60%
40,Joe Walker,LB,ARI,0,0%,1,1%,22,88%
41,Chris Banjo,FS,ARI,0,0%,0,0%,22,88%
42,Antonio Hamilton,CB,ARI,0,0%,0,0%,17,68%
43,Victor Dimukeje,LB,ARI,0,0%,0,0%,17,68%
44,Andy Lee,P,ARI,0,0%,0,0%,6,24%
45,Beau Brinkley,LS,ARI,0,0%,0,0%,6,24%
46,Matt Prater,K,ARI,0,0%,0,0%,5,20%
47,Tavien Feaster,RB,ARI,0,0%,0,0%,4,16%
0,Taylor Moton,T,CAR,75,100%,0,0%,6,24%
1,Michael Jordan,G,CAR,75,100%,0,0%,6,24%
2,Trenton Scott,T,CAR,75,100%,0,0%,2,8%
3,Pat Elflein,G,CAR,75,100%,0,0%,0,0%
4,P.J. Walker,QB,CAR,66,88%,0,0%,0,0%
5,Dennis Daley,G,CAR,63,84%,0,0%,4,16%
6,D.J. Moore,WR,CAR,59,79%,0,0%,1,4%
7,Ian Thomas,TE,CAR,57,76%,0,0%,2,8%
8,Tommy Tremble,TE,CAR,51,68%,0,0%,11,44%
9,Robby Anderson,WR,CAR,51,68%,0,0%,1,4%
10,Christian McCaffrey,RB,CAR,44,59%,0,0%,1,4%
11,Brandon Zylstra,WR,CAR,33,44%,0,0%,9,36%
12,Giovanni Ricci,FB,CAR,28,37%,0,0%,21,84%
13,Terrace Marshall Jr.,WR,CAR,18,24%,0,0%,1,4%
14,Chuba Hubbard,RB,CAR,16,21%,0,0%,14,56%
15,Ameer Abdullah,RB,CAR,16,21%,0,0%,3,12%
16,Brady Christensen,T,CAR,13,17%,0,0%,6,24%
17,Cam Newton,QB,CAR,9,12%,0,0%,0,0%
18,Alex Erickson,WR,CAR,1,1%,0,0%,12,48%
19,Jeremy Chinn,FS,CAR,0,0%,54,98%,5,20%
20,Donte Jackson,CB,CAR,0,0%,51,93%,3,12%
21,Haason Reddick,LB,CAR,0,0%,43,78%,3,12%
22,Shaq Thompson,LB,CAR,0,0%,43,78%,1,4%
23,Brian Burns,DE,CAR,0,0%,38,69%,3,12%
24,Jermaine Carter Jr.,LB,CAR,0,0%,37,67%,5,20%
25,Juston Burris,SS,CAR,0,0%,36,65%,2,8%
26,A.J. Bouye,CB,CAR,0,0%,34,62%,1,4%
27,Derrick Brown,DT,CAR,0,0%,32,58%,3,12%
28,Myles Hartsfield,FS,CAR,0,0%,30,55%,8,32%
29,DaQuan Jones,DT,CAR,0,0%,29,53%,2,8%
30,Sean Chandler,SS,CAR,0,0%,27,49%,13,52%
31,Keith Taylor,CB,CAR,0,0%,25,45%,15,60%
32,Morgan Fox,DE,CAR,0,0%,24,44%,3,12%
33,Marquis Haynes,DE,CAR,0,0%,23,42%,0,0%
34,C.J. Henderson,CB,CAR,0,0%,22,40%,6,24%
35,Yetur Gross-Matos,DE,CAR,0,0%,17,31%,0,0%
36,Bravvion Roy,DT,CAR,0,0%,15,27%,1,4%
37,Stephon Gilmore,CB,CAR,0,0%,13,24%,0,0%
38,Frankie Luvu,LB,CAR,0,0%,5,9%,15,60%
39,Sam Franklin,SS,CAR,0,0%,5,9%,15,60%
40,Julian Stanford,LB,CAR,0,0%,1,2%,15,60%
41,Kamal Martin,LB,CAR,0,0%,1,2%,13,52%
42,Zane Gonzalez,K,CAR,0,0%,0,0%,13,52%
43,J.J. Jansen,LS,CAR,0,0%,0,0%,9,36%
44,Lac Edwards,P,CAR,0,0%,0,0%,9,36%
45,Sam Tecklenburg,C,CAR,0,0%,0,0%,6,24%
46,Mike Horton,G,CAR,0,0%,0,0%,6,24%
