,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Elgton Jenkins,G,GNB,74,100%,0,0%,4,22%
1,Lucas Patrick,G,GNB,74,100%,0,0%,4,22%
2,Jon Runyan,G,GNB,74,100%,0,0%,4,22%
3,Billy Turner,T,GNB,74,100%,0,0%,0,0%
4,Royce Newman,T,GNB,74,100%,0,0%,0,0%
5,Aaron Rodgers,QB,GNB,74,100%,0,0%,0,0%
6,Davante Adams,WR,GNB,70,95%,0,0%,0,0%
7,Randall Cobb,WR,GNB,50,68%,0,0%,0,0%
8,Marquez Valdes-Scantling,WR,GNB,49,66%,0,0%,0,0%
9,Allen Lazard,WR,GNB,44,59%,0,0%,0,0%
10,Marcedes Lewis,TE,GNB,42,57%,0,0%,0,0%
11,AJ Dillon,RB,GNB,36,49%,0,0%,3,17%
12,Aaron Jones,RB,GNB,34,46%,0,0%,0,0%
13,Josiah Deguara,TE,GNB,25,34%,0,0%,3,17%
14,Tyler Davis,TE,GNB,12,16%,0,0%,15,83%
15,Amari Rodgers,WR,GNB,4,5%,0,0%,11,61%
16,Patrick Taylor,RB,GNB,3,4%,0,0%,1,6%
17,Malik Taylor,WR,GNB,1,1%,0,0%,13,72%
18,Darnell Savage Jr.,SS,GNB,0,0%,61,100%,1,6%
19,Chandon Sullivan,CB,GNB,0,0%,61,100%,1,6%
20,De'Vondre Campbell,LB,GNB,0,0%,61,100%,1,6%
21,Adrian Amos,FS,GNB,0,0%,61,100%,0,0%
22,Eric Stokes,CB,GNB,0,0%,60,98%,0,0%
23,Preston Smith,LB,GNB,0,0%,53,87%,0,0%
24,Kenny Clark,NT,GNB,0,0%,49,80%,0,0%
25,Rasul Douglas,CB,GNB,0,0%,42,69%,11,61%
26,Dean Lowry,DE,GNB,0,0%,42,69%,5,28%
27,Rashan Gary,LB,GNB,0,0%,35,57%,0,0%
28,Jonathan Garvin,LB,GNB,0,0%,30,49%,6,33%
29,Henry Black,SS,GNB,0,0%,28,46%,11,61%
30,Krys Barnes,LB,GNB,0,0%,26,43%,3,17%
31,Kevin King,CB,GNB,0,0%,20,33%,1,6%
32,Whitney Mercilus,DE,GNB,0,0%,17,28%,1,6%
33,Tedarrell Slaton,DT,GNB,0,0%,12,20%,7,39%
34,Oren Burks,LB,GNB,0,0%,6,10%,13,72%
