,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Greg Van Roten,G,NYJ,77,100%,0,0%,3,11%
1,Morgan Moses,T,NYJ,77,100%,0,0%,3,11%
2,Alijah Vera-Tucker,G,NYJ,77,100%,0,0%,0,0%
3,Connor McGovern,C,NYJ,77,100%,0,0%,0,0%
4,George Fant,T,NYJ,77,100%,0,0%,0,0%
5,Mike White,QB,NYJ,71,92%,0,0%,0,0%
6,Corey Davis,WR,NYJ,65,84%,0,0%,0,0%
7,Jamison Crowder,WR,NYJ,64,83%,0,0%,0,0%
8,Ryan Griffin,TE,NYJ,55,71%,0,0%,14,52%
9,Elijah Moore,WR,NYJ,43,56%,0,0%,0,0%
10,Michael Carter,RB,NYJ,40,52%,0,0%,0,0%
11,Keelan Cole,WR,NYJ,32,42%,0,0%,0,0%
12,Ty Johnson,RB,NYJ,25,32%,0,0%,0,0%
13,Braxton Berrios,WR,NYJ,22,29%,0,0%,10,37%
14,Tevin Coleman,RB,NYJ,17,22%,0,0%,8,30%
15,Jeff Smith,WR,NYJ,10,13%,0,0%,7,26%
16,Trevon Wesco,TE,NYJ,8,10%,0,0%,14,52%
17,Joe Flacco,QB,NYJ,6,8%,0,0%,0,0%
18,Nick Bawden,RB,NYJ,2,3%,0,0%,17,63%
19,Dan Feeney,G,NYJ,2,3%,0,0%,3,11%
20,C.J. Mosley,LB,NYJ,0,0%,58,100%,7,26%
21,Bryce Hall,CB,NYJ,0,0%,55,95%,7,26%
22,Ashtyn Davis,SS,NYJ,0,0%,55,95%,0,0%
23,Jarrod Wilson,SS,NYJ,0,0%,42,72%,11,41%
24,Jarrad Davis,LB,NYJ,0,0%,42,72%,0,0%
25,Shaq Lawson,DE,NYJ,0,0%,36,62%,7,26%
26,Michael Carter,CB,NYJ,0,0%,34,59%,5,19%
27,Folorunso Fatukasi,DT,NYJ,0,0%,34,59%,3,11%
28,John Franklin-Myers,DE,NYJ,0,0%,34,59%,0,0%
29,Quinnen Williams,NT,NYJ,0,0%,32,55%,7,26%
30,Sheldon Rankins,DT,NYJ,0,0%,32,55%,7,26%
31,Ronald Blair,DE,NYJ,0,0%,30,52%,7,26%
32,Javelin Guidry,CB,NYJ,0,0%,29,50%,3,11%
33,Brandin Echols,CB,NYJ,0,0%,29,50%,2,7%
34,Del'Shawn Phillips,LB,NYJ,0,0%,24,41%,24,89%
35,Nathan Shepherd,DT,NYJ,0,0%,22,38%,10,37%
36,Sharrod Neasman,CB,NYJ,0,0%,17,29%,17,63%
37,Quincy Williams,LB,NYJ,0,0%,16,28%,14,52%
38,Hamilcar Rashed Jr.,DE,NYJ,0,0%,16,28%,2,7%
39,Isaiah Dunn,CB,NYJ,0,0%,1,2%,11,41%
40,Justin Hardee,CB,NYJ,0,0%,0,0%,24,89%
41,Hamsah Nasirildeen,LB,NYJ,0,0%,0,0%,17,63%
42,Kenny Yeboah,TE,NYJ,0,0%,0,0%,11,41%
43,Matt Ammendola,K,NYJ,0,0%,0,0%,7,26%
44,Braden Mann,P,NYJ,0,0%,0,0%,6,22%
45,Thomas Hennessy,LS,NYJ,0,0%,0,0%,6,22%
46,Laurent Duvernay-Tardif,G,NYJ,0,0%,0,0%,3,11%
0,Ike Boettger,G,BUF,58,100%,0,0%,7,26%
1,Spencer Brown,T,BUF,58,100%,0,0%,0,0%
2,Daryl Williams,T,BUF,54,93%,0,0%,7,26%
3,Josh Allen,QB,BUF,54,93%,0,0%,0,0%
4,Mitch Morse,C,BUF,54,93%,0,0%,0,0%
5,Dion Dawkins,T,BUF,53,91%,0,0%,7,26%
6,Dawson Knox,TE,BUF,49,84%,0,0%,0,0%
7,Stefon Diggs,WR,BUF,46,79%,0,0%,0,0%
8,Emmanuel Sanders,WR,BUF,35,60%,0,0%,0,0%
9,Gabriel Davis,WR,BUF,30,52%,0,0%,4,15%
10,Zack Moss,RB,BUF,28,48%,0,0%,0,0%
11,Reggie Gilliam,FB,BUF,22,38%,0,0%,24,89%
12,Devin Singletary,RB,BUF,22,38%,0,0%,0,0%
13,Tommy Sweeney,TE,BUF,20,34%,0,0%,0,0%
