,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rodger Saffold,G,TEN,60,100%,0,0%,5,17%
1,David Quessenberry,G,TEN,60,100%,0,0%,5,17%
2,Ryan Tannehill,QB,TEN,60,100%,0,0%,0,0%
3,Ben Jones,C,TEN,60,100%,0,0%,0,0%
4,Taylor Lewan,T,TEN,59,98%,0,0%,5,17%
5,Nate Davis,G,TEN,53,88%,0,0%,5,17%
6,A.J. Brown,WR,TEN,49,82%,1,1%,1,3%
7,Geoff Swaim,TE,TEN,40,67%,0,0%,15,52%
8,Marcus Johnson,WR,TEN,38,63%,0,0%,8,28%
9,MyCole Pruitt,TE,TEN,23,38%,0,0%,1,3%
10,Nick Westbrook-Ikhine,WR,TEN,22,37%,0,0%,18,62%
11,Anthony Firkser,TE,TEN,22,37%,0,0%,5,17%
12,Chester Rogers,WR,TEN,21,35%,0,0%,6,21%
13,D'Onta Foreman,RB,TEN,21,35%,0,0%,0,0%
14,Adrian Peterson,RB,TEN,20,33%,0,0%,0,0%
15,Jeremy McNichols,RB,TEN,16,27%,0,0%,0,0%
16,Dez Fitzpatrick,WR,TEN,13,22%,0,0%,0,0%
17,Aaron Brewer,C,TEN,13,22%,0,0%,0,0%
18,Tory Carter,TE,TEN,9,15%,0,0%,17,59%
19,Kendall Lamm,T,TEN,1,2%,0,0%,5,17%
20,Kevin Byard,FS,TEN,0,0%,67,100%,1,3%
21,Janoris Jenkins,CB,TEN,0,0%,67,100%,0,0%
22,Jayon Brown,LB,TEN,0,0%,67,100%,0,0%
23,Amani Hooker,FS,TEN,0,0%,63,94%,7,24%
24,Kristian Fulton,CB,TEN,0,0%,62,93%,0,0%
25,Jeffery Simmons,DT,TEN,0,0%,57,85%,6,21%
26,Harold Landry,LB,TEN,0,0%,57,85%,0,0%
27,Denico Autry,DE,TEN,0,0%,53,79%,6,21%
28,Elijah Molden,CB,TEN,0,0%,51,76%,6,21%
29,Monty Rice,LB,TEN,0,0%,46,69%,6,21%
30,Olasunkanmi Adeniyi,LB,TEN,0,0%,30,45%,17,59%
31,Naquan Jones,DT,TEN,0,0%,29,43%,8,28%
32,Chris Jackson,CB,TEN,0,0%,25,37%,10,34%
33,Kyle Peko,DT,TEN,0,0%,23,34%,0,0%
34,Larrell Murchison,DT,TEN,0,0%,21,31%,6,21%
35,Amani Bledsoe,DE,TEN,0,0%,7,10%,2,7%
36,Nick Dzubnar,LB,TEN,0,0%,6,9%,24,83%
37,Joseph Jones,LB,TEN,0,0%,2,3%,23,79%
38,Dylan Cole,LB,TEN,0,0%,1,1%,19,66%
39,Chris Jones,CB,TEN,0,0%,1,1%,10,34%
40,Bud Dupree,LB,TEN,0,0%,1,1%,0,0%
41,Matthias Farley,FS,TEN,0,0%,0,0%,24,83%
42,Brady Breeze,DB,TEN,0,0%,0,0%,12,41%
43,Randy Bullock,K,TEN,0,0%,0,0%,11,38%
44,Brett Kern,P,TEN,0,0%,0,0%,10,34%
45,Morgan Cox,LS,TEN,0,0%,0,0%,10,34%
46,Corey Levin,C,TEN,0,0%,0,0%,5,17%
0,Calvin Throckmorton,T,NOR,67,100%,0,0%,3,10%
1,James Hurst,T,NOR,67,100%,0,0%,3,10%
2,Ryan Ramczyk,T,NOR,67,100%,0,0%,3,10%
3,Cesar Ruiz,G,NOR,67,100%,0,0%,0,0%
4,Erik McCoy,C,NOR,67,100%,0,0%,0,0%
5,Trevor Siemian,QB,NOR,62,93%,0,0%,0,0%
6,Tre'Quan Smith,WR,NOR,61,91%,0,0%,0,0%
7,Mark Ingram,RB,NOR,57,85%,0,0%,0,0%
8,Adam Trautman,TE,NOR,56,84%,0,0%,3,10%
9,Marquez Callaway,WR,NOR,52,78%,0,0%,1,3%
10,Deonte Harris,WR,NOR,26,39%,0,0%,11,38%
11,Taysom Hill,QB,NOR,21,31%,0,0%,9,31%
12,Kenny Stills,WR,NOR,18,27%,0,0%,0,0%
13,Alex Armah,RB,NOR,12,18%,0,0%,15,52%
14,Juwan Johnson,TE,NOR,10,15%,0,0%,12,41%
15,Kevin White,WR,NOR,9,13%,0,0%,12,41%
16,Ty Montgomery,WR,NOR,6,9%,0,0%,0,0%
17,Dwayne Washington,RB,NOR,4,6%,0,0%,18,62%
18,Garrett Griffin,TE,NOR,4,6%,0,0%,14,48%
19,Will Clapp,C,NOR,4,6%,0,0%,3,10%
20,Malcolm Jenkins,SS,NOR,0,0%,60,100%,5,17%
