,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Dan Moore,T,PIT,87,100%,0,0%,4,12%
1,Chukwuma Okorafor,T,PIT,87,100%,0,0%,4,12%
2,Mason Rudolph,QB,PIT,87,100%,0,0%,0,0%
3,Kendrick Green,C,PIT,87,100%,0,0%,0,0%
4,James Washington,WR,PIT,76,87%,0,0%,0,0%
5,Najee Harris,RB,PIT,76,87%,0,0%,0,0%
6,Diontae Johnson,WR,PIT,75,86%,0,0%,0,0%
7,Ray-Ray McCloud,WR,PIT,61,70%,0,0%,14,41%
8,Pat Freiermuth,TE,PIT,54,62%,0,0%,4,12%
9,J.C. Hassenauer,C,PIT,54,62%,0,0%,4,12%
10,Trai Turner,G,PIT,51,59%,0,0%,0,0%
11,Joe Haeg,T,PIT,36,41%,0,0%,0,0%
12,Kevin Dotson,G,PIT,33,38%,0,0%,1,3%
13,Zach Gentry,TE,PIT,30,34%,0,0%,7,21%
14,Eric Ebron,TE,PIT,29,33%,0,0%,0,0%
15,Cody White,WR,PIT,12,14%,0,0%,10,29%
16,Benny Snell Jr.,RB,PIT,6,7%,0,0%,26,76%
17,Derek Watt,FB,PIT,6,7%,0,0%,26,76%
18,Kalen Ballage,RB,PIT,5,6%,0,0%,3,9%
19,Steven Sims,WR,PIT,5,6%,0,0%,0,0%
20,Terrell Edmunds,SS,PIT,0,0%,71,100%,4,12%
21,Cameron Sutton,CB,PIT,0,0%,71,100%,4,12%
22,Minkah Fitzpatrick,SS,PIT,0,0%,70,99%,4,12%
23,Devin Bush Jr.,LB,PIT,0,0%,68,96%,4,12%
24,Joe Schobert,LB,PIT,0,0%,68,96%,4,12%
25,Cameron Heyward,DT,PIT,0,0%,67,94%,7,21%
26,Alex Highsmith,LB,PIT,0,0%,66,93%,3,9%
27,James Pierre,CB,PIT,0,0%,53,75%,23,68%
28,Chris Wormley,DE,PIT,0,0%,43,61%,7,21%
29,Isaiah Buggs,DE,PIT,0,0%,42,59%,3,9%
30,T.J. Watt,LB,PIT,0,0%,33,46%,2,6%
31,Tre Norwood,FS,PIT,0,0%,28,39%,9,26%
32,Isaiahh Loudermilk,DE,PIT,0,0%,25,35%,2,6%
33,Taco Charlton,DE,PIT,0,0%,23,32%,1,3%
