,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Brandon Parker,T,LVR,54,100%,0,0%,2,7%
1,Kolton Miller,T,LVR,54,100%,0,0%,2,7%
2,John Simpson,G,LVR,54,100%,0,0%,2,7%
3,Alex Leatherwood,T,LVR,54,100%,0,0%,2,7%
4,Derek Carr,QB,LVR,54,100%,0,0%,0,0%
5,Andre James,C,LVR,54,100%,0,0%,0,0%
6,Darren Waller,TE,LVR,49,91%,0,0%,0,0%
7,Zay Jones,WR,LVR,46,85%,0,0%,10,36%
8,Bryan Edwards,WR,LVR,43,80%,0,0%,0,0%
9,Hunter Renfrow,WR,LVR,39,72%,0,0%,2,7%
10,Josh Jacobs,RB,LVR,31,57%,0,0%,0,0%
11,Foster Moreau,TE,LVR,21,39%,0,0%,17,61%
12,Kenyan Drake,RB,LVR,17,31%,0,0%,3,11%
13,DeSean Jackson,WR,LVR,9,17%,0,0%,0,0%
14,Jalen Richard,RB,LVR,6,11%,0,0%,8,29%
15,Dillon Stoner,WR,LVR,4,7%,0,0%,15,54%
16,Daniel Helm,TE,LVR,3,6%,0,0%,15,54%
17,Alec Ingold,FB,LVR,2,4%,0,0%,5,18%
18,Trevon Moehrig,FS,LVR,0,0%,76,100%,12,43%
19,Johnathan Abram,SS,LVR,0,0%,76,100%,0,0%
20,Casey Hayward,CB,LVR,0,0%,72,95%,0,0%
21,Nate Hobbs,CB,LVR,0,0%,69,91%,11,39%
22,Brandon Facyson,CB,LVR,0,0%,68,89%,13,46%
23,Denzel Perryman,LB,LVR,0,0%,59,78%,0,0%
24,Cory Littleton,LB,LVR,0,0%,57,75%,11,39%
25,Maxx Crosby,DE,LVR,0,0%,56,74%,8,29%
26,Yannick Ngakoue,DE,LVR,0,0%,56,74%,0,0%
27,Quinton Jefferson,DT,LVR,0,0%,45,59%,8,29%
28,Johnathan Hankins,NT,LVR,0,0%,43,57%,8,29%
29,Solomon Thomas,DT,LVR,0,0%,39,51%,8,29%
30,Dallin Leavitt,FS,LVR,0,0%,23,30%,26,93%
31,Carl Nassib,DE,LVR,0,0%,20,26%,16,57%
32,Clelin Ferrell,DE,LVR,0,0%,20,26%,2,7%
33,K.J. Wright,LB,LVR,0,0%,20,26%,0,0%
34,Damion Square,NT,LVR,0,0%,19,25%,0,0%
35,Desmond Trufant,CB,LVR,0,0%,10,13%,1,4%
36,Divine Deablo,LB,LVR,0,0%,4,5%,18,64%
37,Marquel Lee,LB,LVR,0,0%,3,4%,26,93%
38,Patrick Onwuasor,LB,LVR,0,0%,1,1%,17,61%
39,Ha Ha Clinton-Dix,SS,LVR,0,0%,0,0%,11,39%
40,Trent Sieg,LS,LVR,0,0%,0,0%,7,25%
41,AJ Cole III,P,LVR,0,0%,0,0%,7,25%
42,Keisean Nixon,CB,LVR,0,0%,0,0%,6,21%
43,Daniel Carlson,K,LVR,0,0%,0,0%,5,18%
44,Nick Martin,C,LVR,0,0%,0,0%,2,7%
45,Jermaine Eluemunor,G,LVR,0,0%,0,0%,2,7%
0,Andrew Wylie,G,KAN,76,100%,0,0%,8,29%
1,Trey Smith,G,KAN,76,100%,0,0%,8,29%
2,Joe Thuney,G,KAN,73,96%,0,0%,8,29%
3,Orlando Brown Jr.,T,KAN,73,96%,0,0%,8,29%
4,Creed Humphrey,C,KAN,73,96%,0,0%,8,29%
5,Patrick Mahomes,QB,KAN,73,96%,0,0%,0,0%
6,Travis Kelce,TE,KAN,58,76%,0,0%,0,0%
7,Tyreek Hill,WR,KAN,56,74%,0,0%,0,0%
8,Byron Pringle,WR,KAN,46,61%,0,0%,8,29%
9,Darrel Williams,RB,KAN,45,59%,0,0%,2,7%
10,Josh Gordon,WR,KAN,33,43%,0,0%,0,0%
11,Demarcus Robinson,WR,KAN,26,34%,0,0%,0,0%
12,Noah Gray,TE,KAN,25,33%,0,0%,26,93%
13,Blake Bell,TE,KAN,24,32%,0,0%,11,39%
14,Mecole Hardman,WR,KAN,24,32%,0,0%,1,4%
15,Jerick McKinnon,RB,KAN,20,26%,0,0%,11,39%
16,Derrick Gore,RB,KAN,11,14%,0,0%,3,11%
17,Michael Burton,FB,KAN,7,9%,0,0%,13,46%
18,Marcus Kemp,WR,KAN,4,5%,0,0%,20,71%
19,Nick Allegretti,G,KAN,4,5%,0,0%,8,29%
20,Chad Henne,QB,KAN,3,4%,0,0%,0,0%
21,Austin Blythe,C,KAN,3,4%,0,0%,0,0%
22,Prince Tega Wanogho,T,KAN,3,4%,0,0%,0,0%
23,Juan Thornhill,FS,KAN,0,0%,52,96%,0,0%
24,Rashad Fenton,CB,KAN,0,0%,43,80%,12,43%
25,L'Jarius Sneed,CB,KAN,0,0%,41,76%,5,18%
26,Tyrann Mathieu,SS,KAN,0,0%,37,69%,0,0%
27,Frank Clark,DE,KAN,0,0%,36,67%,0,0%
28,Chris Jones,DT,KAN,0,0%,33,61%,0,0%
29,Tershawn Wharton,DT,KAN,0,0%,29,54%,2,7%
30,Willie Gay Jr.,LB,KAN,0,0%,29,54%,0,0%
31,Daniel Sorensen,FS,KAN,0,0%,27,50%,8,29%
32,Jarran Reed,DT,KAN,0,0%,27,50%,0,0%
33,Charvarius Ward,CB,KAN,0,0%,27,50%,0,0%
34,Mike Hughes,CB,KAN,0,0%,26,48%,15,54%
35,Ben Niemann,LB,KAN,0,0%,25,46%,20,71%
36,Derrick Nnadi,DT,KAN,0,0%,24,44%,2,7%
37,Michael Danna,DE,KAN,0,0%,24,44%,2,7%
38,Alex Okafor,DE,KAN,0,0%,22,41%,2,7%
39,Anthony Hitchens,LB,KAN,0,0%,22,41%,2,7%
40,Melvin Ingram,LB,KAN,0,0%,21,39%,0,0%
41,Nick Bolton,LB,KAN,0,0%,19,35%,2,7%
42,Armani Watts,SS,KAN,0,0%,17,31%,17,61%
43,Chris Lammons,CB,KAN,0,0%,13,24%,20,71%
44,Dorian O'Daniel,LB,KAN,0,0%,0,0%,20,71%
45,Harrison Butker,K,KAN,0,0%,0,0%,16,57%
46,Tommy Townsend,P,KAN,0,0%,0,0%,10,36%
47,James Winchester,LS,KAN,0,0%,0,0%,10,36%
