,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Kyle Van Noy,NWE,1,35,1,35,1,2.0,8,5,3,2,2,0,0,0,0
1,Adrian Phillips,NWE,1,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0
2,Devin McCourty,NWE,1,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
3,J.C. Jackson,NWE,1,3,0,3,1,0.0,2,1,1,0,0,0,0,0,0
4,Davon Godchaux,NWE,0,0,0,0,0,1.0,3,2,1,2,2,0,0,0,0
5,Matt Judon,NWE,0,0,0,0,0,1.0,3,1,2,1,3,0,0,0,0
6,Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,7,4,3,0,2,0,0,0,0
7,Kyle Dugger,NWE,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
8,Dont'a Hightower,NWE,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
9,Carl Davis,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
10,Jahlani Tavai,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Myles Bryant,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
12,Lawrence Guy,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
13,Gunner Olszewski,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Joejuan Williams,NWE,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
15,Christian Barmore,NWE,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
16,Justin Bethel,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Cody Davis,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Jakob Johnson,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Mac Jones,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Brandon King,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Calvin Munson,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Matthew Slater,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Deatrich Wise Jr.,NWE,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
26,AJ Terrell,ATL,1,35,0,35,1,0.0,9,4,5,0,0,0,0,0,0
27,Foyesade Oluokun,ATL,0,0,0,0,0,1.0,10,4,6,1,1,0,0,0,0
28,Darren Hall,ATL,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
29,Dante Fowler,ATL,0,0,0,0,0,0.5,5,2,3,0,1,0,0,0,0
30,Erik Harris,ATL,0,0,0,0,0,0.5,5,3,2,1,1,0,0,0,0
31,Fabian Moreau,ATL,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
32,Jonathan Bullard,ATL,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
33,Deion Jones,ATL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
34,Brandon Copeland,ATL,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
35,Duron Harmon,ATL,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
36,Richie Grant,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
37,Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
38,Anthony Rush,ATL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
39,Grady Jarrett,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
40,Mike Pennel,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
41,Mykal Walker,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
42,Russell Gage,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Ta'Quon Graham,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Josh Harris,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Olamide Zaccheaus,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
