,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Will Harris,DET,0,3,3,100.0%,20,6.7,6.7,1,134.0,3.7,11,9,2,0,0,0.5,1,8,0,0.0%
1,Amani Oruwariye,DET,1,6,3,50.0%,50,16.7,8.3,0,38.9,14.0,44,6,0,0,0,0.0,0,5,0,0.0%
2,Jalen Reeves-Maybin,DET,0,3,2,66.7%,10,5.0,3.3,0,71.5,-1.7,2,8,6,0,0,0.0,0,7,1,12.5%
3,AJ Parker,DET,1,3,2,66.7%,10,5.0,3.3,0,31.9,9.3,9,1,1,0,0,0.0,0,2,1,33.3%
4,Tracy Walker,DET,0,6,2,33.3%,36,18.0,6.0,0,54.9,16.5,34,2,0,0,0,0.0,0,9,4,30.8%
5,Dean Marlowe,DET,0,1,1,100.0%,21,21.0,21.0,0,118.7,20.0,20,1,1,1,0,0.0,1,3,0,0.0%
6,Derrick Barnes,DET,0,1,1,100.0%,9,9.0,9.0,0,104.2,-6.0,-6,15,0,0,0,0.0,0,2,0,0.0%
7,Julian Okwara,DET,0,1,1,100.0%,20,20.0,20.0,0,118.7,-4.0,-4,24,1,0,0,0.0,0,2,0,0.0%
8,Alex Anzalone,DET,0,3,1,33.3%,3,3.0,1.0,0,42.4,7.3,3,0,2,0,0,0.0,0,7,2,22.2%
9,Charles Harris,DET,0,1,0,0.0%,,,0.0,,39.6,3.0,,,1,3,1,0.0,4,5,1,16.7%
10,Austin Bryant,DET,0,0,0,,,,,,,,,,0,1,0,0.5,2,4,1,20.0%
11,Alim McNeill,DET,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%
12,Michael Brockers,DET,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,0,0.0%
13,John Penisini,DET,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
14,Jerry Jacobs,DET,0,3,0,0.0%,,,0.0,,39.6,15.3,,,0,0,0,0.0,0,2,0,0.0%
15,Nick Williams,DET,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
17,Jeremiah Owusu-Koramoah,CLE,0,6,4,66.7%,10,2.5,1.7,0,70.1,-2.0,-6,16,0,0,0,0.0,0,4,0,0.0%
18,Malcolm Smith,CLE,1,4,3,75.0%,12,4.0,3.0,0,37.5,3.3,5,7,0,0,0,0.0,0,4,0,0.0%
19,Anthony Walker,CLE,0,3,2,66.7%,29,14.5,9.7,0,97.9,8.0,13,16,1,0,0,0.0,0,8,0,0.0%
20,John Johnson,CLE,0,4,2,50.0%,9,4.5,2.3,0,56.2,6.5,7,2,0,0,0,0.0,0,7,2,22.2%
21,Mack Wilson,CLE,0,1,1,100.0%,6,6.0,6.0,0,91.7,-1.0,-1,7,0,0,0,0.0,0,4,0,0.0%
22,Greg Newsome II,CLE,0,2,1,50.0%,3,3.0,1.5,0,56.2,8.5,3,0,1,0,0,0.0,0,1,1,50.0%
23,Ronnie Harrison,CLE,0,1,1,100.0%,-4,-4.0,-4.0,0,79.2,-6.0,-6,2,0,0,0,0.0,0,6,0,0.0%
24,Grant Delpit,CLE,0,1,1,100.0%,12,12.0,12.0,0,116.7,2.0,2,10,0,0,0,0.0,0,6,1,14.3%
25,Myles Garrett,CLE,0,0,0,,,,,,,,,,0,2,2,0.0,4,3,0,0.0%
26,Sione Takitaki,CLE,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%
27,Malik Jackson,CLE,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
28,Denzel Ward,CLE,1,1,0,0.0%,,,0.0,,0.0,44.0,,,0,0,0,0.0,0,0,0,
29,Greedy Williams,CLE,0,2,0,0.0%,,,0.0,,39.6,9.0,,,0,0,0,0.0,0,0,0,
