,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Byron Jones,MIA,0,8,6,75.0%,98,16.3,12.3,2,155.2,7.0,42,56,1,0,0,0.0,0,3,1,25.0%
1,Jerome Baker,MIA,0,5,4,80.0%,29,7.3,5.8,0,90.8,6.2,6,23,6,0,1,0.0,1,6,1,14.3%
2,Eric Rowe,MIA,0,6,4,66.7%,30,7.5,5.0,0,78.5,5.0,15,15,2,0,0,0.0,0,5,0,0.0%
3,Xavien Howard,MIA,0,8,4,50.0%,37,9.3,4.6,0,63.0,9.6,33,4,0,0,0,0.0,0,4,0,0.0%
4,Justin Coleman,MIA,0,4,3,75.0%,26,8.7,6.5,0,91.7,9.8,7,19,0,0,0,0.0,0,3,1,25.0%
5,Brandon Jones,MIA,0,2,2,100.0%,34,17.0,17.0,0,118.7,7.0,14,20,7,0,0,1.0,1,6,1,14.3%
6,Jevon Holland,MIA,0,3,2,66.7%,51,25.5,17.0,0,109.7,15.7,22,29,4,0,0,0.0,0,7,2,22.2%
7,Emmanuel Ogbah,MIA,0,1,1,100.0%,5,5.0,5.0,0,87.5,1.0,1,4,0,1,2,0.0,3,2,0,0.0%
8,Jaelan Phillips,MIA,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,11,0,1,1.0,2,3,3,50.0%
9,Andrew Van Ginkel,MIA,0,0,0,,,,,,,,,,12,1,1,0.0,2,1,0,0.0%
10,Raekwon Davis,MIA,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
11,Samuel Eguavoen,MIA,0,0,0,,,,,,,,,,1,1,0,0.0,1,1,0,0.0%
12,Zach Sieler,MIA,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
13,Nik Needham,MIA,0,1,0,0.0%,,,0.0,,39.6,0.0,,,5,0,0,0.0,0,2,2,50.0%
14,Jamal Perry,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
15,Duke Riley,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
16,Elandon Roberts,MIA,0,0,0,,,,,,,,,,2,0,0,0.0,0,5,0,0.0%
17,Brennan Scarlett,MIA,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%
19,Michael Carter,NYJ,0,7,6,85.7%,48,8.0,6.9,0,95.2,6.0,21,27,3,0,0,0.0,0,5,0,0.0%
20,C.J. Mosley,NYJ,0,7,5,71.4%,29,5.8,4.1,1,118.5,1.9,13,16,3,0,0,0.0,0,8,1,11.1%
21,Bryce Hall,NYJ,0,5,4,80.0%,26,6.5,5.2,0,88.3,4.6,18,8,1,0,0,0.0,0,7,0,0.0%
22,Isaiah Dunn,NYJ,0,5,4,80.0%,61,15.3,12.2,0,117.5,7.2,31,30,0,0,0,0.0,0,7,0,0.0%
23,Quincy Williams,NYJ,0,4,3,75.0%,23,7.7,5.8,0,88.5,3.3,2,21,3,0,0,0.0,0,15,1,6.3%
24,Ashtyn Davis,NYJ,1,3,3,100.0%,73,24.3,24.3,1,118.7,16.0,48,25,1,0,0,0.0,0,4,2,33.3%
25,Nathan Shepherd,NYJ,0,1,1,100.0%,6,6.0,6.0,0,91.7,1.0,1,5,0,1,0,0.0,1,3,0,0.0%
26,Del'Shawn Phillips,NYJ,0,1,1,100.0%,6,6.0,6.0,0,91.7,3.0,3,3,0,0,0,0.0,0,2,0,0.0%
27,Jason Pinnock,NYJ,0,1,1,100.0%,8,8.0,8.0,0,100.0,8.0,8,0,0,0,0,0.0,0,2,0,0.0%
28,Elijah Riley,NYJ,0,1,1,100.0%,5,5.0,5.0,1,127.1,4.0,4,1,0,0,0,0.0,0,6,0,0.0%
29,Shaq Lawson,NYJ,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%
30,John Franklin-Myers,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
31,Javelin Guidry,NYJ,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
32,Folorunso Fatukasi,NYJ,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
33,Ronald Blair,NYJ,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,0,0,0,0.0,0,5,0,0.0%
