,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Vonn Bell,CIN,0,8,6,75.0%,37,6.2,4.6,0,83.9,5.1,21,16,2,1,0,0.0,1,6,1,14.3%
1,Eli Apple,CIN,1,4,3,75.0%,54,18.0,13.5,0,77.1,12.3,32,22,0,0,0,0.0,0,3,0,0.0%
2,Chidobe Awuzie,CIN,0,4,3,75.0%,37,12.3,9.3,0,103.1,20.5,28,9,0,0,0,0.0,0,4,0,0.0%
3,Logan Wilson,CIN,0,4,3,75.0%,31,10.3,7.8,1,136.5,4.3,19,12,0,0,0,0.0,0,5,1,16.7%
4,Jessie Bates III,CIN,0,2,2,100.0%,56,28.0,28.0,0,118.7,16.0,32,24,0,0,0,0.0,0,4,1,20.0%
5,Mike Hilton,CIN,0,2,2,100.0%,6,3.0,3.0,0,79.2,1.0,2,4,1,0,0,0.0,0,2,0,0.0%
6,Germaine Pratt,CIN,0,2,1,50.0%,2,2.0,1.0,0,56.2,-4.0,-3,5,4,1,0,0.0,1,4,2,33.3%
7,Markus Bailey,CIN,0,1,1,100.0%,8,8.0,8.0,0,100.0,5.0,5,3,0,0,0,0.0,0,1,1,50.0%
8,Larry Ogunjobi,CIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%
9,Trey Hendrickson,CIN,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
10,D.J. Reader,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
11,Khalid Kareem,CIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
12,Sam Hubbard,CIN,0,0,0,,,,,,,,,,1,0,0,1.0,1,5,1,16.7%
13,B.J. Hill,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
15,Johnathan Abram,LVR,0,6,6,100.0%,43,7.2,7.2,1,136.1,2.8,17,26,1,0,0,0.0,0,12,1,7.7%
16,Brandon Facyson,LVR,0,8,5,62.5%,54,10.8,6.8,0,82.3,12.8,37,17,0,0,0,0.0,0,7,2,22.2%
17,Denzel Perryman,LVR,0,7,4,57.1%,18,4.5,2.6,0,62.2,5.6,10,8,0,0,0,0.0,0,12,2,14.3%
18,Cory Littleton,LVR,0,2,2,100.0%,17,8.5,8.5,0,102.1,-2.0,-4,21,1,0,1,0.0,1,9,1,10.0%
19,K.J. Wright,LVR,0,2,2,100.0%,17,8.5,8.5,0,102.1,3.0,6,11,0,0,0,0.0,0,2,1,33.3%
20,Nate Hobbs,LVR,0,2,2,100.0%,11,5.5,5.5,0,89.6,3.0,6,5,0,0,0,0.0,0,4,1,20.0%
21,Yannick Ngakoue,LVR,0,0,0,,,,,,,,,,0,3,0,1.0,4,3,0,0.0%
22,Quinton Jefferson,LVR,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
23,Solomon Thomas,LVR,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
24,Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
25,Trevon Moehrig,LVR,0,1,0,0.0%,,,0.0,,39.6,44.0,,,0,0,0,0.0,0,1,3,75.0%
26,Casey Hayward,LVR,0,1,0,0.0%,,,0.0,,39.6,44.0,,,0,0,0,0.0,0,4,0,0.0%
27,Johnathan Hankins,LVR,0,1,0,0.0%,,,0.0,,39.6,9.0,,,0,0,0,0.0,0,2,0,0.0%
28,Clelin Ferrell,LVR,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
