,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,George Odum,IND,1,21,0,21,1,0.0,6,5,1,0,0,0,0,0,0
1,Zaire Franklin,IND,1,8,0,8,1,0.0,3,2,1,0,0,0,0,0,0
2,Kenny Moore,IND,1,14,0,14,1,0.0,3,1,2,0,0,0,0,0,0
3,Kwity Paye,IND,0,0,0,0,0,1.0,1,1,0,0,0,0,0,0,1
4,Bobby Okereke,IND,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
5,Darius Leonard,IND,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
6,Grover Stewart,IND,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
7,Jahleel Addae,IND,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Isaiah Rodgers,IND,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
9,Andrew Sendejo,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Jordan Glasgow,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Dayo Odeyingbo,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
12,Xavier Rhodes,IND,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
13,E.J. Speed,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,DeForest Buckner,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,T.J. Carrie,IND,0,0,0,0,0,0.0,1,1,0,0,0,1,14,0,0
16,Ashton Dulin,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Taylor Stallworth,IND,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
18,Rock Ya-Sin,IND,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
19,Nyheim Hines,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
20,Al-Quadin Muhammad,IND,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
23,Matt Milano,BUF,0,0,0,0,0,0.0,9,3,6,1,0,0,0,0,0
24,Jordan Poyer,BUF,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
25,Harrison Phillips,BUF,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
26,Gregory Rousseau,BUF,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
27,Tre'Davious White,BUF,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
28,Vernon Butler,BUF,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
29,Micah Hyde,BUF,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
30,Taron Johnson,BUF,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
31,A.J. Klein,BUF,0,0,0,0,1,0.0,6,4,2,1,0,0,0,0,0
32,Mario Addison,BUF,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
33,Levi Wallace,BUF,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
34,Carlos Basham,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Jaquan Johnson,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Tyler Matakevich,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Ed Oliver,BUF,0,0,0,0,1,0.0,2,1,1,1,0,0,0,0,0
38,Ike Boettger,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Matt Breida,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,A.J. Epenesa,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Reid Ferguson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Cody Ford,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Damar Hamlin,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Isaiah McKenzie,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Efe Obada,BUF,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
46,Andre Smith,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
47,Devin Singletary,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
