,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Jayron Kearse,DAL,1,34,0,34,1,0.0,5,4,1,0,0,0,0,0,0
1,Micah Parsons,DAL,0,0,0,0,0,2.0,4,4,0,2,3,0,0,0,1
2,Dorance Armstrong Jr.,DAL,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
3,Keanu Neal,DAL,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
4,Malik Hooker,DAL,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
5,Anthony Brown,DAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
6,Trevon Diggs,DAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
7,Jourdan Lewis,DAL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Carlos Watkins,DAL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
9,Donovan Wilson,DAL,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
10,Tarell Basham,DAL,0,0,0,0,0,0.0,3,3,0,0,2,1,0,0,0
11,Osa Odighizuwa,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
12,Leighton Vander Esch,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Francis Bernard,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Quinton Bohanna,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Corey Clement,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Luke Gifford,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Chauncey Golston,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Trysten Hill,DAL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
19,Damontae Kazee,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Jeremy Sprinkle,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Terence Steele,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Charvarius Ward,KAN,1,0,0,0,3,0.0,7,5,2,0,0,0,0,0,0
25,L'Jarius Sneed,KAN,1,2,0,2,3,0.0,6,5,1,1,0,0,0,0,0
26,Chris Jones,KAN,0,0,0,0,1,3.5,5,4,1,2,3,1,-2,0,1
27,Frank Clark,KAN,0,0,0,0,0,1.0,1,1,0,0,3,0,0,0,1
28,Jarran Reed,KAN,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0
29,Willie Gay Jr.,KAN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
30,Juan Thornhill,KAN,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
31,Nick Bolton,KAN,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
32,Rashad Fenton,KAN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
33,Anthony Hitchens,KAN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
34,Tyrann Mathieu,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
35,Derrick Nnadi,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
36,Mike Hughes,KAN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
37,Ben Niemann,KAN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
38,Daniel Sorensen,KAN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
39,Tershawn Wharton,KAN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
40,Daurice Fountain,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Melvin Ingram,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Chris Lammons,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Jerick McKinnon,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Alex Okafor,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Byron Pringle,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
