,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Marcus Davenport,NOR,0,0,0,0,0,1.5,10,6,4,1,4,0,0,0,0
1,Cameron Jordan,NOR,0,0,0,0,1,1.0,3,2,1,1,2,0,0,0,0
2,David Onyemata,NOR,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0
3,Kwon Alexander,NOR,0,0,0,0,0,0.0,7,6,1,2,0,0,0,0,0
4,Marcus Williams,NOR,0,0,0,0,3,0.0,7,5,2,0,0,0,0,0,0
5,Paulson Adebo,NOR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,Josiah Bronson,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
7,Christian Ringo,NOR,0,0,0,0,0,0.0,5,2,3,1,0,1,0,0,1
8,Shy Tuttle,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
9,Malcolm Jenkins,NOR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
10,Marshon Lattimore,NOR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
11,Jalyn Holmes,NOR,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
12,P.J. Williams,NOR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
13,Andrew Dowell,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Carl Granderson,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Bradley Roby,NOR,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
16,Dwayne Washington,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
17,Alex Armah,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Demario Davis,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Kaden Elliss,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,J.T. Gray,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Garrett Griffin,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Adam Trautman,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Pete Werner,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Deonte Harris,NOR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
27,T.J. Edwards,PHI,1,1,0,1,2,0.0,10,7,3,1,0,1,0,0,0
28,Darius Slay,PHI,1,51,1,51,2,0.0,1,1,0,1,0,0,0,0,0
29,Alex Singleton,PHI,0,0,0,0,1,0.0,7,4,3,0,1,0,0,0,0
30,Rodney McLeod,PHI,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
31,Anthony Harris,PHI,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0
32,Zech McPhearson,PHI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
33,Fletcher Cox,PHI,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,1
34,Marcus Epps,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
35,Javon Hargrave,PHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
36,Steven Nelson,PHI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
37,Avonte Maddox,PHI,0,0,0,0,2,0.0,2,2,0,0,1,0,0,0,0
38,Josh Sweat,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Genard Avery,PHI,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
40,Derek Barnett,PHI,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
41,Shaun Bradley,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Andre Chachere,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Patrick Johnson,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Rick Lovato,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Davion Taylor,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,K'Von Wallace,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
47,Milton Williams,PHI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
