,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Chandler Jones,ARI,0,0,0,0,0,2.0,4,4,0,2,3,0,0,0,1
1,Isaiah Simmons,ARI,0,0,0,0,0,1.0,6,2,4,1,1,0,0,0,0
2,Markus Golden,ARI,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0
3,Jordan Hicks,ARI,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,0
4,Jalen Thompson,ARI,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
5,Zach Allen,ARI,0,0,0,0,1,0.0,5,3,2,0,1,0,0,0,0
6,Budda Baker,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
7,Robert Alford,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
8,Leki Fotu,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
9,Dennis Gardeck,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,Corey Peters,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
11,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
12,Devon Kennard,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
13,Zach Kerr,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Byron Murphy,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Jordan Phillips,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Deionte Thompson,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Marco Wilson,ARI,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
18,Colt McCoy,ARI,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0
21,Bryan Mone,SEA,0,0,0,0,0,1.5,4,1,3,0,2,0,0,0,1
22,Poona Ford,SEA,0,0,0,0,0,0.5,3,1,2,0,1,0,0,0,0
23,Jordyn Brooks,SEA,0,0,0,0,0,0.0,15,11,4,1,1,0,0,0,0
24,Bobby Wagner,SEA,0,0,0,0,0,0.0,13,5,8,0,0,0,0,0,1
25,Sidney Jones,SEA,0,0,0,0,1,0.0,11,9,2,1,0,0,0,0,0
26,Quandre Diggs,SEA,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
27,Jamal Adams,SEA,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0
28,Rasheem Green,SEA,0,0,0,0,1,0.0,5,3,2,0,1,0,0,0,0
29,Kerry Hyder,SEA,0,0,0,0,0,0.0,4,0,4,0,1,0,0,0,0
30,Benson Mayowa,SEA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
31,Ugo Amadi,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Carlos Dunlap,SEA,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
33,Blessuan Austin,SEA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
34,Al Woods,SEA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
35,Tre Brown,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,DeeJay Dallas,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Penny Hart,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Travis Homer,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Jason Myers,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Ryan Neal,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Alton Robinson,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
43,Russell Wilson,SEA,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
