,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Aaron Rodgers,GNB,23,33,385,4,0,2,13,75,148.4,2,21,0,18,0,0,0,0,0,1,0
1,AJ Dillon,GNB,0,0,0,0,0,0,0,0,,11,53,0,11,6,6,44,0,13,0,0
2,Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,1,11,0,11,2,2,43,0,26,0,0
3,Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,4,11,0,5,0,0,0,0,0,0,0
4,Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,123,1,75,0,0
5,Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,115,2,37,0,0
6,Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,37,1,25,0,0
7,Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
8,Dominique Dafney,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
9,Jordan Love,GNB,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
12,Kirk Cousins,MIN,24,35,341,3,0,2,23,56,128.4,2,-4,0,-2,0,0,0,0,0,1,0
13,Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,22,86,1,13,4,3,29,0,19,0,0
14,Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,3,5,0,3,1,0,0,0,0,0,0
15,Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1,3,0,3,10,8,169,2,56,0,0
16,Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,82,1,26,0,0
17,Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,15,0,0
18,K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,19,0,19,0,0
19,Dede Westbrook,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,1,0
20,C.J. Ham,MIN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
