,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Joe Burrow,CIN,20,29,148,1,0,3,19,17,92.3,3,11,0,6,0,0,0,0,0,1,1
1,Joe Mixon,CIN,0,0,0,0,0,0,0,0,,30,123,2,20,0,0,0,0,0,0,0
2,Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,1,14,0,14,8,6,49,0,14,0,0
3,Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,2,8,0,10,6,3,32,1,17,0,0
4,Samaje Perine,CIN,0,0,0,0,0,0,0,0,,2,3,0,2,3,3,18,0,9,0,0
5,Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0
6,Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
7,C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,7,0,0
8,Chris Evans,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
9,Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
10,Stanley Morgan Jr.,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
13,Derek Carr,LVR,19,27,215,1,1,2,9,31,90.8,0,0,0,0,0,0,0,0,0,1,1
14,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,9,37,0,18,7,5,24,0,8,0,0
15,Kenyan Drake,LVR,0,0,0,0,0,0,0,0,,5,23,0,7,2,1,6,0,6,1,0
16,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,1,5,0,5,4,4,30,0,9,0,0
17,DeSean Jackson,LVR,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
18,Peyton Barber,LVR,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
19,Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,116,0,31,0,0
20,Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,20,0,20,0,0
21,Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,1,19,0,0
22,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
