,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Ben Roethlisberger,PIT,28,44,273,3,0,3,28,37,103.7,0,0,0,0,0,0,0,0,0,1,0
1,Najee Harris,PIT,0,0,0,0,0,0,0,0,,12,39,1,12,6,5,20,0,7,0,0
2,Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,2,7,0,4,0,0,0,0,0,0,0
3,Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,12,0,8,0,0
4,Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,1,3,0,3,1,0,0,0,0,0,0
5,Chase Claypool,PIT,0,0,0,0,0,0,0,0,,2,1,0,3,9,5,93,0,37,0,0
6,Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,101,1,32,0,0
7,Eric Ebron,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,1,18,0,0
8,James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0
9,Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,11,1,5,0,0
12,Justin Herbert,LAC,30,41,382,3,1,2,8,53,116.1,9,90,0,36,0,0,0,0,0,0,0
13,Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,11,50,2,12,7,6,65,2,17,0,0
14,Josh Palmer,LAC,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,17,0,17,0,0
15,Larry Rountree,LAC,0,0,0,0,0,0,0,0,,2,5,0,5,0,0,0,0,0,0,0
16,Andre Roberts,LAC,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
17,Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,18,0,18,0,0
18,Justin Jackson,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
19,Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,112,0,30,0,0
20,Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,97,1,53,0,0
21,Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,38,0,12,0,0
22,Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,13,0,0
23,Tre' McKitty,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
