,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jonathan Taylor,IND,32,185,14,62,1.9,123,3.8,3,10.7
1,Deon Jackson,IND,6,12,,3,0.5,9,1.5,0,
2,Nyheim Hines,IND,4,31,2,15,3.8,16,4.0,1,4.0
3,Carson Wentz,IND,2,18,1,0,0.0,18,9.0,0,
4,Sam Ehlinger,IND,1,9,1,7,7.0,2,2.0,0,
5,Zach Pascal,IND,1,9,,6,6.0,3,3.0,0,
7,Matt Breida,BUF,5,51,2,45,9.0,6,1.2,0,
8,Zack Moss,BUF,3,5,,3,1.0,2,0.7,0,
9,Devin Singletary,BUF,3,17,1,8,2.7,9,3.0,0,
10,Josh Allen,BUF,2,18,2,18,9.0,0,0.0,0,
