,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Myles Gaskin,MIA,23,89,4,56,2.4,33,1.4,1,23.0
1,Duke Johnson,MIA,4,18,,10,2.5,8,2.0,0,
2,Tua Tagovailoa,MIA,3,6,0,4,1.3,2,0.7,0,
3,Patrick Laird,MIA,1,4,0,2,2.0,2,2.0,0,
4,Jaylen Waddle,MIA,1,1,1,1,1.0,0,0.0,0,
5,Albert Wilson,MIA,1,-3,0,-3,-3.0,0,0.0,0,
7,Michael Carter,NYJ,9,63,2,7,0.8,56,6.2,1,9.0
8,Tevin Coleman,NYJ,5,16,,9,1.8,7,1.4,1,5.0
9,Joe Flacco,NYJ,2,3,1,1,0.5,2,1.0,0,
10,Ty Johnson,NYJ,1,5,1,1,1.0,4,4.0,0,
11,Elijah Moore,NYJ,1,15,1,11,11.0,4,4.0,0,
