,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Andrew Wylie,G,KAN,68,100%,0,0%,6,22%
1,Orlando Brown Jr.,T,KAN,68,100%,0,0%,6,22%
2,Joe Thuney,G,KAN,68,100%,0,0%,6,22%
3,Trey Smith,G,KAN,68,100%,0,0%,6,22%
4,Creed Humphrey,C,KAN,68,100%,0,0%,6,22%
5,Patrick Mahomes,QB,KAN,68,100%,0,0%,0,0%
6,Travis Kelce,TE,KAN,59,87%,0,0%,0,0%
7,Tyreek Hill,WR,KAN,55,81%,0,0%,0,0%
8,Byron Pringle,WR,KAN,40,59%,0,0%,10,37%
9,Darrel Williams,RB,KAN,36,53%,0,0%,7,26%
10,Clyde Edwards-Helaire,RB,KAN,32,47%,0,0%,0,0%
11,Josh Gordon,WR,KAN,29,43%,0,0%,0,0%
12,Demarcus Robinson,WR,KAN,28,41%,0,0%,1,4%
13,Blake Bell,TE,KAN,23,34%,0,0%,10,37%
14,Noah Gray,TE,KAN,18,26%,0,0%,24,89%
15,Mecole Hardman,WR,KAN,12,18%,0,0%,0,0%
16,Michael Burton,FB,KAN,5,7%,0,0%,12,44%
17,Daurice Fountain,WR,KAN,2,3%,0,0%,18,67%
18,Nick Allegretti,G,KAN,1,1%,0,0%,6,22%
19,L'Jarius Sneed,CB,KAN,0,0%,67,100%,6,22%
20,Charvarius Ward,CB,KAN,0,0%,67,100%,0,0%
21,Tyrann Mathieu,SS,KAN,0,0%,67,100%,0,0%
22,Juan Thornhill,FS,KAN,0,0%,63,94%,0,0%
23,Frank Clark,DE,KAN,0,0%,57,85%,0,0%
24,Rashad Fenton,CB,KAN,0,0%,51,76%,10,37%
25,Chris Jones,DT,KAN,0,0%,50,75%,0,0%
26,Jarran Reed,DT,KAN,0,0%,48,72%,0,0%
27,Melvin Ingram,LB,KAN,0,0%,44,66%,0,0%
28,Willie Gay Jr.,LB,KAN,0,0%,38,57%,0,0%
29,Daniel Sorensen,FS,KAN,0,0%,33,49%,17,63%
30,Ben Niemann,LB,KAN,0,0%,28,42%,21,78%
31,Anthony Hitchens,LB,KAN,0,0%,26,39%,3,11%
32,Tershawn Wharton,DT,KAN,0,0%,21,31%,3,11%
