,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Jordan Mailata,T,PHI,78,100%,0,0%,8,21%
1,Jack Driscoll,T,PHI,78,100%,0,0%,8,21%
2,Landon Dickerson,G,PHI,78,100%,0,0%,4,11%
3,Jason Kelce,C,PHI,78,100%,0,0%,0,0%
4,Lane Johnson,T,PHI,78,100%,0,0%,0,0%
5,Jalen Hurts,QB,PHI,78,100%,0,0%,0,0%
6,Dallas Goedert,TE,PHI,75,96%,0,0%,1,3%
7,DeVonta Smith,WR,PHI,72,92%,0,0%,1,3%
8,Quez Watkins,WR,PHI,64,82%,0,0%,1,3%
9,Jalen Reagor,WR,PHI,55,71%,0,0%,11,29%
10,Miles Sanders,RB,PHI,36,46%,0,0%,0,0%
11,Boston Scott,RB,PHI,29,37%,0,0%,14,37%
12,Jack Stoll,TE,PHI,17,22%,0,0%,21,55%
13,Tyree Jackson,TE,PHI,14,18%,0,0%,16,42%
14,Jordan Howard,RB,PHI,13,17%,0,0%,3,8%
15,JJ Arcega-Whiteside,WR,PHI,12,15%,0,0%,21,55%
16,Greg Ward,WR,PHI,3,4%,0,0%,10,26%
17,Steven Nelson,CB,PHI,0,0%,65,100%,0,0%
18,Rodney McLeod,FS,PHI,0,0%,61,94%,1,3%
19,T.J. Edwards,LB,PHI,0,0%,60,92%,12,32%
20,Alex Singleton,LB,PHI,0,0%,58,89%,20,53%
21,Avonte Maddox,CB,PHI,0,0%,58,89%,9,24%
22,Anthony Harris,FS,PHI,0,0%,52,80%,0,0%
23,Fletcher Cox,DT,PHI,0,0%,50,77%,1,3%
24,Javon Hargrave,DT,PHI,0,0%,49,75%,1,3%
25,Derek Barnett,DE,PHI,0,0%,45,69%,5,13%
26,Josh Sweat,DE,PHI,0,0%,42,65%,1,3%
27,Darius Slay,CB,PHI,0,0%,39,60%,0,0%
28,Zech McPhearson,CB,PHI,0,0%,26,40%,27,71%
29,Marcus Epps,SS,PHI,0,0%,25,38%,20,53%
30,Tarron Jackson,DE,PHI,0,0%,20,31%,4,11%
31,Ryan Kerrigan,DE,PHI,0,0%,19,29%,0,0%
32,Milton Williams,DT,PHI,0,0%,18,28%,4,11%
33,Hassan Ridgeway,DT,PHI,0,0%,17,26%,12,32%
34,Davion Taylor,LB,PHI,0,0%,7,11%,0,0%
35,Genard Avery,LB,PHI,0,0%,4,6%,4,11%
36,K'Von Wallace,SS,PHI,0,0%,0,0%,29,76%
37,Andre Chachere,CB,PHI,0,0%,0,0%,29,76%
38,Patrick Johnson,LB,PHI,0,0%,0,0%,24,63%
39,Jake Elliott,K,PHI,0,0%,0,0%,17,45%
40,Josiah Scott,CB,PHI,0,0%,0,0%,16,42%
41,Shaun Bradley,LB,PHI,0,0%,0,0%,16,42%
42,Rick Lovato,LS,PHI,0,0%,0,0%,13,34%
43,Arryn Siposs,P,PHI,0,0%,0,0%,13,34%
44,Nate Herbig,G,PHI,0,0%,0,0%,8,21%
45,Andre Dillard,T,PHI,0,0%,0,0%,8,21%
46,Sua Opeta,G,PHI,0,0%,0,0%,4,11%
0,James Hurst,T,NOR,65,100%,0,0%,4,11%
1,Cesar Ruiz,G,NOR,65,100%,0,0%,4,11%
2,Calvin Throckmorton,T,NOR,65,100%,0,0%,4,11%
3,Erik McCoy,C,NOR,65,100%,0,0%,0,0%
4,Trevor Siemian,QB,NOR,65,100%,0,0%,0,0%
5,Landon Young,T,NOR,64,98%,0,0%,4,11%
6,Tre'Quan Smith,WR,NOR,62,95%,0,0%,0,0%
7,Marquez Callaway,WR,NOR,50,77%,0,0%,1,3%
8,Mark Ingram,RB,NOR,47,72%,0,0%,0,0%
9,Adam Trautman,TE,NOR,44,68%,0,0%,2,5%
10,Deonte Harris,WR,NOR,27,42%,0,0%,14,37%
11,Kenny Stills,WR,NOR,26,40%,0,0%,0,0%
12,Nick Vannett,TE,NOR,18,28%,0,0%,0,0%
13,Lil'Jordan Humphrey,WR,NOR,16,25%,0,0%,11,29%
14,Garrett Griffin,TE,NOR,10,15%,0,0%,10,26%
15,Tony Jones,RB,NOR,10,15%,0,0%,1,3%
16,Will Clapp,C,NOR,8,12%,0,0%,4,11%
17,Dwayne Washington,RB,NOR,4,6%,0,0%,26,68%
18,Alex Armah,RB,NOR,3,5%,0,0%,14,37%
19,Jordan Mills,T,NOR,1,2%,0,0%,4,11%
20,Malcolm Jenkins,SS,NOR,0,0%,78,100%,8,21%
21,Marshon Lattimore,CB,NOR,0,0%,78,100%,0,0%
22,Marcus Williams,FS,NOR,0,0%,78,100%,0,0%
23,Demario Davis,LB,NOR,0,0%,78,100%,0,0%
24,P.J. Williams,CB,NOR,0,0%,72,92%,6,16%
25,Kwon Alexander,LB,NOR,0,0%,65,83%,0,0%
26,Cameron Jordan,DE,NOR,0,0%,56,72%,8,21%
27,Marcus Davenport,DE,NOR,0,0%,49,63%,10,26%
28,Bradley Roby,CB,NOR,0,0%,44,56%,0,0%
29,David Onyemata,DT,NOR,0,0%,43,55%,8,21%
30,Paulson Adebo,CB,NOR,0,0%,41,53%,10,26%
31,Josiah Bronson,DT,NOR,0,0%,39,50%,0,0%
32,Christian Ringo,DT,NOR,0,0%,35,45%,0,0%
33,Shy Tuttle,DT,NOR,0,0%,34,44%,8,21%
34,Carl Granderson,DE,NOR,0,0%,30,38%,13,34%
35,Jalyn Holmes,DE,NOR,0,0%,21,27%,0,0%
36,Pete Werner,LB,NOR,0,0%,11,14%,19,50%
37,Kaden Elliss,LB,NOR,0,0%,6,8%,34,89%
38,Jeff Heath,SS,NOR,0,0%,0,0%,34,89%
39,Andrew Dowell,LB,NOR,0,0%,0,0%,34,89%
40,Zack Baun,LB,NOR,0,0%,0,0%,34,89%
41,J.T. Gray,SS,NOR,0,0%,0,0%,33,87%
42,KeiVarae Russell,CB,NOR,0,0%,0,0%,26,68%
43,Blake Gillikin,P,NOR,0,0%,0,0%,10,26%
44,Zach Wood,LS,NOR,0,0%,0,0%,10,26%
45,Brett Maher,K,NOR,0,0%,0,0%,10,26%
