,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rashawn Slater,T,LAC,76,100%,0,0%,8,24%
1,Michael Schofield,G,LAC,76,100%,0,0%,8,24%
2,Storm Norton,T,LAC,76,100%,0,0%,8,24%
3,Matt Feiler,G,LAC,76,100%,0,0%,8,24%
4,Corey Linsley,C,LAC,76,100%,0,0%,0,0%
5,Justin Herbert,QB,LAC,76,100%,0,0%,0,0%
6,Keenan Allen,WR,LAC,62,82%,0,0%,0,0%
7,Mike Williams,WR,LAC,60,79%,0,0%,0,0%
8,Austin Ekeler,RB,LAC,53,70%,0,0%,0,0%
9,Jalen Guyton,WR,LAC,41,54%,0,0%,6,18%
10,Jared Cook,TE,LAC,38,50%,0,0%,0,0%
11,Donald Parham,TE,LAC,32,42%,0,0%,8,24%
12,Josh Palmer,WR,LAC,23,30%,0,0%,9,27%
13,Stephen Anderson,TE,LAC,19,25%,0,0%,19,56%
14,Larry Rountree,RB,LAC,19,25%,0,0%,11,32%
15,Tre' McKitty,TE,LAC,18,24%,0,0%,6,18%
16,Senio Kelemete,G,LAC,9,12%,0,0%,8,24%
17,Justin Jackson,RB,LAC,5,7%,0,0%,7,21%
18,Andre Roberts,WR,LAC,1,1%,0,0%,9,27%
19,Nasir Adderley,FS,LAC,0,0%,69,100%,2,6%
20,Derwin James,FS,LAC,0,0%,69,100%,0,0%
21,Michael Davis,CB,LAC,0,0%,68,99%,0,0%
22,Kyzir White,LB,LAC,0,0%,66,96%,3,9%
23,Joey Bosa,LB,LAC,0,0%,58,84%,0,0%
24,Justin Jones,DT,LAC,0,0%,56,81%,6,18%
25,Chris Harris Jr.,CB,LAC,0,0%,54,78%,0,0%
26,Uchenna Nwosu,LB,LAC,0,0%,46,67%,0,0%
27,Drue Tranquill,LB,LAC,0,0%,44,64%,14,41%
28,Joe Gaziano,DE,LAC,0,0%,43,62%,7,21%
29,Asante Samuel Jr.,CB,LAC,0,0%,41,59%,5,15%
30,Breiden Fehoko,NT,LAC,0,0%,34,49%,7,21%
31,Kyler Fackrell,LB,LAC,0,0%,30,43%,8,24%
32,Tevaughn Campbell,CB,LAC,0,0%,27,39%,21,62%
33,Kenneth Murray,LB,LAC,0,0%,15,22%,0,0%
34,Chris Rumph,LB,LAC,0,0%,11,16%,26,77%
35,Forrest Merrill,DT,LAC,0,0%,11,16%,7,21%
36,Andrew Brown,NT,LAC,0,0%,9,13%,0,0%
37,Trey Marshall,SS,LAC,0,0%,8,12%,14,41%
38,Nick Niemann,LB,LAC,0,0%,0,0%,26,77%
39,Amen Ogbongbemiga,LB,LAC,0,0%,0,0%,26,77%
40,Kemon Hall,CB,LAC,0,0%,0,0%,24,71%
41,Dustin Hopkins,K,LAC,0,0%,0,0%,16,47%
42,Matt Overton,LS,LAC,0,0%,0,0%,10,29%
43,Ty Long,P,LAC,0,0%,0,0%,10,29%
44,Kiondre Thomas,CB,LAC,0,0%,0,0%,10,29%
45,Scott Quessenberry,C,LAC,0,0%,0,0%,8,24%
46,Brenden Jaimes,G,LAC,0,0%,0,0%,8,24%
0,Chukwuma Okorafor,T,PIT,69,100%,0,0%,7,21%
1,Dan Moore,T,PIT,69,100%,0,0%,7,21%
2,Ben Roethlisberger,QB,PIT,69,100%,0,0%,0,0%
3,Trai Turner,G,PIT,69,100%,0,0%,0,0%
4,Kendrick Green,C,PIT,69,100%,0,0%,0,0%
5,Diontae Johnson,WR,PIT,63,91%,0,0%,0,0%
6,Chase Claypool,WR,PIT,63,91%,0,0%,0,0%
7,Najee Harris,RB,PIT,52,75%,0,0%,0,0%
8,James Washington,WR,PIT,46,67%,0,0%,0,0%
9,Joe Haeg,T,PIT,43,62%,0,0%,5,15%
10,Pat Freiermuth,TE,PIT,39,57%,0,0%,2,6%
11,Eric Ebron,TE,PIT,32,46%,0,0%,0,0%
12,J.C. Hassenauer,C,PIT,26,38%,0,0%,1,3%
13,Zach Gentry,TE,PIT,15,22%,0,0%,15,44%
14,Ray-Ray McCloud,WR,PIT,15,22%,0,0%,10,29%
15,Kalen Ballage,RB,PIT,9,13%,0,0%,8,24%
16,Benny Snell Jr.,RB,PIT,8,12%,0,0%,19,56%
17,Derek Watt,FB,PIT,2,3%,0,0%,19,56%
18,Zach Banner,T,PIT,1,1%,0,0%,6,18%
19,Tre Norwood,FS,PIT,0,0%,76,100%,24,71%
20,Terrell Edmunds,SS,PIT,0,0%,76,100%,8,24%
21,Cameron Sutton,CB,PIT,0,0%,75,99%,8,24%
22,James Pierre,CB,PIT,0,0%,74,97%,10,29%
23,Alex Highsmith,LB,PIT,0,0%,64,84%,6,18%
24,Joe Schobert,LB,PIT,0,0%,63,83%,8,24%
25,Cameron Heyward,DT,PIT,0,0%,62,82%,10,29%
26,Devin Bush Jr.,LB,PIT,0,0%,60,79%,8,24%
27,Chris Wormley,DE,PIT,0,0%,57,75%,11,32%
28,Taco Charlton,DE,PIT,0,0%,49,64%,2,6%
29,Derrek Tuszka,LB,PIT,0,0%,32,42%,9,26%
30,Arthur Maulet,CB,PIT,0,0%,29,38%,9,26%
31,Isaiah Buggs,DE,PIT,0,0%,28,37%,8,24%
32,Henry Mondeaux,DE,PIT,0,0%,27,36%,6,18%
33,Ahkello Witherspoon,CB,PIT,0,0%,20,26%,0,0%
34,Karl Joseph,SS,PIT,0,0%,15,20%,8,24%
35,Robert Spillane,LB,PIT,0,0%,13,17%,19,56%
36,Daniel Archibong,DT,PIT,0,0%,8,11%,3,9%
37,Delontae Scott,DE,PIT,0,0%,7,9%,2,6%
38,Miles Killebrew,FS,PIT,0,0%,1,1%,19,56%
39,Marcus Allen,LB,PIT,0,0%,0,0%,19,56%
40,Ulysees Gilbert,LB,PIT,0,0%,0,0%,19,56%
41,Chris Boswell,K,PIT,0,0%,0,0%,15,44%
42,Justin Layne,CB,PIT,0,0%,0,0%,11,32%
43,Cody White,WR,PIT,0,0%,0,0%,10,29%
44,Christian Kuntz,LS,PIT,0,0%,0,0%,8,24%
45,Pressley Harvin III,P,PIT,0,0%,0,0%,8,24%
46,B.J. Finney,C,PIT,0,0%,0,0%,7,21%
