,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Jabrill Peppers,,,0,0,,,,,,,,,,0,0,0,,0,,1,
1,James Bradberry,NYG,0,16,10,62.5%,101,10.1,6.3,2,120.1,8.1,55,46,0,0,0,0.0,0,6,2,25.0%
2,Julian Love,NYG,0,6,4,66.7%,33,8.3,5.5,0,80.6,9.5,29,4,0,0,0,0.0,0,6,1,14.3%
3,Tae Crowder,NYG,0,4,3,75.0%,25,8.3,6.3,0,90.6,-0.8,-3,28,3,1,0,0.0,1,6,1,14.3%
4,Xavier McKinney,NYG,0,3,3,100.0%,68,22.7,22.7,0,118.7,19.7,59,9,0,0,0,0.0,0,7,0,0.0%
5,Adoree' Jackson,NYG,1,7,3,42.9%,34,11.3,4.9,0,18.5,6.9,27,7,0,0,0,0.0,0,3,1,25.0%
6,Reggie Ragland,NYG,0,2,2,100.0%,12,6.0,6.0,0,91.7,-0.5,-1,13,2,0,1,0.0,1,3,0,0.0%
7,Darnay Holmes,NYG,0,2,2,100.0%,9,4.5,4.5,0,85.4,-0.5,-1,10,2,0,0,0.0,0,4,0,0.0%
8,Benardrick McKinney,NYG,0,3,2,66.7%,10,5.0,3.3,0,71.5,0.0,3,7,2,0,0,0.0,0,5,0,0.0%
9,Quincy Roche,NYG,0,1,1,100.0%,10,10.0,10.0,0,108.3,4.0,4,6,0,0,0,0.0,0,6,0,0.0%
10,Aaron Robinson,NYG,0,2,1,50.0%,13,13.0,6.5,0,70.8,17.0,13,0,1,0,0,0.0,0,0,0,
11,J.R. Reed,NYG,0,1,1,100.0%,3,3.0,3.0,0,79.2,0.0,0,3,0,0,0,0.0,0,5,0,0.0%
12,Raymond Johnson,NYG,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
13,Dexter Lawrence,NYG,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
14,Leonard Williams,NYG,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
15,Elerson Smith,NYG,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
17,Sean Murphy-Bunting,TAM,0,8,5,62.5%,50,10.0,6.3,0,80.2,14.6,39,11,0,0,0,0.0,0,7,0,0.0%
18,Jordan Whitehead,TAM,0,7,4,57.1%,27,6.8,3.9,0,65.8,4.1,14,13,0,0,0,0.0,0,3,3,50.0%
19,Lavonte David,TAM,0,4,3,75.0%,14,4.7,3.5,0,79.2,3.3,6,8,2,0,1,0.0,1,8,1,11.1%
20,Devin White,TAM,0,3,2,66.7%,14,7.0,4.7,0,77.1,0.7,2,12,8,1,1,0.0,2,8,2,20.0%
21,Mike Edwards,TAM,1,4,2,50.0%,6,3.0,1.5,0,16.7,4.0,0,6,2,1,0,0.0,1,2,0,0.0%
22,Antoine Winfield Jr.,TAM,0,3,2,66.7%,13,6.5,4.3,0,75.7,4.7,9,4,0,0,0,0.0,0,3,1,25.0%
23,Shaquil Barrett,TAM,0,1,1,100.0%,28,28.0,28.0,0,118.7,17.0,17,11,3,1,2,0.0,3,2,0,0.0%
24,Ndamukong Suh,TAM,0,1,1,100.0%,0,0.0,0.0,0,79.2,-6.0,-6,6,0,0,2,0.0,2,0,0,
25,Jason Pierre-Paul,TAM,0,1,1,100.0%,11,11.0,11.0,0,112.5,6.0,6,5,0,1,0,0.0,1,1,0,0.0%
26,Kevin Minter,TAM,0,1,1,100.0%,2,2.0,2.0,1,118.7,2.0,2,0,0,0,0,0.0,0,0,0,
27,Jamel Dean,TAM,0,3,1,33.3%,2,2.0,0.7,0,42.4,6.0,0,2,0,0,0,0.0,0,5,0,0.0%
28,Anthony Nelson,TAM,0,0,0,,,,,,,,,,0,1,1,1.0,3,1,0,0.0%
29,Joe Tryon-Shoyinka,TAM,0,0,0,,,,,,,,,,2,3,0,0.0,3,2,0,0.0%
30,Pat O'Connor,TAM,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%
31,Cam Gill,TAM,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%
32,Steve McLendon,TAM,1,1,0,0.0%,,,0.0,,0.0,-1.0,,,0,0,0,0.0,0,0,0,
