,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Adoree' Jackson,NYG,1,10,0,10,1,0.0,3,3,0,1,0,0,0,0,0
1,Raymond Johnson,NYG,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
2,Xavier McKinney,NYG,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
3,James Bradberry,NYG,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
4,Tae Crowder,NYG,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
5,Julian Love,NYG,0,0,0,0,2,0.0,6,3,3,0,0,0,0,0,0
6,Quincy Roche,NYG,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
7,Austin Johnson,NYG,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
8,Benardrick McKinney,NYG,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
9,J.R. Reed,NYG,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
10,Danny Shelton,NYG,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
11,Darnay Holmes,NYG,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
12,Reggie Ragland,NYG,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
13,Leonard Williams,NYG,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
14,Azeez Ojulari,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,Darius Slayton,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Gary Brightwell,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Cam Brown,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Keion Crossen,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Trent Harris,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Dexter Lawrence,NYG,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0
21,Billy Price,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Mike Edwards,TAM,1,0,0,0,1,0.0,2,2,0,1,0,0,0,0,0
25,Steve McLendon,TAM,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
26,Anthony Nelson,TAM,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
27,Cam Gill,TAM,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
28,Pat O'Connor,TAM,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
29,Lavonte David,TAM,0,0,0,0,0,0.0,8,5,3,0,1,0,0,0,0
30,Devin White,TAM,0,0,0,0,1,0.0,8,3,5,0,1,0,0,0,0
31,Sean Murphy-Bunting,TAM,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,1
32,Jamel Dean,TAM,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
33,Jordan Whitehead,TAM,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
34,Antoine Winfield Jr.,TAM,0,0,0,0,1,0.0,3,1,2,0,0,1,0,0,0
35,Shaquil Barrett,TAM,0,0,0,0,0,0.0,2,2,0,0,2,0,0,0,0
36,William Gholston,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Joe Tryon-Shoyinka,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
38,Tyler Johnson,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Rakeem Nunez-Roches,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Jason Pierre-Paul,TAM,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
41,Ndamukong Suh,TAM,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
