,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Tristan Wirfs,T,TAM,78,100%,0,0%,6,24%
1,Alex Cappa,G,TAM,78,100%,0,0%,6,24%
2,Donovan Smith,T,TAM,69,88%,0,0%,6,24%
3,Tom Brady,QB,TAM,69,88%,0,0%,0,0%
4,Ryan Jensen,C,TAM,69,88%,0,0%,0,0%
5,Mike Evans,WR,TAM,64,82%,0,0%,0,0%
6,Chris Godwin,WR,TAM,62,79%,0,0%,0,0%
7,Tyler Johnson,WR,TAM,57,73%,0,0%,0,0%
8,Aaron Stinnie,G,TAM,53,68%,0,0%,6,24%
9,Rob Gronkowski,TE,TAM,46,59%,0,0%,0,0%
10,Leonard Fournette,RB,TAM,46,59%,0,0%,0,0%
11,Cameron Brate,TE,TAM,35,45%,0,0%,0,0%
12,Ali Marpet,G,TAM,25,32%,0,0%,2,8%
13,O.J. Howard,TE,TAM,20,26%,0,0%,0,0%
14,Breshad Perriman,WR,TAM,18,23%,0,0%,0,0%
15,Ronald Jones II,RB,TAM,15,19%,0,0%,0,0%
16,Josh Wells,T,TAM,11,14%,0,0%,6,24%
17,Ke'Shawn Vaughn,RB,TAM,9,12%,0,0%,13,52%
18,Blaine Gabbert,QB,TAM,9,12%,0,0%,0,0%
19,Robert Hainsey,T,TAM,9,12%,0,0%,0,0%
20,Jaelon Darden,WR,TAM,8,10%,0,0%,7,28%
21,Giovani Bernard,RB,TAM,8,10%,0,0%,6,24%
22,Devin White,LB,TAM,0,0%,58,100%,3,12%
23,Jamel Dean,CB,TAM,0,0%,58,100%,3,12%
24,Lavonte David,LB,TAM,0,0%,58,100%,1,4%
25,Jordan Whitehead,SS,TAM,0,0%,58,100%,1,4%
26,Antoine Winfield Jr.,FS,TAM,0,0%,57,98%,2,8%
27,Sean Murphy-Bunting,CB,TAM,0,0%,57,98%,1,4%
28,Jason Pierre-Paul,DE,TAM,0,0%,44,76%,0,0%
29,Shaquil Barrett,LB,TAM,0,0%,42,72%,1,4%
30,Mike Edwards,FS,TAM,0,0%,41,71%,3,12%
31,Rakeem Nunez-Roches,DT,TAM,0,0%,30,52%,9,36%
32,Ndamukong Suh,DE,TAM,0,0%,30,52%,0,0%
33,Joe Tryon-Shoyinka,LB,TAM,0,0%,29,50%,3,12%
34,Steve McLendon,NT,TAM,0,0%,28,48%,3,12%
35,William Gholston,DE,TAM,0,0%,21,36%,6,24%
36,Anthony Nelson,LB,TAM,0,0%,15,26%,16,64%
37,Cam Gill,LB,TAM,0,0%,6,10%,16,64%
38,Ross Cockrell,CB,TAM,0,0%,3,5%,19,76%
39,Pat O'Connor,DE,TAM,0,0%,2,3%,24,96%
40,Kevin Minter,LB,TAM,0,0%,1,2%,15,60%
41,Grant Stuard,LB,TAM,0,0%,0,0%,16,64%
42,Bradley Pinion,P,TAM,0,0%,0,0%,16,64%
43,K.J. Britt,LB,TAM,0,0%,0,0%,16,64%
44,Pierre Desir,CB,TAM,0,0%,0,0%,15,60%
45,Dee Delaney,CB,TAM,0,0%,0,0%,13,52%
46,Zach Triner,LS,TAM,0,0%,0,0%,9,36%
47,Ryan Succop,K,TAM,0,0%,0,0%,6,24%
0,Will Hernandez,G,NYG,58,100%,0,0%,2,8%
1,Billy Price,C,NYG,58,100%,0,0%,2,8%
2,Nate Solder,T,NYG,58,100%,0,0%,2,8%
3,Daniel Jones,QB,NYG,58,100%,0,0%,0,0%
4,Andrew Thomas,T,NYG,58,100%,0,0%,0,0%
5,Matt Skura,C,NYG,58,100%,0,0%,0,0%
6,Evan Engram,TE,NYG,52,90%,0,0%,0,0%
7,Kenny Golladay,WR,NYG,44,76%,0,0%,0,0%
8,Saquon Barkley,RB,NYG,36,62%,0,0%,0,0%
9,Kadarius Toney,WR,NYG,35,60%,0,0%,0,0%
10,Darius Slayton,WR,NYG,34,59%,0,0%,0,0%
11,Devontae Booker,RB,NYG,21,36%,0,0%,4,16%
12,Kyle Rudolph,TE,NYG,14,24%,0,0%,2,8%
13,Chris Myarick,TE,NYG,14,24%,0,0%,0,0%
14,Pharoh Cooper,WR,NYG,13,22%,0,0%,13,52%
15,John Ross,WR,NYG,11,19%,0,0%,0,0%
16,Collin Johnson,WR,NYG,7,12%,0,0%,12,48%
17,Matt Peart,T,NYG,5,9%,0,0%,2,8%
