,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Evan Brown,C,DET,49,100%,0,0%,3,13%
1,Tommy Kraemer,G,DET,49,100%,0,0%,3,13%
2,Jonah Jackson,G,DET,49,100%,0,0%,3,13%
3,Taylor Decker,T,DET,49,100%,0,0%,2,8%
4,Penei Sewell,T,DET,49,100%,0,0%,1,4%
5,Jared Goff,QB,DET,49,100%,0,0%,0,0%
6,Amon-Ra St. Brown,WR,DET,48,98%,0,0%,3,13%
7,Josh Reynolds,WR,DET,43,88%,0,0%,0,0%
8,Kalif Raymond,WR,DET,39,80%,0,0%,4,17%
9,T.J. Hockenson,TE,DET,37,76%,0,0%,0,0%
10,Jamaal Williams,RB,DET,31,63%,0,0%,0,0%
11,Brock Wright,TE,DET,15,31%,0,0%,6,25%
12,D'Andre Swift,RB,DET,10,20%,0,0%,0,0%
13,Jason Cabinda,FB,DET,8,16%,0,0%,16,67%
14,Jermar Jefferson,RB,DET,5,10%,0,0%,0,0%
15,Godwin Igwebuike,RB,DET,4,8%,0,0%,16,67%
16,KhaDarel Hodge,WR,DET,3,6%,0,0%,9,38%
17,Tom Kennedy,WR,DET,2,4%,0,0%,0,0%
18,Jerry Jacobs,CB,DET,0,0%,70,100%,9,38%
19,Tracy Walker,FS,DET,0,0%,70,100%,8,33%
20,Alex Anzalone,LB,DET,0,0%,70,100%,5,21%
21,Dean Marlowe,SS,DET,0,0%,70,100%,5,21%
22,Amani Oruwariye,CB,DET,0,0%,70,100%,0,0%
23,Will Harris,SS,DET,0,0%,63,90%,8,33%
24,Charles Harris,LB,DET,0,0%,62,89%,5,21%
25,Austin Bryant,LB,DET,0,0%,56,80%,0,0%
26,Nick Williams,DE,DET,0,0%,39,56%,0,0%
27,Julian Okwara,LB,DET,0,0%,38,54%,12,50%
28,Jalen Reeves-Maybin,LB,DET,0,0%,35,50%,8,33%
29,Michael Brockers,DE,DET,0,0%,29,41%,0,0%
30,Alim McNeill,NT,DET,0,0%,25,36%,0,0%
31,Levi Onwuzurike,DE,DET,0,0%,23,33%,5,21%
32,Derrick Barnes,LB,DET,0,0%,19,27%,4,17%
33,John Penisini,NT,DET,0,0%,17,24%,5,21%
34,C.J. Moore,FS,DET,0,0%,8,11%,16,67%
35,Josh Woods,LB,DET,0,0%,4,6%,16,67%
36,Jessie Lemonier,DE,DET,0,0%,2,3%,5,21%
37,Anthony Pittman,LB,DET,0,0%,0,0%,21,88%
38,Jalen Elliott,DB,DET,0,0%,0,0%,16,67%
39,Jack Fox,P,DET,0,0%,0,0%,12,50%
40,Scott Daly,LS,DET,0,0%,0,0%,9,38%
41,Bobby Price,FS,DET,0,0%,0,0%,9,38%
42,Mark Gilbert,CB,DET,0,0%,0,0%,8,33%
43,Will Holden,T,DET,0,0%,0,0%,3,13%
44,Riley Patterson,K,DET,0,0%,0,0%,3,13%
45,Parker Ehinger,G,DET,0,0%,0,0%,3,13%
