,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Erik McCoy,C,NOR,57,100%,0,0%,0,0%
1,Terron Armstead,T,NOR,57,100%,0,0%,0,0%
2,James Hurst,T,NOR,57,100%,0,0%,0,0%
3,Cesar Ruiz,G,NOR,57,100%,0,0%,0,0%
4,Trevor Siemian,QB,NOR,57,100%,0,0%,0,0%
5,Calvin Throckmorton,T,NOR,57,100%,0,0%,0,0%
6,Tre'Quan Smith,WR,NOR,45,79%,0,0%,0,0%
7,Marquez Callaway,WR,NOR,34,60%,0,0%,0,0%
8,Ty Montgomery,WR,NOR,29,51%,0,0%,2,9%
9,Lil'Jordan Humphrey,WR,NOR,27,47%,0,0%,10,45%
10,Juwan Johnson,TE,NOR,24,42%,0,0%,8,36%
11,Deonte Harris,WR,NOR,23,40%,0,0%,9,41%
12,Nick Vannett,TE,NOR,21,37%,0,0%,3,14%
13,Tony Jones,RB,NOR,21,37%,0,0%,0,0%
14,Kenny Stills,WR,NOR,21,37%,0,0%,0,0%
15,Garrett Griffin,TE,NOR,18,32%,0,0%,10,45%
16,Adam Prentice,FB,NOR,15,26%,0,0%,16,73%
17,Will Clapp,C,NOR,6,11%,0,0%,0,0%
18,Kevin White,WR,NOR,1,2%,0,0%,13,59%
19,Marcus Williams,FS,NOR,0,0%,66,100%,3,14%
20,Malcolm Jenkins,SS,NOR,0,0%,66,100%,2,9%
21,Marshon Lattimore,CB,NOR,0,0%,66,100%,0,0%
22,Demario Davis,LB,NOR,0,0%,66,100%,0,0%
23,P.J. Williams,CB,NOR,0,0%,60,91%,1,5%
24,Kwon Alexander,LB,NOR,0,0%,50,76%,0,0%
25,Carl Granderson,DE,NOR,0,0%,44,67%,8,36%
26,Paulson Adebo,CB,NOR,0,0%,44,67%,6,27%
27,Cameron Jordan,DE,NOR,0,0%,43,65%,5,23%
28,Jalyn Holmes,DE,NOR,0,0%,36,55%,5,23%
29,David Onyemata,DT,NOR,0,0%,33,50%,5,23%
30,Josiah Bronson,DT,NOR,0,0%,33,50%,0,0%
31,Bradley Roby,CB,NOR,0,0%,32,48%,0,0%
32,Christian Ringo,DT,NOR,0,0%,28,42%,0,0%
33,Shy Tuttle,DT,NOR,0,0%,27,41%,5,23%
34,Pete Werner,LB,NOR,0,0%,16,24%,22,100%
35,Kaden Elliss,LB,NOR,0,0%,9,14%,7,32%
36,Zack Baun,LB,NOR,0,0%,6,9%,22,100%
37,Ken Crawley,CB,NOR,0,0%,1,2%,4,18%
38,J.T. Gray,SS,NOR,0,0%,0,0%,22,100%
39,Jeff Heath,SS,NOR,0,0%,0,0%,22,100%
40,Dwayne Washington,RB,NOR,0,0%,0,0%,17,77%
41,Blake Gillikin,P,NOR,0,0%,0,0%,6,27%
42,Zach Wood,LS,NOR,0,0%,0,0%,6,27%
43,Brett Maher,K,NOR,0,0%,0,0%,2,9%
44,Andrew Dowell,LB,NOR,0,0%,0,0%,1,5%
0,Daryl Williams,T,BUF,66,100%,0,0%,5,23%
1,Dion Dawkins,T,BUF,66,100%,0,0%,5,23%
2,Ike Boettger,G,BUF,66,100%,0,0%,5,23%
