,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Mykal Walker,ATL,0,7,5,71.4%,77,15.4,11.0,0,107.4,9.9,42,35,5,1,1,0.0,2,12,2,14.3%
1,Fabian Moreau,ATL,0,8,4,50.0%,54,13.5,6.8,0,71.9,18.0,41,13,0,0,0,0.0,0,2,1,33.3%
2,AJ Terrell,ATL,0,7,4,57.1%,25,6.3,3.6,0,64.6,10.0,19,6,1,0,0,0.0,0,6,1,14.3%
3,Erik Harris,ATL,0,5,3,60.0%,30,10.0,6.0,0,77.1,3.4,8,22,0,0,0,0.0,0,6,2,25.0%
4,Brandon Copeland,ATL,0,1,1,100.0%,11,11.0,11.0,0,112.5,8.0,8,3,2,2,2,0.0,4,2,0,0.0%
5,Chris Williamson,ATL,0,1,1,100.0%,7,7.0,7.0,1,135.4,7.0,7,0,0,0,0,0.0,0,0,0,
6,Foyesade Oluokun,ATL,0,2,1,50.0%,8,8.0,4.0,0,60.4,11.5,5,3,4,0,0,0.0,0,10,0,0.0%
7,Adetokunbo Ogundeji,ATL,0,1,1,100.0%,-5,-5.0,-5.0,0,79.2,-5.0,-5,0,0,0,0,0.0,0,9,0,0.0%
8,Richie Grant,ATL,0,2,1,50.0%,-1,-1.0,-0.5,0,56.2,5.0,-6,5,0,0,0,0.0,0,4,0,0.0%
9,Darren Hall,ATL,0,4,1,25.0%,-2,-2.0,-0.5,0,39.6,11.8,-2,0,0,0,0,0.0,0,3,0,0.0%
10,Dante Fowler,ATL,0,1,0,0.0%,,,0.0,,39.6,6.0,,,1,1,0,1.0,2,2,2,50.0%
11,Grady Jarrett,ATL,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,2,50.0%
12,James Vaughters,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
13,Duron Harmon,ATL,1,1,0,0.0%,,,0.0,,0.0,7.0,,,2,0,0,0.0,0,2,0,0.0%
14,Emmanuel Ellerbee,ATL,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,
16,Myles Jack,JAX,0,6,5,83.3%,34,6.8,5.7,0,90.3,6.8,17,17,4,0,0,0.0,0,8,0,0.0%
17,Rudy Ford,JAX,0,3,3,100.0%,33,11.0,11.0,0,112.5,2.7,8,25,6,0,1,0.0,1,5,0,0.0%
18,Nevin Lawson,JAX,0,5,3,60.0%,29,9.7,5.8,0,76.2,2.4,8,21,0,0,0,0.0,0,6,1,14.3%
19,Tyson Campbell,JAX,1,5,3,60.0%,33,11.0,6.6,1,79.6,5.0,16,17,0,0,0,0.0,0,3,1,25.0%
20,Dawuane Smoot,JAX,0,2,2,100.0%,22,11.0,11.0,0,112.5,-0.5,-1,23,0,0,0,0.0,0,0,1,100.0%
21,Andrew Wingard,JAX,0,3,1,33.3%,10,10.0,3.3,0,43.7,1.7,0,10,0,0,0,0.0,0,5,2,28.6%
22,Shaquille Quarterman,JAX,0,2,1,50.0%,8,8.0,4.0,0,60.4,6.5,8,0,2,0,0,0.0,0,7,0,0.0%
23,Rayshawn Jenkins,JAX,0,1,1,100.0%,15,15.0,15.0,0,118.7,8.0,8,7,4,0,0,0.0,0,8,1,11.1%
24,K'Lavon Chaisson,JAX,0,1,1,100.0%,6,6.0,6.0,0,91.7,2.0,2,4,2,0,0,0.0,0,0,1,100.0%
25,Roy Robertson-Harris,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
26,DaVon Hamilton,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
27,Taven Bryan,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
28,Damien Wilson,JAX,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
29,Josh Allen,JAX,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
