,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Derwin James,LAC,1,5,0,5,1,0.0,7,5,2,2,1,0,0,0,0
1,Joey Bosa,LAC,0,0,0,0,0,1.0,4,3,1,0,1,0,0,0,1
2,Kyzir White,LAC,0,0,0,0,0,0.0,12,9,3,0,0,0,0,0,0
3,Nasir Adderley,LAC,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
4,Justin Jones,LAC,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,0
5,Tevaughn Campbell,LAC,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
6,Christian Covington,LAC,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
7,Michael Davis,LAC,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
8,Drue Tranquill,LAC,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
9,Uchenna Nwosu,LAC,0,0,0,0,1,0.0,3,1,2,0,1,0,0,0,0
10,Breiden Fehoko,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
11,Jerry Tillery,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Kyler Fackrell,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
13,Chris Harris Jr.,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Justin Jackson,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Trey Marshall,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Kenneth Murray,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Nick Niemann,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Amen Ogbongbemiga,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Patrick Surtain II,DEN,2,70,1,70,2,0.0,5,4,1,0,0,0,0,0,0
22,DeShawn Williams,DEN,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
23,McTelvin Agim,DEN,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
24,Stephen Weatherly,DEN,0,0,0,0,0,1.0,2,2,0,2,2,0,0,0,0
25,Kyle Fuller,DEN,0,0,0,0,0,0.0,9,8,1,1,0,0,0,0,0
26,Justin Simmons,DEN,0,0,0,0,2,0.0,8,7,1,1,0,0,0,0,0
27,Baron Browning,DEN,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
28,Kenny Young,DEN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
29,Ronald Darby,DEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
30,Dre'Mont Jones,DEN,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
31,Shamar Stephen,DEN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
32,Jonathon Cooper,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
33,Nate Hairston,DEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
34,Kendall Hinton,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Malik Reed,DEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
36,Caden Sterns,DEN,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
37,Tim Patrick,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0
