,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Brian Burns,CAR,0,0,0,0,0,1.0,5,4,1,2,1,0,0,0,1
1,Phil Hoskins,CAR,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
2,Shaq Thompson,CAR,0,0,0,0,0,0.0,13,10,3,0,0,0,0,0,0
3,Donte Jackson,CAR,0,0,0,0,1,0.0,11,10,1,0,0,0,0,0,0
4,Jeremy Chinn,CAR,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
5,Bravvion Roy,CAR,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
6,Jermaine Carter Jr.,CAR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
7,Haason Reddick,CAR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
8,Juston Burris,CAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
9,Myles Hartsfield,CAR,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
10,DaQuan Jones,CAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
11,C.J. Henderson,CAR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,A.J. Bouye,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Derrick Brown,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Morgan Fox,CAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
15,Sam Franklin,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
16,Stephon Gilmore,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
17,Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
18,Sean Chandler,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Matt Cole,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,D.J. Moore,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Giovanni Ricci,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Julian Stanford,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Ian Thomas,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Brandon Zylstra,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
25,Frankie Luvu,CAR,0,0,0,0,0,0.0,0,0,0,0,0,1,28,0,0
28,Nik Needham,MIA,1,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
29,Jevon Holland,MIA,1,0,0,0,1,0.0,1,0,1,0,0,1,0,0,0
30,Xavien Howard,MIA,1,16,0,16,1,0.0,1,1,0,0,0,0,0,0,0
31,Jaelan Phillips,MIA,0,0,0,0,1,3.0,4,3,1,3,4,0,0,0,0
32,Christian Wilkins,MIA,0,0,0,0,0,1.0,5,2,3,1,1,0,0,0,0
33,Emmanuel Ogbah,MIA,0,0,0,0,1,1.0,3,2,1,1,1,0,0,0,0
34,Eric Rowe,MIA,0,0,0,0,1,0.0,5,1,4,0,0,0,0,0,0
35,Jerome Baker,MIA,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
36,Raekwon Davis,MIA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
37,Duke Riley,MIA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Elandon Roberts,MIA,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
39,Javaris Davis,MIA,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
40,Byron Jones,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
41,Zach Sieler,MIA,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
42,Andrew Van Ginkel,MIA,0,0,0,0,1,0.0,2,1,1,0,4,0,0,0,0
43,Clayton Fejedelem,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Isaiah Ford,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Sheldrick Redwine,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Adam Butler,MIA,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
47,Jesse Davis,MIA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
48,Samuel Eguavoen,MIA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
49,Tua Tagovailoa,MIA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
