,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Tom Brady,TAM,25,34,226,1,1,2,9,32,88.6,2,2,0,3,0,0,0,0,0,0,0
1,Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,17,100,3,28,8,7,31,1,13,0,0
2,Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,7,37,1,11,0,0,0,0,0,0,0
3,Chris Godwin,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,5,4,24,0,9,1,1
4,Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,123,0,32,0,0
5,Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,23,0,10,0,0
6,Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,16,0,9,0,0
7,Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
8,Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
11,Carson Wentz,IND,27,44,306,3,2,3,21,62,86.0,3,21,0,16,0,0,0,0,0,1,1
12,Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,16,83,1,15,5,4,14,0,8,0,0
13,Nyheim Hines,IND,0,0,0,0,0,0,0,0,,1,3,0,3,4,3,26,0,10,1,1
14,Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,81,1,22,0,0
15,Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,62,1,62,0,0
16,Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,53,0,23,0,0
17,T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,28,1,10,0,0
18,Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,15,0,0
19,Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,12,0,9,1,1
20,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
