,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jalen Hurts,PHI,14,31,129,0,3,1,5,21,17.5,8,77,0,18,0,0,0,0,0,0,0
1,Boston Scott,PHI,0,0,0,0,0,0,0,0,,15,64,1,12,3,2,8,0,6,1,1
2,Miles Sanders,PHI,0,0,0,0,0,0,0,0,,9,64,0,27,1,1,0,0,0,0,0
3,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,1,3,0,3,5,2,23,0,19,0,0
4,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,14,0,0
5,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,31,0,21,0,0
6,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,14,0,0
7,JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
8,Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
9,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,0,0,0,0,0
12,Daniel Jones,NYG,19,30,202,1,0,1,8,20,94.0,9,30,0,14,0,0,0,0,0,0,0
13,Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,13,40,0,32,5,4,13,0,8,0,0
14,Devontae Booker,NYG,0,0,0,0,0,0,0,0,,3,10,0,6,1,1,17,0,17,0,0
15,Pharoh Cooper,NYG,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,6,0,6,0,0
16,Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,50,0,18,0,0
17,Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,20,0,0
18,John Ross,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,19,0,0
19,Chris Myarick,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,1,10,0,0
20,Darius Slayton,NYG,0,0,0,0,0,0,0,0,,1,-13,0,-13,4,3,40,0,18,0,0
