,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Nick Westbrook-Ikhine,TEN,6,2,25,1,2,22,11.0,3,1.5,9.7,0,,0,0.0,0,86.8
1,Cody Hollister,TEN,4,2,22,0,2,7,3.5,15,7.5,3.8,0,,0,0.0,1,27.1
2,Dontrell Hilliard,TEN,2,1,2,0,0,2,2.0,0,0.0,1.5,0,,0,0.0,0,56.2
3,Geoff Swaim,TEN,1,1,8,0,,4,4.0,4,4.0,4.0,0,,0,0.0,0,100.0
4,Chester Rogers,TEN,3,1,2,0,,2,2.0,0,0.0,7.3,0,,0,0.0,0,42.4
5,MyCole Pruitt,TEN,2,1,10,0,1,9,9.0,1,1.0,6.5,0,,0,0.0,0,64.6
6,D'Onta Foreman,TEN,1,1,3,0,0,-3,-3.0,6,6.0,-3.0,0,,0,0.0,0,79.2
7,Dez Fitzpatrick,TEN,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7
8,Anthony Firkser,TEN,1,1,7,0,,2,2.0,5,5.0,2.0,0,,0,0.0,0,95.8
10,Jakobi Meyers,NWE,8,5,98,0,4,71,14.2,27,5.4,15.1,0,,0,0.0,0,105.2
11,Kendrick Bourne,NWE,6,5,61,2,2,24,4.8,37,7.4,3.3,1,5.0,0,0.0,0,148.6
12,Brandon Bolden,NWE,4,4,54,0,3,-6,-1.5,60,15.0,-1.5,2,2.0,0,0.0,0,118.7
13,Nelson Agholor,NWE,3,3,20,0,1,19,6.3,1,0.3,6.3,0,,0,0.0,0,94.4
14,Jonnu Smith,NWE,4,3,49,0,3,22,7.3,27,9.0,6.8,0,,0,0.0,0,115.6
15,Hunter Henry,NWE,5,2,16,0,1,7,3.5,9,4.5,9.6,0,,0,0.0,0,48.7
16,Damien Harris,NWE,1,1,12,0,1,-2,-2.0,14,14.0,-2.0,0,,0,0.0,0,116.7
17,Rhamondre Stevenson,NWE,1,0,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6
