,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Quenton Nelson,G,IND,69,100%,0,0%,5,16%
1,Eric Fisher,T,IND,69,100%,0,0%,5,16%
2,Carson Wentz,QB,IND,69,100%,0,0%,0,0%
3,Braden Smith,T,IND,69,100%,0,0%,0,0%
4,Ryan Kelly,C,IND,69,100%,0,0%,0,0%
5,Mark Glowinski,G,IND,66,96%,0,0%,0,0%
6,Michael Pittman Jr.,WR,IND,65,94%,0,0%,0,0%
7,Zach Pascal,WR,IND,64,93%,0,0%,7,23%
8,Jonathan Taylor,RB,IND,49,71%,0,0%,0,0%
9,Jack Doyle,TE,IND,42,61%,0,0%,2,6%
10,T.Y. Hilton,WR,IND,42,61%,0,0%,0,0%
11,Mo Alie-Cox,TE,IND,39,57%,0,0%,6,19%
12,Nyheim Hines,RB,IND,25,36%,0,0%,4,13%
13,Kylen Granson,TE,IND,9,13%,0,0%,7,23%
14,Ashton Dulin,WR,IND,4,6%,0,0%,20,65%
15,Matt Pryor,T,IND,3,4%,0,0%,5,16%
16,Chris Reed,G,IND,3,4%,0,0%,5,16%
17,Dezmon Patmon,WR,IND,3,4%,0,0%,0,0%
18,Bobby Okereke,LB,IND,0,0%,67,100%,10,32%
19,Andrew Sendejo,FS,IND,0,0%,67,100%,9,29%
20,Darius Leonard,LB,IND,0,0%,67,100%,6,19%
21,Kenny Moore,CB,IND,0,0%,67,100%,6,19%
22,George Odum,FS,IND,0,0%,63,94%,26,84%
23,Al-Quadin Muhammad,DE,IND,0,0%,57,85%,0,0%
24,Rock Ya-Sin,CB,IND,0,0%,56,84%,4,13%
25,DeForest Buckner,DT,IND,0,0%,52,78%,6,19%
26,Kwity Paye,DE,IND,0,0%,50,75%,0,0%
27,Grover Stewart,DT,IND,0,0%,45,67%,11,36%
28,Xavier Rhodes,CB,IND,0,0%,38,57%,0,0%
29,Isaiah Rodgers,CB,IND,0,0%,32,48%,17,55%
30,Taylor Stallworth,DT,IND,0,0%,22,33%,6,19%
31,Isaac Rochell,DE,IND,0,0%,14,21%,9,29%
32,Dayo Odeyingbo,DE,IND,0,0%,11,16%,1,3%
33,Antwaun Woods,DT,IND,0,0%,10,15%,4,13%
34,T.J. Carrie,CB,IND,0,0%,7,10%,6,19%
35,Zaire Franklin,LB,IND,0,0%,6,9%,26,84%
36,E.J. Speed,LB,IND,0,0%,3,4%,20,65%
37,Kemoko Turay,DE,IND,0,0%,3,4%,0,0%
38,Matthew Adams,LB,IND,0,0%,0,0%,26,84%
