,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Quinn Meinerz,G,DEN,62,100%,0,0%,4,20%
1,Lloyd Cushenberry III,C,DEN,62,100%,0,0%,3,15%
2,Cameron Fleming,T,DEN,62,100%,0,0%,1,5%
3,Noah Fant,TE,DEN,53,85%,0,0%,0,0%
4,Tim Patrick,WR,DEN,50,81%,0,0%,1,5%
5,Courtland Sutton,WR,DEN,45,73%,0,0%,1,5%
6,Netane Muti,G,DEN,44,71%,0,0%,4,20%
7,Teddy Bridgewater,QB,DEN,43,69%,0,0%,0,0%
8,Quinn Bailey,T,DEN,39,63%,0,0%,4,20%
9,Javonte Williams,RB,DEN,36,58%,0,0%,1,5%
10,Jerry Jeudy,WR,DEN,35,56%,0,0%,0,0%
11,Albert Okwuegbunam,TE,DEN,28,45%,0,0%,0,0%
12,Melvin Gordon,RB,DEN,26,42%,0,0%,0,0%
13,Calvin Anderson,T,DEN,23,37%,0,0%,1,5%
14,Eric Saubert,TE,DEN,19,31%,0,0%,18,90%
15,Drew Lock,QB,DEN,19,31%,0,0%,0,0%
16,Dalton Risner,G,DEN,18,29%,0,0%,0,0%
17,Andrew Beck,TE,DEN,13,21%,0,0%,14,70%
18,Kendall Hinton,WR,DEN,4,6%,0,0%,1,5%
19,Diontae Spencer,WR,DEN,1,2%,0,0%,6,30%
20,Justin Simmons,FS,DEN,0,0%,71,100%,3,15%
21,Baron Browning,LB,DEN,0,0%,71,100%,0,0%
22,Ronald Darby,CB,DEN,0,0%,71,100%,0,0%
23,Patrick Surtain II,CB,DEN,0,0%,71,100%,0,0%
24,Caden Sterns,FS,DEN,0,0%,71,100%,0,0%
25,Kyle Fuller,CB,DEN,0,0%,68,96%,0,0%
26,Dre'Mont Jones,DE,DEN,0,0%,47,66%,5,25%
27,Malik Reed,LB,DEN,0,0%,44,62%,2,10%
28,Kenny Young,LB,DEN,0,0%,43,61%,0,0%
29,Jonathon Cooper,LB,DEN,0,0%,40,56%,9,45%
30,DeShawn Williams,DT,DEN,0,0%,33,46%,2,10%
31,Bradley Chubb,LB,DEN,0,0%,30,42%,0,0%
32,Stephen Weatherly,LB,DEN,0,0%,28,39%,2,10%
33,Nate Hairston,CB,DEN,0,0%,27,38%,12,60%
34,Shamar Stephen,DE,DEN,0,0%,26,37%,2,10%
35,McTelvin Agim,DE,DEN,0,0%,20,28%,0,0%
36,Mike Purcell,NT,DEN,0,0%,19,27%,6,30%
37,P.J. Locke,FS,DEN,0,0%,1,1%,16,80%
38,Aaron Patrick,LB,DEN,0,0%,0,0%,16,80%
39,Mike Ford,CB,DEN,0,0%,0,0%,15,75%
40,Justin Strnad,LB,DEN,0,0%,0,0%,14,70%
41,Jonas Griffith,LB,DEN,0,0%,0,0%,13,65%
42,Essang Bassey,CB,DEN,0,0%,0,0%,10,50%
43,Brandon McManus,K,DEN,0,0%,0,0%,9,45%
44,Mike Boone,RB,DEN,0,0%,0,0%,7,35%
45,Jacob Bobenmoyer,LS,DEN,0,0%,0,0%,7,35%
46,Sam Martin,P,DEN,0,0%,0,0%,7,35%
47,Austin Schlottmann,G,DEN,0,0%,0,0%,4,20%
0,Rashawn Slater,T,LAC,71,100%,0,0%,2,10%
1,Michael Schofield,G,LAC,71,100%,0,0%,2,10%
2,Storm Norton,T,LAC,71,100%,0,0%,2,10%
3,Senio Kelemete,G,LAC,71,100%,0,0%,2,10%
4,Corey Linsley,C,LAC,71,100%,0,0%,0,0%
5,Justin Herbert,QB,LAC,71,100%,0,0%,0,0%
6,Keenan Allen,WR,LAC,61,86%,0,0%,0,0%
7,Mike Williams,WR,LAC,61,86%,0,0%,0,0%
8,Austin Ekeler,RB,LAC,48,68%,0,0%,0,0%
9,Jalen Guyton,WR,LAC,39,55%,0,0%,5,25%
10,Jared Cook,TE,LAC,37,52%,0,0%,0,0%
11,Josh Palmer,WR,LAC,30,42%,0,0%,8,40%
12,Donald Parham,TE,LAC,28,39%,0,0%,2,10%
13,Tre' McKitty,TE,LAC,21,30%,0,0%,10,50%
14,Joshua Kelley,RB,LAC,16,23%,0,0%,0,0%
15,Darius Bradwell,RB,LAC,7,10%,0,0%,10,50%
16,Stephen Anderson,TE,LAC,6,8%,0,0%,13,65%
17,Trey Pipkins,T,LAC,1,1%,0,0%,0,0%
18,Derwin James,FS,LAC,0,0%,62,100%,1,5%
19,Tevaughn Campbell,CB,LAC,0,0%,61,98%,10,50%
20,Michael Davis,CB,LAC,0,0%,61,98%,1,5%
21,Nasir Adderley,FS,LAC,0,0%,59,95%,8,40%
22,Jerry Tillery,DT,LAC,0,0%,55,89%,4,20%
23,Joey Bosa,LB,LAC,0,0%,55,89%,0,0%
24,Justin Jones,DT,LAC,0,0%,52,84%,0,0%
25,Drue Tranquill,LB,LAC,0,0%,51,82%,9,45%
26,Kyzir White,LB,LAC,0,0%,50,81%,2,10%
27,Uchenna Nwosu,LB,LAC,0,0%,44,71%,1,5%
28,Chris Harris Jr.,CB,LAC,0,0%,34,55%,0,0%
29,Kyler Fackrell,LB,LAC,0,0%,24,39%,7,35%
30,Christian Covington,NT,LAC,0,0%,24,39%,5,25%
31,Breiden Fehoko,NT,LAC,0,0%,15,24%,6,30%
32,Trey Marshall,SS,LAC,0,0%,11,18%,2,10%
33,Kenneth Murray,LB,LAC,0,0%,9,15%,1,5%
34,Joe Gaziano,DE,LAC,0,0%,7,11%,5,25%
35,Amen Ogbongbemiga,LB,LAC,0,0%,4,6%,15,75%
36,Chris Rumph,LB,LAC,0,0%,3,5%,17,85%
37,Kemon Hall,CB,LAC,0,0%,1,2%,18,90%
38,Nick Niemann,LB,LAC,0,0%,0,0%,17,85%
39,Andre Roberts,WR,LAC,0,0%,0,0%,8,40%
40,Justin Jackson,RB,LAC,0,0%,0,0%,6,30%
41,Matt Overton,LS,LAC,0,0%,0,0%,5,25%
42,Dustin Hopkins,K,LAC,0,0%,0,0%,5,25%
43,Ty Long,P,LAC,0,0%,0,0%,5,25%
44,Scott Quessenberry,C,LAC,0,0%,0,0%,2,10%
45,Kiondre Thomas,CB,LAC,0,0%,0,0%,2,10%
46,Brenden Jaimes,G,LAC,0,0%,0,0%,2,10%
