,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Tytus Howard,T,HOU,57,100%,0,0%,3,12%
1,Charlie Heck,T,HOU,57,100%,0,0%,3,12%
2,Tyrod Taylor,QB,HOU,57,100%,0,0%,0,0%
3,Jimmy Morrissey,C,HOU,57,100%,0,0%,0,0%
4,Lane Taylor,G,HOU,54,95%,0,0%,1,4%
5,Brandin Cooks,WR,HOU,47,82%,0,0%,0,0%
6,Justin McCray,C,HOU,37,65%,0,0%,2,8%
7,Nico Collins,WR,HOU,37,65%,0,0%,0,0%
8,Rex Burkhead,RB,HOU,35,61%,0,0%,0,0%
9,Pharaoh Brown,TE,HOU,34,60%,0,0%,1,4%
10,Brevin Jordan,TE,HOU,34,60%,0,0%,0,0%
11,Chris Conley,WR,HOU,29,51%,0,0%,5,20%
12,Max Scharping,G,HOU,24,42%,0,0%,3,12%
13,Danny Amendola,WR,HOU,22,39%,0,0%,0,0%
14,David Johnson,RB,HOU,22,39%,0,0%,0,0%
15,Antony Auclair,TE,HOU,13,23%,0,0%,13,52%
16,Chris Moore,WR,HOU,11,19%,0,0%,12,48%
17,Desmond King,CB,HOU,0,0%,67,100%,3,12%
18,Zach Cunningham,LB,HOU,0,0%,67,100%,0,0%
19,Eric Murray,FS,HOU,0,0%,66,99%,7,28%
20,Kamu Grugier-Hill,LB,HOU,0,0%,66,99%,0,0%
21,Terrence Brooks,SS,HOU,0,0%,58,87%,7,28%
22,Terrance Mitchell,CB,HOU,0,0%,56,84%,0,0%
23,Jacob Martin,DE,HOU,0,0%,47,70%,5,20%
24,Jonathan Greenard,DE,HOU,0,0%,45,67%,0,0%
25,Maliek Collins,DT,HOU,0,0%,42,63%,5,20%
26,Tavierre Thomas,CB,HOU,0,0%,38,57%,17,68%
27,Jaleel Johnson,DT,HOU,0,0%,32,48%,1,4%
28,Ross Blacklock,DT,HOU,0,0%,30,45%,4,16%
29,Neville Hewitt,LB,HOU,0,0%,29,43%,10,40%
30,Roy Lopez,DT,HOU,0,0%,25,37%,8,32%
31,DeMarcus Walker,DE,HOU,0,0%,24,36%,2,8%
32,Derek Rivers,DE,HOU,0,0%,23,34%,6,24%
33,Lonnie Johnson Jr.,CB,HOU,0,0%,11,16%,12,48%
34,A.J. Moore,FS,HOU,0,0%,10,15%,22,88%
35,Kevin Pierre-Louis,LB,HOU,0,0%,1,1%,22,88%
36,Tremon Smith,CB,HOU,0,0%,0,0%,22,88%
37,Eric Wilson,LB,HOU,0,0%,0,0%,17,68%
38,Garret Wallow,LB,HOU,0,0%,0,0%,16,64%
39,Jonathan Owens,FS,HOU,0,0%,0,0%,12,48%
40,Jon Weeks,LS,HOU,0,0%,0,0%,8,32%
41,Cameron Johnston,P,HOU,0,0%,0,0%,8,32%
42,Ka'imi Fairbairn,K,HOU,0,0%,0,0%,6,24%
43,Royce Freeman,RB,HOU,0,0%,0,0%,5,20%
44,Jimmy Moreland,CB,HOU,0,0%,0,0%,4,16%
45,Geron Christian,T,HOU,0,0%,0,0%,3,12%
0,Morgan Moses,T,NYJ,67,100%,0,0%,5,20%
1,Alijah Vera-Tucker,G,NYJ,67,100%,0,0%,5,20%
2,Laurent Duvernay-Tardif,G,NYJ,67,100%,0,0%,5,20%
3,Zach Wilson,QB,NYJ,67,100%,0,0%,0,0%
4,Connor McGovern,C,NYJ,67,100%,0,0%,0,0%
5,George Fant,T,NYJ,67,100%,0,0%,0,0%
6,Keelan Cole,WR,NYJ,64,96%,0,0%,3,12%
7,Elijah Moore,WR,NYJ,59,88%,0,0%,0,0%
8,Ryan Griffin,TE,NYJ,56,84%,0,0%,12,48%
9,Jamison Crowder,WR,NYJ,33,49%,0,0%,0,0%
10,Tevin Coleman,RB,NYJ,30,45%,0,0%,0,0%
11,Ty Johnson,RB,NYJ,23,34%,0,0%,0,0%
12,Trevon Wesco,TE,NYJ,21,31%,0,0%,11,44%
13,Austin Walter,RB,NYJ,16,24%,0,0%,0,0%
14,Braxton Berrios,WR,NYJ,13,19%,0,0%,8,32%
15,Nick Bawden,RB,NYJ,10,15%,0,0%,17,68%
16,Jeff Smith,WR,NYJ,9,13%,0,0%,9,36%
17,Josh Johnson,QB,NYJ,1,1%,0,0%,0,0%
18,Javelin Guidry,CB,NYJ,0,0%,57,100%,9,36%
19,Bryce Hall,CB,NYJ,0,0%,57,100%,3,12%
20,C.J. Mosley,LB,NYJ,0,0%,57,100%,3,12%
21,Ashtyn Davis,SS,NYJ,0,0%,57,100%,0,0%
22,Michael Carter,CB,NYJ,0,0%,53,93%,9,36%
23,Elijah Riley,DB,NYJ,0,0%,45,79%,0,0%
24,Quincy Williams,LB,NYJ,0,0%,40,70%,0,0%
