,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Ben Bartch,T,JAX,73,100%,0,0%,2,9%
1,Jawaan Taylor,T,JAX,73,100%,0,0%,2,9%
2,Cam Robinson,T,JAX,73,100%,0,0%,2,9%
3,Andrew Norwell,G,JAX,73,100%,0,0%,2,9%
4,Brandon Linder,G,JAX,73,100%,0,0%,0,0%
5,Trevor Lawrence,QB,JAX,73,100%,0,0%,0,0%
6,Marvin Jones,WR,JAX,71,97%,0,0%,0,0%
7,Laquon Treadwell,WR,JAX,63,86%,0,0%,10,45%
8,James O'Shaughnessy,TE,JAX,59,81%,0,0%,4,18%
9,Laviska Shenault Jr.,WR,JAX,53,73%,0,0%,0,0%
10,James Robinson,RB,JAX,38,52%,0,0%,0,0%
11,Carlos Hyde,RB,JAX,32,44%,0,0%,0,0%
12,Chris Manhertz,TE,JAX,27,37%,0,0%,3,14%
13,Tavon Austin,WR,JAX,13,18%,0,0%,0,0%
14,Dan Arnold,TE,JAX,5,7%,0,0%,1,5%
15,John Brown,WR,JAX,3,4%,0,0%,0,0%
16,Dare Ogunbowale,RB,JAX,1,1%,0,0%,13,59%
17,Rayshawn Jenkins,SS,JAX,0,0%,60,100%,8,36%
18,Nevin Lawson,CB,JAX,0,0%,60,100%,5,23%
19,Andrew Wingard,FS,JAX,0,0%,60,100%,3,14%
20,Myles Jack,LB,JAX,0,0%,60,100%,0,0%
21,Tyson Campbell,CB,JAX,0,0%,58,97%,9,41%
22,Josh Allen,LB,JAX,0,0%,40,67%,4,18%
23,Malcom Brown,DT,JAX,0,0%,39,65%,4,18%
24,Damien Wilson,LB,JAX,0,0%,38,63%,0,0%
25,Roy Robertson-Harris,DT,JAX,0,0%,37,62%,4,18%
26,DaVon Hamilton,DT,JAX,0,0%,34,57%,2,9%
27,Dawuane Smoot,DE,JAX,0,0%,30,50%,0,0%
28,K'Lavon Chaisson,LB,JAX,0,0%,27,45%,8,36%
