,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Shaq Mason,G,NWE,60,100%,0,0%,9,32%
1,David Andrews,C,NWE,60,100%,0,0%,0,0%
2,Isaiah Wynn,T,NWE,59,98%,0,0%,9,32%
3,Trent Brown,T,NWE,59,98%,0,0%,9,32%
4,Mac Jones,QB,NWE,59,98%,0,0%,0,0%
5,Jakobi Meyers,WR,NWE,52,87%,0,0%,0,0%
6,Nelson Agholor,WR,NWE,50,83%,0,0%,0,0%
7,Ted Karras,C,NWE,49,82%,0,0%,9,32%
8,Hunter Henry,TE,NWE,41,68%,0,0%,0,0%
9,Jonnu Smith,TE,NWE,34,57%,0,0%,3,11%
10,Kendrick Bourne,WR,NWE,33,55%,0,0%,0,0%
11,Damien Harris,RB,NWE,22,37%,0,0%,0,0%
12,Rhamondre Stevenson,RB,NWE,20,33%,0,0%,0,0%
13,Brandon Bolden,RB,NWE,19,32%,0,0%,16,57%
14,N'Keal Harry,WR,NWE,16,27%,0,0%,0,0%
15,Jakob Johnson,FB,NWE,12,20%,0,0%,13,46%
16,Michael Onwenu,G,NWE,12,20%,0,0%,9,32%
17,Matthew Slater,WR,NWE,1,2%,0,0%,19,68%
18,Justin Herron,T,NWE,1,2%,0,0%,0,0%
19,Brian Hoyer,QB,NWE,1,2%,0,0%,0,0%
20,Devin McCourty,FS,NWE,0,0%,59,94%,0,0%
21,Matt Judon,LB,NWE,0,0%,55,87%,6,21%
22,Ja'Whaun Bentley,LB,NWE,0,0%,55,87%,0,0%
23,Kyle Dugger,FS,NWE,0,0%,54,86%,12,43%
24,Jalen Mills,CB,NWE,0,0%,53,84%,0,0%
25,Davon Godchaux,NT,NWE,0,0%,49,78%,3,11%
26,Kyle Van Noy,LB,NWE,0,0%,48,76%,0,0%
27,J.C. Jackson,CB,NWE,0,0%,47,75%,1,4%
28,Adrian Phillips,SS,NWE,0,0%,44,70%,9,32%
29,Lawrence Guy,DT,NWE,0,0%,41,65%,12,43%
30,Dont'a Hightower,LB,NWE,0,0%,40,63%,0,0%
31,Christian Barmore,DT,NWE,0,0%,33,52%,3,11%
32,Deatrich Wise Jr.,DE,NWE,0,0%,27,43%,9,32%
33,Carl Davis,NT,NWE,0,0%,26,41%,3,11%
34,Myles Bryant,CB,NWE,0,0%,17,27%,3,11%
35,Joejuan Williams,CB,NWE,0,0%,17,27%,0,0%
36,Jahlani Tavai,LB,NWE,0,0%,12,19%,16,57%
37,Shaun Wade,CB,NWE,0,0%,7,11%,2,7%
38,Chase Winovich,DE,NWE,0,0%,6,10%,7,25%
39,Calvin Munson,LB,NWE,0,0%,3,5%,16,57%
40,Justin Bethel,FS,NWE,0,0%,0,0%,19,68%
41,Cody Davis,FS,NWE,0,0%,0,0%,19,68%
42,Jake Bailey,P,NWE,0,0%,0,0%,19,68%
43,Brandon King,LB,NWE,0,0%,0,0%,19,68%
44,Gunner Olszewski,WR,NWE,0,0%,0,0%,15,54%
45,Joe Cardona,LS,NWE,0,0%,0,0%,10,36%
46,Nick Folk,K,NWE,0,0%,0,0%,9,32%
0,David Quessenberry,G,TEN,63,100%,0,0%,3,11%
1,Aaron Brewer,C,TEN,63,100%,0,0%,0,0%
2,Taylor Lewan,T,TEN,56,89%,0,0%,3,11%
3,Rodger Saffold,G,TEN,56,89%,0,0%,3,11%
4,Ben Jones,C,TEN,56,89%,0,0%,0,0%
5,Ryan Tannehill,QB,TEN,56,89%,0,0%,0,0%
