,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Jamal Adams,SEA,1,0,0,0,2,0.0,9,6,3,0,0,0,0,0,0
1,Darrell Taylor,SEA,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
2,Jordyn Brooks,SEA,0,0,0,0,0,0.0,14,10,4,0,0,0,0,0,0
3,Bobby Wagner,SEA,0,0,0,0,1,0.0,14,10,4,0,0,0,0,0,0
4,Quandre Diggs,SEA,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
5,Al Woods,SEA,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
6,Kerry Hyder,SEA,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
7,D.J. Reed,SEA,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
8,Ugo Amadi,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
9,Sidney Jones,SEA,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
10,Bryan Mone,SEA,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
11,Poona Ford,SEA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Rasheem Green,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Benson Mayowa,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Cody Barton,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Nick Bellore,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Alton Robinson,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,L.J. Collier,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
20,Kamren Curl,WAS,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
21,Shaka Toney,WAS,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
22,Landon Collins,WAS,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,1
23,Cole Holcomb,WAS,0,0,0,0,0,0.0,4,2,2,0,0,1,0,0,0
24,Jamin Davis,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
25,Matthew Ioannidis,WAS,0,0,0,0,0,0.0,3,1,2,0,2,0,0,0,0
26,William Jackson III,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
27,James Smith-Williams,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
28,Jonathan Allen,WAS,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
29,Daron Payne,WAS,0,0,0,0,0,0.0,2,0,2,0,2,0,0,0,0
30,Casey Toohill,WAS,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
31,John Bates,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
32,Kendall Fuller,WAS,0,0,0,0,3,0.0,1,1,0,0,0,0,0,0,0
33,Khaleke Hudson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
34,David Mayo,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Bobby McCain,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Cam Sims,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Daniel Wise,WAS,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
38,DeAndre Carter,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
