,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Calvin Throckmorton,T,NOR,70,100%,0,0%,4,13%
1,James Hurst,T,NOR,70,100%,0,0%,4,13%
2,Cesar Ruiz,G,NOR,70,100%,0,0%,4,13%
3,Erik McCoy,C,NOR,70,100%,0,0%,4,13%
4,Jordan Mills,T,NOR,70,100%,0,0%,4,13%
5,Taysom Hill,QB,NOR,70,100%,0,0%,0,0%
6,Marquez Callaway,WR,NOR,48,69%,0,0%,1,3%
7,Tre'Quan Smith,WR,NOR,47,67%,0,0%,0,0%
8,Nick Vannett,TE,NOR,42,60%,0,0%,4,13%
9,Ty Montgomery,WR,NOR,36,51%,0,0%,13,41%
10,Garrett Griffin,TE,NOR,32,46%,0,0%,10,31%
11,Lil'Jordan Humphrey,WR,NOR,30,43%,0,0%,8,25%
12,Mark Ingram,RB,NOR,30,43%,0,0%,0,0%
13,Deonte Harris,WR,NOR,28,40%,0,0%,13,41%
14,Juwan Johnson,TE,NOR,24,34%,0,0%,7,22%
15,Will Clapp,C,NOR,15,21%,0,0%,4,13%
16,Kenny Stills,WR,NOR,11,16%,0,0%,0,0%
17,Adam Prentice,FB,NOR,7,10%,0,0%,11,34%
18,Malcolm Jenkins,SS,NOR,0,0%,70,100%,5,16%
19,Demario Davis,LB,NOR,0,0%,70,100%,0,0%
20,Marcus Williams,FS,NOR,0,0%,70,100%,0,0%
21,Marshon Lattimore,CB,NOR,0,0%,69,99%,0,0%
22,Cameron Jordan,DE,NOR,0,0%,57,81%,5,16%
23,Kwon Alexander,LB,NOR,0,0%,57,81%,0,0%
24,P.J. Williams,CB,NOR,0,0%,48,69%,2,6%
25,Paulson Adebo,CB,NOR,0,0%,44,63%,12,38%
26,David Onyemata,DT,NOR,0,0%,42,60%,5,16%
27,Bradley Roby,CB,NOR,0,0%,39,56%,0,0%
28,Carl Granderson,DE,NOR,0,0%,38,54%,13,41%
29,Jalyn Holmes,DE,NOR,0,0%,33,47%,5,16%
30,Shy Tuttle,DT,NOR,0,0%,28,40%,5,16%
31,Christian Ringo,DT,NOR,0,0%,26,37%,0,0%
32,Zack Baun,LB,NOR,0,0%,22,31%,28,88%
33,Albert Huggins,DT,NOR,0,0%,22,31%,0,0%
34,Josiah Bronson,DT,NOR,0,0%,22,31%,0,0%
35,Pete Werner,LB,NOR,0,0%,13,19%,18,56%
36,J.T. Gray,SS,NOR,0,0%,0,0%,28,88%
37,Jeff Heath,SS,NOR,0,0%,0,0%,28,88%
38,Andrew Dowell,LB,NOR,0,0%,0,0%,25,78%
39,Chase Hansen,LB,NOR,0,0%,0,0%,24,75%
40,Dwayne Washington,RB,NOR,0,0%,0,0%,23,72%
41,Zach Wood,LS,NOR,0,0%,0,0%,10,31%
42,Blake Gillikin,P,NOR,0,0%,0,0%,10,31%
43,Brett Maher,K,NOR,0,0%,0,0%,8,25%
44,Ken Crawley,CB,NOR,0,0%,0,0%,7,22%
0,Connor McGovern,G,DAL,70,100%,0,0%,5,16%
1,Tyler Biadasz,C,DAL,70,100%,0,0%,5,16%
2,Zack Martin,G,DAL,70,100%,0,0%,5,16%
3,Tyron Smith,T,DAL,70,100%,0,0%,0,0%
4,La'el Collins,T,DAL,70,100%,0,0%,0,0%
5,Dak Prescott,QB,DAL,70,100%,0,0%,0,0%
6,Dalton Schultz,TE,DAL,67,96%,0,0%,6,19%
7,Michael Gallup,WR,DAL,64,91%,0,0%,1,3%
8,CeeDee Lamb,WR,DAL,62,89%,0,0%,6,19%
9,Ezekiel Elliott,RB,DAL,45,64%,0,0%,0,0%
10,Tony Pollard,RB,DAL,28,40%,0,0%,8,25%
11,Amari Cooper,WR,DAL,24,34%,0,0%,0,0%
12,Sean McKeon,TE,DAL,19,27%,0,0%,11,34%
13,Malik Turner,WR,DAL,18,26%,0,0%,21,66%
14,Noah Brown,WR,DAL,12,17%,0,0%,3,9%
15,Jeremy Sprinkle,TE,DAL,7,10%,0,0%,16,50%
16,Simi Fehoko,WR,DAL,3,4%,0,0%,13,41%
17,Connor Williams,G,DAL,1,1%,0,0%,5,16%
18,Trevon Diggs,CB,DAL,0,0%,70,100%,1,3%
19,Anthony Brown,CB,DAL,0,0%,70,100%,0,0%
20,Damontae Kazee,SS,DAL,0,0%,69,99%,3,9%
21,Jayron Kearse,FS,DAL,0,0%,69,99%,0,0%
22,Micah Parsons,LB,DAL,0,0%,65,93%,0,0%
23,Jourdan Lewis,CB,DAL,0,0%,58,83%,0,0%
24,Dorance Armstrong Jr.,DE,DAL,0,0%,51,73%,7,22%
25,Chauncey Golston,DE,DAL,0,0%,42,60%,7,22%
26,Leighton Vander Esch,LB,DAL,0,0%,39,56%,5,16%
27,Osa Odighizuwa,DT,DAL,0,0%,39,56%,5,16%
28,DeMarcus Lawrence,DE,DAL,0,0%,37,53%,0,0%
29,Tarell Basham,DE,DAL,0,0%,36,51%,6,19%
30,Justin Hamilton,DT,DAL,0,0%,32,46%,0,0%
31,Carlos Watkins,DE,DAL,0,0%,28,40%,0,0%
32,Malik Hooker,FS,DAL,0,0%,26,37%,0,0%
33,Keanu Neal,LB,DAL,0,0%,23,33%,7,22%
34,Quinton Bohanna,DT,DAL,0,0%,15,21%,5,16%
35,Kelvin Joseph,CB,DAL,0,0%,1,1%,26,81%
36,Luke Gifford,LB,DAL,0,0%,0,0%,27,85%
37,C.J. Goodwin,CB,DAL,0,0%,0,0%,23,72%
38,Corey Clement,RB,DAL,0,0%,0,0%,22,69%
39,Francis Bernard,LB,DAL,0,0%,0,0%,22,69%
40,Tyler Coyle,FS,DAL,0,0%,0,0%,17,53%
41,Israel Mukuamu,SS,DAL,0,0%,0,0%,17,53%
42,Jake McQuaide,LS,DAL,0,0%,0,0%,13,41%
43,Bryan Anger,P,DAL,0,0%,0,0%,13,41%
44,Greg Zuerlein,K,DAL,0,0%,0,0%,10,31%
45,Matt Farniok,G,DAL,0,0%,0,0%,5,16%
46,Ty Nsekhe,T,DAL,0,0%,0,0%,5,16%
