,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Quincy Roche,NYG,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
1,Azeez Ojulari,NYG,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
2,Tae Crowder,NYG,0,0,0,0,0,0.0,9,6,3,0,1,0,0,0,0
3,Logan Ryan,NYG,0,0,0,0,0,0.0,8,3,5,0,0,0,0,0,0
4,Aaron Robinson,NYG,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
5,Xavier McKinney,NYG,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
6,Reggie Ragland,NYG,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
7,Austin Johnson,NYG,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
8,Leonard Williams,NYG,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
9,Lorenzo Carter,NYG,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Dexter Lawrence,NYG,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Jarren Williams,NYG,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,James Bradberry,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Julian Love,NYG,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
14,Benardrick McKinney,NYG,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
15,Cam Brown,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Darius Slayton,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Xavien Howard,MIA,1,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
20,Jaelan Phillips,MIA,0,0,0,0,0,2.0,3,3,0,2,2,0,0,0,0
21,Adam Butler,MIA,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
22,Eric Rowe,MIA,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
23,Jevon Holland,MIA,0,0,0,0,2,0.0,5,0,5,0,1,0,0,0,0
24,Byron Jones,MIA,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
25,Nik Needham,MIA,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
26,Andrew Van Ginkel,MIA,0,0,0,0,1,0.0,5,4,1,1,1,0,0,0,0
27,Christian Wilkins,MIA,0,0,0,0,0,0.0,5,2,3,0,2,0,0,0,0
28,Jerome Baker,MIA,0,0,0,0,0,0.0,3,3,0,2,1,0,0,0,0
29,Duke Riley,MIA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
30,Justin Coleman,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
31,Raekwon Davis,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
32,Clayton Fejedelem,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Emmanuel Ogbah,MIA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
34,Elandon Roberts,MIA,0,0,0,0,1,0.0,2,2,0,1,0,0,0,0,0
35,Zach Sieler,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Vince Biegel,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Mack Hollins,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
