,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Matthew Ioannidis,WAS,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
1,James Smith-Williams,WAS,0,0,0,0,0,0.5,4,0,4,0,1,0,0,0,0
2,Jonathan Allen,WAS,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
3,Cole Holcomb,WAS,0,0,0,0,2,0.0,10,7,3,0,0,0,0,0,0
4,Kendall Fuller,WAS,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0
5,Jamin Davis,WAS,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
6,Kamren Curl,WAS,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
7,Deshazor Everett,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
8,Bobby McCain,WAS,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
9,Khaleke Hudson,WAS,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
10,Daron Payne,WAS,0,0,0,0,0,0.0,3,3,0,1,1,0,0,0,0
11,Daniel Wise,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,John Bates,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
13,Adam Humphries,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,William Jackson III,WAS,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
15,Danny Johnson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Jordan Kunaszyk,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,David Mayo,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Sammis Reyes,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Tim Settle,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Nate Hobbs,LVR,1,9,0,9,1,0.0,9,4,5,1,0,0,0,0,0
23,Malcolm Koonce,LVR,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
24,Denzel Perryman,LVR,0,0,0,0,0,0.0,12,9,3,1,1,0,0,0,0
25,Divine Deablo,LVR,0,0,0,0,0,0.0,11,8,3,0,0,0,0,0,0
26,Cory Littleton,LVR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
27,Maxx Crosby,LVR,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0
28,Trevon Moehrig,LVR,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
29,Solomon Thomas,LVR,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
30,Johnathan Abram,LVR,0,0,0,0,1,0.0,3,1,2,1,0,0,0,0,0
31,Brandon Facyson,LVR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Casey Hayward,LVR,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
33,K.J. Wright,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
34,Quinton Jefferson,LVR,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
35,Yannick Ngakoue,LVR,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
36,Keisean Nixon,LVR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Clelin Ferrell,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Damion Square,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Carson Tinker,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
